complex_id	oln_id
94	YDR116C
415	snR44
10	YDR480W
427	YMR299C
470	YPL178W
68	YMR308C
415	snR5
204	YKL009W
489	YJL076W
138	YBR253W
295	YML130C
219	YNL301C
35	YDR190C
416	YKL190W
105	YDL030W
229	YDL111C
116	YLR085C
173	YIL062C
264	YLR183C
496	YER148W
156	YNL290W
280	YDL047W
187	YDL002C
359	YKL126W
194	YGR206W
208	YMR224C
235	YBL045C
373	YJR143C
323	YPL128C
414	snR48
168	YGR002C
271	YKR071C
131	YNL287W
171	YFR037C
289	YML016C
134	YER157W
76	YLR347C
300	YKL010C
91	YBR097W
134	YGR120C
94	YNL252C
219	YPL249C-A
135	YHR024C
138	YGR104C
164	YDL132W
170	YCL059C
213	YBR215W
256	YJR148W
419	YGL133W
71	YMR061W
115	YPR051W
215	YGR186W
222	YOL139C
508	YOL078W
333	YDR035W
414	YDL014W
46	YDR468C
29	YGL145W
167	YPL048W
438	YGR216C
76	YLR335W
194	YLR119W
275	YNL241C
506	YIL009C-A
364	YOR032C
234	YCR077C
415	snR46
443	YPR024W
192	YML092C
414	snR55
57	YHL011C
5	YNL030W
126	YDL100C
387	YOL087C
229	YOL142W
82	YGL206C
169	YHR143W-A
219	YGR034W
327	YDR001C
141	YLR182W
219	YHL001W
484	YBR082C
72	YDL155W
183	YPR108W
425	YLR223C
72	YLR210W
220	YJR033C
418	YNL288W
426	YDL179W
147	YBL035C
166	YJL006C
171	YMR091C
438	YPL096C-A
474	YLR022C
182	YDL150W
150	YPL046C
491	YOR069W
113	YDR121W
125	YHR165C
299	YEL002C
454	YDR322C-A
123	YGR084C
204	YNL002C
397	YML114C
426	YPL219W
168	YJR082C
350	YLL032C
186	YJL099W
438	YPL076W
89	YDL003W
123	YNR037C
212	YPR041W
353	YLR258W
123	YBL090W
209	YJL031C
230	YPL138C
43	YMR167W
56	YPL031C
362	YNL182C
487	YBR045C
91	YPL120W
55	YOR036W
219	YML073C
368	YIL001W
