query_oln_id	query_gene_name	array_oln_id	array_gene_name	genetic_interaction_score	p_value	std_dev	query_oln_id_edited	array_oln_id_edited
YAL063C	FLO9	YCR028C-A	RIM1	-0.1969	0.0273	1.5188e-08	YAL063C	YCR028C-A
YAL063C	FLO9	YGL024W	YGL024W	-0.1314	0.0485	0.0071988	YAL063C	YGL024W
YAL063C	FLO9	YHR116W	COX23	-0.1311	0.0364	0.0029555	YAL063C	YHR116W
YAL063C	FLO9	YLR218C	YLR218C	-0.1384	0.0435	0.0081868	YAL063C	YLR218C
YAL063C	FLO9	YMR183C	SSO2	-0.212	0.0248	4.5492e-10	YAL063C	YMR183C
YAL060W	BDH1	YDL013W	SLX5	-0.1882	0.0276	6.4504e-08	YAL060W	YDL013W
YAL060W	BDH1	YDR274C	YDR274C	-0.2943	0.0235	1.4755e-21	YAL060W	YDR274C
YAL060W	BDH1	YIL036W	CST6	-0.1484	0.0305	0.00011433	YAL060W	YIL036W
YAL060W	BDH1	YLR184W	YLR184W	-0.4352	0.0164	2.3614e-82	YAL060W	YLR184W
YAL060W	BDH1	YOR179C	SYC1	-0.122	0.0319	0.0015557	YAL060W	YOR179C
YAL059W	ECM1	YBR239C	ERT1	-0.1357	0.0377	0.0018485	YAL059W	YBR239C
YAL059W	ECM1	YCL026C	YCL026C	-0.2065	0.0422	1.431e-05	YAL059W	YCL026C
YAL059W	ECM1	YDR101C	ARX1	-0.4325	0.0339	2.6479e-27	YAL059W	YDR101C
YAL059W	ECM1	YFR032C-A	RPL29	-0.1327	0.0371	0.0027354	YAL059W	YFR032C-A
YAL059W	ECM1	YGL180W	ATG1	-0.1494	0.0347	0.00055284	YAL059W	YGL180W
YAL059W	ECM1	YJR074W	MOG1	-0.2919	0.0464	1.7034e-08	YAL059W	YJR074W
YAL059W	ECM1	YLR018C	POM34	-0.3303	0.0051	0	YAL059W	YLR018C
YAL059W	ECM1	YML012C-A	YML012C-A	-0.1319	0.0489	0.01189	YAL059W	YML012C-A
YAL059W	ECM1	YMR172C-A	YMR172C-A	-0.1468	0.032	0.00021454	YAL059W	YMR172C-A
YAL058W	CNE1	YBR015C	MNN2	-0.36	0.0443	2.2177e-13	YAL058W	YBR015C
YAL058W	CNE1	YBR132C	AGP2	-0.2723	0.0182	2.9733e-27	YAL058W	YBR132C
YAL058W	CNE1	YDR245W	MNN10	-0.2076	0.0249	7.4768e-11	YAL058W	YDR245W
YAL058W	CNE1	YDR414C	ERD1	-0.1412	0.031	0.00022439	YAL058W	YDR414C
YAL058W	CNE1	YFL025C	BST1	-0.1286	0.0151	5.2114e-10	YAL058W	YFL025C
YAL058W	CNE1	YGL036W	YGL036W	-0.1646	0.0397	0.00068973	YAL058W	YGL036W
YAL058W	CNE1	YGL027C	CWH41	-0.1446	0.0093	4.5681e-29	YAL058W	YGL027C
YAL058W	CNE1	YHR030C	SLT2	-0.4628	0.0466	8.2965e-22	YAL058W	YHR030C
YAL058W	CNE1	YJL095W	BCK1	-0.2164	0.0349	1.2222e-07	YAL058W	YJL095W
YAL058W	CNE1	YJR117W	STE24	-0.2762	0.0332	2.2232e-10	YAL058W	YJR117W
YAL058W	CNE1	YLL006W	MMM1	-0.1266	0.0354	0.0042641	YAL058W	YLL006W
