oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YAL005C	YBR160W	kinase-substrate up	ku
YAL005C	YPL031C	kinase-substrate up	ku
YAL017W	YDR099W	kinase-substrate down	kd
YAL017W	YDR259C	kinase-substrate down	kd
YAL017W	YDR293C	kinase-substrate down	kd
YAL017W	YEL060C	kinase-substrate down	kd
YAL017W	YER177W	kinase-substrate down	kd
YAL017W	YGR178C	kinase-substrate down	kd
YAL017W	YJR049C	kinase-substrate down	kd
YAL017W	YJR060W	kinase-substrate down	kd
YAL017W	YKL035W	kinase-substrate down	kd
YAL017W	YMR070W	kinase-substrate down	kd
YAL017W	YMR273C	kinase-substrate down	kd
YAL017W	YOL045W	kinase-substrate up	ku
YAL017W	YPR160W	kinase-substrate down	kd
YAL019W	YBR160W	kinase-substrate up	ku
YAL021C	YDL101C	kinase-substrate up	ku
YAL021C	YOR061W	kinase-substrate up	ku
YAL024C	YBR160W	kinase-substrate up	ku
YAL024C	YMR001C	kinase-substrate up	ku
YAL024C	YNL298W	kinase-substrate up	ku
YAL028W	YBR160W	kinase-substrate up	ku
YAL031C	YBR160W	kinase-substrate up	ku
YAL038W	YBR160W	kinase-substrate up	ku
YAL038W	YJL164C	kinase-substrate up	ku
YAL038W	YKL166C	kinase-substrate up	ku
YAL038W	YNL307C	kinase-substrate up	ku
YAL038W	YPL031C	kinase-substrate up	ku
YAL038W	YPL203W	kinase-substrate up	ku
YAL040C	YBL016W	kinase-substrate up	ku
YAL040C	YBR160W	kinase-substrate up	ku
YAL040C	YPL042C	kinase-substrate up	ku
YAL041W	YBR160W	kinase-substrate up	ku
YAL041W	YJL187C	kinase-substrate up	ku
YAL041W	YNL298W	kinase-substrate up	ku
YAL043C	YIL035C	kinase-substrate up	ku
YAL047C	YDL028C	kinase-substrate up	ku
YAL047C	YMR001C	kinase-substrate up	ku
YAL047C	YOR233W	kinase-substrate up	ku
YAL056W	YJL164C	kinase-substrate up	ku
YAL056W	YKL166C	kinase-substrate up	ku
YAL056W	YPL203W	kinase-substrate up	ku
YAR002W	YBR160W	kinase-substrate up	ku
YAR002W	YLR113W	kinase-substrate up	ku
YAR002W	YPL153C	kinase-substrate up	ku
YAR007C	YBL088C	kinase-substrate up	ku
YAR007C	YBR136W	kinase-substrate up	ku
YAR014C	YJL187C	kinase-substrate up	ku
YAR014C	YLR096W	kinase-substrate up	ku
YAR018C	YIL144W	kinase-substrate down	kd
YAR019C	YBR158W	kinase-substrate down	kd
YAR019C	YBR160W	kinase-substrate down	kd
YAR019C	YBR160W	kinase-substrate up	ku
YAR019C	YGR092W	kinase-substrate down	kd
YAR019C	YGR092W	kinase-substrate up	ku
YAR019C	YHL007C	kinase-substrate down	kd
YAR019C	YHL007C	kinase-substrate up	ku
YAR019C	YHR152W	kinase-substrate down	kd
YAR019C	YIL106W	kinase-substrate down	kd
YAR019C	YJL128C	kinase-substrate up	ku
YAR019C	YLR113W	kinase-substrate up	ku
YAR019C	YML064C	kinase-substrate down	kd
YAR019C	YMR001C	kinase-substrate down	kd
YAR019C	YMR001C	kinase-substrate up	ku
YAR019C	YMR032W	kinase-substrate down	kd
YAR019C	YNL166C	kinase-substrate down	kd
YAR019C	YOR233W	kinase-substrate up	ku
YAR019C	YOR373W	kinase-substrate down	kd
YAR019C	YPR111W	kinase-substrate down	kd
YAR019C	YPR119W	kinase-substrate down	kd
YBL002W	YKL139W	kinase-substrate up	ku
YBL003C	YKL139W	kinase-substrate up	ku
YBL007C	YBL105C	kinase-substrate up	ku
YBL007C	YBR059C	kinase-substrate up	ku
YBL007C	YBR160W	kinase-substrate up	ku
YBL007C	YIL095W	kinase-substrate up	ku
YBL007C	YJL095W	kinase-substrate up	ku
YBL007C	YNL020C	kinase-substrate up	ku
YBL008W	YPL153C	kinase-substrate up	ku
YBL013W	YBR160W	kinase-substrate up	ku
YBL016W	YAL040C	kinase-substrate down	kd
YBL016W	YBL105C	kinase-substrate up	ku
YBL016W	YBR083W	kinase-substrate down	kd
YBL016W	YDL159W	kinase-substrate down	kd
YBL016W	YDL159W	kinase-substrate up	ku
YBL016W	YDL173W	kinase-substrate down	kd
YBL016W	YDR103W	kinase-substrate down	kd
YBL016W	YDR388W	kinase-substrate down	kd
YBL016W	YDR480W	kinase-substrate down	kd
YBL016W	YER151C	kinase-substrate down	kd
YBL016W	YHR005C	kinase-substrate down	kd
YBL016W	YHR084W	kinase-substrate down	kd
YBL016W	YJL076W	kinase-substrate down	kd
YBL016W	YJL157C	kinase-substrate down	kd
YBL016W	YLR362W	kinase-substrate down	kd
YBL016W	YLR362W	kinase-substrate up	ku
YBL016W	YLR452C	kinase-substrate down	kd
YBL016W	YMR153W	kinase-substrate down	kd
YBL016W	YMR199W	kinase-substrate down	kd
YBL016W	YNL053W	kinase-substrate down	kd
YBL016W	YNL271C	kinase-substrate down	kd
YBL016W	YOL130W	kinase-substrate down	kd
YBL016W	YOR212W	kinase-substrate down	kd
YBL016W	YPL049C	kinase-substrate down	kd
YBL016W	YPL256C	kinase-substrate down	kd
YBL016W	YPR115W	kinase-substrate down	kd
YBL023C	YBR160W	kinase-substrate up	ku
YBL023C	YDL017W	kinase-substrate up	ku
YBL024W	YBR160W	kinase-substrate up	ku
YBL024W	YIL095W	kinase-substrate up	ku
YBL031W	YLR113W	kinase-substrate up	ku
YBL032W	YHR135C	kinase-substrate up	ku
YBL034C	YGR188C	kinase-substrate up	ku
YBL035C	YKL101W	kinase-substrate up	ku
YBL039C	YBL105C	kinase-substrate up	ku
YBL047C	YBR059C	kinase-substrate up	ku
YBL047C	YIL095W	kinase-substrate up	ku
YBL047C	YNL020C	kinase-substrate up	ku
YBL047C	YPL031C	kinase-substrate up	ku
YBL051C	YPL153C	kinase-substrate up	ku
YBL051C	YPL204W	kinase-substrate up	ku
YBL054W	YHR205W	kinase-substrate up	ku
YBL054W	YJL164C	kinase-substrate up	ku
YBL056W	YFL029C	kinase-substrate up	ku
YBL061C	YDR477W	kinase-substrate up	ku
YBL061C	YHR030C	kinase-substrate up	ku
YBL061C	YJL095W	kinase-substrate up	ku
YBL061C	YJL164C	kinase-substrate up	ku
YBL063W	YBR160W	kinase-substrate up	ku
YBL066C	YDR247W	kinase-substrate up	ku
YBL066C	YPL026C	kinase-substrate up	ku
YBL078C	YGL180W	kinase-substrate up	ku
YBL084C	YBR160W	kinase-substrate up	ku
YBL084C	YMR001C	kinase-substrate up	ku
YBL085W	YBR160W	kinase-substrate up	ku
YBL085W	YHL007C	kinase-substrate up	ku
YBL085W	YNL298W	kinase-substrate up	ku
YBL085W	YPL209C	kinase-substrate up	ku
YBL088C	YAR007C	kinase-substrate down	kd
YBL088C	YBL105C	kinase-substrate down	kd
YBL088C	YBR136W	kinase-substrate down	kd
YBL088C	YBR136W	kinase-substrate up	ku
YBL088C	YBR275C	kinase-substrate down	kd
YBL088C	YCR014C	kinase-substrate down	kd
YBL088C	YDL101C	kinase-substrate down	kd
YBL088C	YDL220C	kinase-substrate down	kd
YBL088C	YDR217C	kinase-substrate down	kd
YBL088C	YDR369C	kinase-substrate down	kd
YBL088C	YER095W	kinase-substrate down	kd
YBL088C	YGL175C	kinase-substrate down	kd
YBL088C	YHR030C	kinase-substrate down	kd
YBL088C	YJR060W	kinase-substrate down	kd
YBL088C	YLR288C	kinase-substrate down	kd
YBL088C	YLR335W	kinase-substrate down	kd
YBL088C	YMR133W	kinase-substrate down	kd
YBL088C	YNL312W	kinase-substrate down	kd
YBL088C	YOR189W	kinase-substrate down	kd
YBL088C	YPL153C	kinase-substrate down	kd
YBL088C	YPL153C	kinase-substrate up	ku
YBL097W	YMR001C	kinase-substrate up	ku
YBL097W	YPL209C	kinase-substrate up	ku
