"oln_id"	"gene_name"	"toxicity"
"YBL003C"	"HTA2"	1
"YBL102W"	"SFT2"	1
"YBR009C"	"HHF1"	1
"YBR024W"	"SCO2"	1
"YBR158W"	"AMN1"	1
"YBR192W"	"RIM2"	1
"YCL067C"	"HMLALPHA2"	1
"YCR039C"	"MATALPHA2"	1
"YCR096C"	"HMRA2"	1
"YDL003W"	"MCD1"	1
"YDL013W"	"HEX3"	1
"YDL067C"	"COX9"	1
"YDL103C"	"QRI1"	1
"YDL141W"	"BPL1"	1
"YDL155W"	"CLB3"	1
"YDR091C"	"RLI1"	1
"YDR113C"	"PDS1"	1
"YDR123C"	"INO2"	1
"YDR151C"	"CTH1"	1
"YDR224C"	"HTB1"	1
"YDR231C"	"COX20"	1
"YDR233C"	"RTN1"	1
"YDR389W"	"SAC7"	1
"YDR468C"	"TLG1"	1
"YDR470C"	"UGO1"	1
"YDR505C"	"PSP1"	1
"YER005W"	"YND1"	1
"YER016W"	"BIM1"	1
"YER060W"	"FCY21"	1
"YER106W"	"MAM1"	1
"YGL014W"	"PUF4"	1
"YGL073W"	"HSF1"	1
"YGL075C"	"MPS2"	1
"YGL166W"	"CUP2"	1
"YGL180W"	"ATG1"	1
"YGL189C"	"RPS26A"	1
"YGR244C"	"LSC2"	1
"YGR294W"	"YGR294W"	1
"YHR014W"	"SPO13"	1
"YHR082C"	"KSP1"	1
"YHR084W"	"STE12"	1
"YHR086W"	"NAM8"	1
"YHR098C"	"SFB3"	1
"YIR004W"	"DJP1"	1
"YJL123C"	"YJL123C"	1
"YJL157C"	"FAR1"	1
"YJL164C"	"TPK1"	1
"YJR003C"	"YJR003C"	1
"YJR095W"	"SFC1"	1
"YKL042W"	"SPC42"	1
"YKL101W"	"HSL1"	1
"YKL112W"	"ABF1"	1
"YKL154W"	"SRP102"	1
"YKL166C"	"TPK3"	1
"YKL205W"	"LOS1"	1
"YKR002W"	"PAP1"	1
"YLR013W"	"GAT3"	1
"YLR059C"	"REX2"	1
"YLR060W"	"FRS1"	1
"YLR097C"	"HRT3"	1
"YLR132C"	"YLR132C"	1
"YLR220W"	"CCC1"	1
"YLR243W"	"YLR243W"	1
"YLR311C"	"YLR311C"	1
"YLR375W"	"STP3"	1
"YLR403W"	"SFP1"	1
"YML068W"	"ITT1"	1
"YML128C"	"MSC1"	1
"YMR001C"	"CDC5"	1
"YMR032W"	"HOF1"	1
"YMR070W"	"MOT3"	1
"YMR071C"	"TVP18"	1
"YMR164C"	"MSS11"	1
"YMR179W"	"SPT21"	1
"YMR198W"	"CIK1"	1
"YMR277W"	"FCP1"	1
"YNL020C"	"ARK1"	1
"YNL028W"	"YNL028W"	1
"YNR017W"	"MAS6"	1
"YOL123W"	"HRP1"	1
"YOR106W"	"VAM3"	1
"YOR168W"	"GLN4"	1
"YOR229W"	"WTM2"	1
"YOR233W"	"KIN4"	1
"YOR271C"	"YOR271C"	1
"YOR329C"	"SCD5"	1
"YPL137C"	"YPL137C"	1
"YPL203W"	"TPK2"	1
"YPL207W"	"YPL207W"	1
"YPL209C"	"IPL1"	1
"YPL255W"	"BBP1"	1
"YPR040W"	"TIP41"	1
"YPR111W"	"DBF20"	1
"YPR120C"	"CLB5"	1
"YPR124W"	"CTR1"	1
"YPR125W"	"YPR125W"	1
"YPR177C"	"YPR177C"	1
"YBL022C"	"PIM1"	1.5
"YBL030C"	"PET9"	1.5
"YBL031W"	"SHE1"	1.5
"YBL085W"	"BOI1"	1.5
"YBL097W"	"BRN1"	1.5
"YBR085W"	"AAC3"	1.5
"YBR179C"	"FZO1"	1.5
"YBR195C"	"MSI1"	1.5
"YBR203W"	"COS111"	1.5
"YBR233W"	"PBP2"	1.5
"YCL029C"	"BIK1"	1.5
"YCR027C"	"RHB1"	1.5
"YDL056W"	"MBP1"	1.5
"YDL090C"	"RAM1"	1.5
"YDL117W"	"CYK3"	1.5
"YDL126C"	"CDC48"	1.5
"YDL186W"	"YDL186W"	1.5
"YDL198C"	"GGC1"	1.5
"YDL220C"	"CDC13"	1.5
"YDR026C"	"YDR026C"	1.5
"YDR038C"	"ENA5"	1.5
"YDR039C"	"ENA2"	1.5
"YDR084C"	"TVP23"	1.5
"YDR096W"	"GIS1"	1.5
"YDR179W-A"	"YDR179W-A"	1.5
"YDR208W"	"MSS4"	1.5
"YDR213W"	"UPC2"	1.5
"YDR238C"	"SEC26"	1.5
"YDR331W"	"GPI8"	1.5
"YDR510W"	"SMT3"	1.5
"YEL022W"	"GEA2"	1.5
"YEL064C"	"AVT2"	1.5
"YER064C"	"YER064C"	1.5
"YER125W"	"RSP5"	1.5
"YER131W"	"RPS26B"	1.5
"YFL023W"	"BUD27"	1.5
