interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
1	MIG1	SNF1	YGL035C	YDR477W	31.495818
2	SIC1	CDC28	YLR079W	YBR160W	30.1214
3	SLI15	IPL1	YBR156C	YPL209C	29.349988
4	SWE1	CDC28	YJL187C	YBR160W	28.11273
5	SWE1	CDC5	YJL187C	YMR001C	26.06954
6	MKK2	SLT2	YPL140C	YHR030C	26.05867
7	FPS1	HOG1	YLL043W	YLR113W	25.460711
8	PHO81	PHO85	YGR233C	YPL031C	25.26655
9	RCK2	HOG1	YLR248W	YLR113W	25.24034
10	PHO80	PHO85	YOL001W	YPL031C	25.097291
11	PHO4	PHO85	YFR034C	YPL031C	25.09087
12	SNF1	SAK1	YDR477W	YER129W	24.661471
13	CDC5	CDC28	YMR001C	YBR160W	24.61984
14	PAN1	PRK1	YIR006C	YIL095W	24.51295
15	BFA1	KIN4	YJR053W	YOR233W	24.45886
16	RFA1	MEC1	YAR007C	YBR136W	24.36728
17	HSL7	HSL1	YBR133C	YKL101W	23.130898
18	WHI5	CDC28	YOR083W	YBR160W	22.94789
19	FIN1	CDC28	YDR130C	YBR160W	22.45656
20	CDC28	SWE1	YBR160W	YJL187C	22.30999
21	DUN1	RAD53	YDL101C	YPL153C	22.07846
22	ATG1	TPK3	YGL180W	YKL166C	21.8142
23	NET1	CDC28	YJL076W	YBR160W	21.77112
24	MCD1	CDC5	YDL003W	YMR001C	21.62542
25	CDH1	CDC28	YGL003C	YBR160W	21.47664
26	SPC42	MPS1	YKL042W	YDL028C	21.38436
27	SLA1	PRK1	YBL007C	YIL095W	21.161866
28	RVS167	PHO85	YDR388W	YPL031C	21.059121
29	SSK1	YPD1	YLR006C	YDL235C	20.985858
30	CBK1	KIC1	YNL161W	YHR102W	20.95121
31	DNA2	CDC28	YHR164C	YBR160W	20.89848
32	RIM15	SCH9	YFL033C	YHR205W	20.687081
33	ATG1	TPK2	YGL180W	YPL203W	20.609
34	ATG1	TPK1	YGL180W	YJL164C	20.609
35	GRX4	BUD32	YER174C	YGR262C	20.59573
36	PAH1	PHO85	YMR165C	YPL031C	20.49724
37	PIL1	PKH1	YGR086C	YDR490C	20.47447
