oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
LSR1	snR6	protein-protein	p
NME1	YAL033W	protein-protein	p
Q0045	Q0250	protein-protein	p
Q0045	Q0275	protein-protein	p
Q0045	YBL045C	protein-protein	p
Q0045	YGL187C	protein-protein	p
Q0045	YGR112W	protein-protein	p
Q0045	YIL157C	protein-protein	p
Q0045	YJL062W-A	protein-protein	p
Q0045	YLR203C	protein-protein	p
Q0045	YLR395C	protein-protein	p
Q0045	YML030W	protein-protein	p
Q0045	YML129C	protein-protein	p
Q0045	YNR018W	protein-protein	p
Q0080	Q0085	protein-protein	p
Q0080	YBL099W	protein-protein	p
Q0080	YJR121W	protein-protein	p
Q0080	YKL016C	protein-protein	p
Q0080	YPL078C	protein-protein	p
Q0085	Q0080	protein-protein	p
Q0085	YBL099W	protein-protein	p
Q0085	YER154W	protein-protein	p
Q0085	YJR121W	protein-protein	p
Q0085	YKL016C	protein-protein	p
Q0085	YLR203C	protein-protein	p
Q0085	YLR393W	protein-protein	p
Q0085	YML081C-A	protein-protein	p
Q0085	YPL078C	protein-protein	p
Q0105	Q0250	protein-protein	p
Q0105	YBL045C	protein-protein	p
Q0105	YDR529C	protein-protein	p
Q0105	YEL024W	protein-protein	p
Q0105	YJL166W	protein-protein	p
Q0105	YLR203C	protein-protein	p
Q0105	YOR065W	protein-protein	p
Q0115	YIR021W	protein-protein	p
Q0120	YPL160W	protein-protein	p
Q0130	YBL099W	protein-protein	p
Q0130	YER154W	protein-protein	p
Q0130	YJR121W	protein-protein	p
Q0130	YLR203C	protein-protein	p
Q0130	YPL078C	protein-protein	p
Q0250	Q0045	protein-protein	p
Q0250	Q0105	protein-protein	p
Q0250	YBL030C	protein-protein	p
Q0250	YBL045C	protein-protein	p
Q0250	YBR024W	protein-protein	p
Q0250	YBR037C	protein-protein	p
Q0250	YDR231C	protein-protein	p
Q0250	YER154W	protein-protein	p
Q0250	YLR203C	protein-protein	p
Q0250	YML030W	protein-protein	p
Q0250	YML129C	protein-protein	p
Q0250	YNR017W	protein-protein	p
Q0275	Q0045	protein-protein	p
Q0275	YER154W	protein-protein	p
Q0275	YLR203C	protein-protein	p
Q0275	YML030W	protein-protein	p
Q0275	YML129C	protein-protein	p
snR47	YMR239C	protein-protein	p
snR6	LSR1	protein-protein	p
YAL001C	YBR123C	protein-protein	p
YAL001C	YDR362C	protein-protein	p
YAL001C	YGR047C	protein-protein	p
YAL001C	YOR110W	protein-protein	p
YAL002W	YDL077C	protein-protein	p
YAL002W	YDR495C	protein-protein	p
YAL002W	YKR014C	protein-protein	p
YAL002W	YLR148W	protein-protein	p
YAL002W	YLR396C	protein-protein	p
YAL002W	YMR231W	protein-protein	p
YAL002W	YOR089C	protein-protein	p
YAL002W	YPL045W	protein-protein	p
YAL003W	YBR118W	protein-protein	p
YAL003W	YKL081W	protein-protein	p
YAL003W	YLR249W	protein-protein	p
YAL003W	YPR080W	protein-protein	p
YAL005C	YAL036C	protein-protein	p
YAL005C	YAR002W	protein-protein	p
YAL005C	YBL075C	protein-protein	p
YAL005C	YBR101C	protein-protein	p
YAL005C	YBR155W	protein-protein	p
YAL005C	YBR169C	protein-protein	p
YAL005C	YDL116W	protein-protein	p
YAL005C	YDL229W	protein-protein	p
YAL005C	YDR172W	protein-protein	p
YAL005C	YDR192C	protein-protein	p
YAL005C	YDR381W	protein-protein	p
YAL005C	YDR510W	protein-protein	p
YAL005C	YER165W	protein-protein	p
YAL005C	YGL219C	protein-protein	p
YAL005C	YGL238W	protein-protein	p
YAL005C	YHR117W	protein-protein	p
YAL005C	YIL016W	protein-protein	p
YAL005C	YIL115C	protein-protein	p
YAL005C	YJL039C	protein-protein	p
YAL005C	YJL041W	protein-protein	p
YAL005C	YJR032W	protein-protein	p
YAL005C	YKR048C	protein-protein	p
YAL005C	YKR095W	protein-protein	p
YAL005C	YLL006W	protein-protein	p
YAL005C	YLL024C	protein-protein	p
YAL005C	YLL026W	protein-protein	p
YAL005C	YLR200W	protein-protein	p
YAL005C	YLR310C	protein-protein	p
YAL005C	YLR335W	protein-protein	p
YAL005C	YLR347C	protein-protein	p
YAL005C	YMR091C	protein-protein	p
YAL005C	YMR186W	protein-protein	p
YAL005C	YNL007C	protein-protein	p
YAL005C	YNL064C	protein-protein	p
YAL005C	YNL209W	protein-protein	p
YAL005C	YNL229C	protein-protein	p
YAL005C	YOL072W	protein-protein	p
YAL005C	YOR007C	protein-protein	p
YAL005C	YOR027W	protein-protein	p
YAL005C	YOR098C	protein-protein	p
YAL005C	YOR164C	protein-protein	p
YAL005C	YPL106C	protein-protein	p
YAL005C	YPL240C	protein-protein	p
YAL007C	YAR002C-A	protein-protein	p
YAL007C	YGL200C	protein-protein	p
YAL009W	YHR004C	protein-protein	p
YAL010C	YHR083W	protein-protein	p
YAL010C	YLL006W	protein-protein	p
YAL010C	YMR060C	protein-protein	p
YAL010C	YMR203W	protein-protein	p
YAL010C	YNL026W	protein-protein	p
YAL010C	YNL070W	protein-protein	p
YAL010C	YOL009C	protein-protein	p
YAL011W	YBR231C	protein-protein	p
YAL011W	YDR190C	protein-protein	p
YAL011W	YDR334W	protein-protein	p
YAL011W	YDR485C	protein-protein	p
YAL011W	YDR510W	protein-protein	p
YAL011W	YGR002C	protein-protein	p
YAL011W	YJL081C	protein-protein	p
YAL011W	YLR085C	protein-protein	p
YAL011W	YML041C	protein-protein	p
YAL011W	YNL107W	protein-protein	p
YAL011W	YOL012C	protein-protein	p
YAL011W	YPL235W	protein-protein	p
YAL012W	YKL210W	protein-protein	p
YAL013W	YBR095C	protein-protein	p
YAL013W	YDR207C	protein-protein	p
YAL013W	YIL084C	protein-protein	p
YAL013W	YKL185W	protein-protein	p
YAL013W	YMR263W	protein-protein	p
YAL013W	YNL330C	protein-protein	p
YAL013W	YOL004W	protein-protein	p
YAL013W	YPL139C	protein-protein	p
YAL013W	YPL181W	protein-protein	p
YAL014C	YAL030W	protein-protein	p
YAL014C	YER133W	protein-protein	p
YAL014C	YMR197C	protein-protein	p
YAL014C	YOR036W	protein-protein	p
YAL015C	YDR510W	protein-protein	p
YAL016W	YDL134C	protein-protein	p
YAL016W	YDL188C	protein-protein	p
YAL016W	YGL190C	protein-protein	p
YAL016W	YIL153W	protein-protein	p
YAL016W	YML109W	protein-protein	p
YAL016W	YMR273C	protein-protein	p
YAL016W	YNL127W	protein-protein	p
YAL016W	YOR014W	protein-protein	p
YAL016W	YPL152W	protein-protein	p
YAL017W	YER177W	protein-protein	p
YAL017W	YFR024C-A	protein-protein	p
YAL017W	YGR252W	protein-protein	p
YAL017W	YPR160W	protein-protein	p
YAL019W	YAR007C	protein-protein	p
YAL019W	YBR160W	protein-protein	p
YAL019W	YHR164C	protein-protein	p
YAL019W	YLR027C	protein-protein	p
YAL019W	YOR033C	protein-protein	p
YAL020C	YBL071W-A	protein-protein	p
YAL020C	YKR048C	protein-protein	p
YAL021C	YBR034C	protein-protein	p
YAL021C	YCR093W	protein-protein	p
YAL021C	YDL149W	protein-protein	p
YAL021C	YDL165W	protein-protein	p
YAL021C	YDR252W	protein-protein	p
YAL021C	YDR443C	protein-protein	p
YAL021C	YER068W	protein-protein	p
YAL021C	YER165W	protein-protein	p
YAL021C	YGL178W	protein-protein	p
YAL021C	YGR092W	protein-protein	p
YAL021C	YGR134W	protein-protein	p
YAL021C	YIL038C	protein-protein	p
YAL021C	YNL025C	protein-protein	p
YAL021C	YNL288W	protein-protein	p
YAL021C	YNR052C	protein-protein	p
YAL021C	YPL042C	protein-protein	p
YAL021C	YPR072W	protein-protein	p
YAL023C	YCR043C	protein-protein	p
YAL023C	YDL095W	protein-protein	p
YAL023C	YGL200C	protein-protein	p
YAL024C	YBL097W	protein-protein	p
YAL024C	YBR160W	protein-protein	p
YAL024C	YFR028C	protein-protein	p
YAL024C	YGR238C	protein-protein	p
YAL024C	YHR158C	protein-protein	p
YAL024C	YNL098C	protein-protein	p
YAL024C	YOR233W	protein-protein	p
YAL024C	YPR119W	protein-protein	p
YAL024C	YPR140W	protein-protein	p
YAL025C	YGR103W	protein-protein	p
YAL025C	YHR066W	protein-protein	p
YAL026C	YCR094W	protein-protein	p
YAL026C	YDL192W	protein-protein	p
YAL026C	YEL022W	protein-protein	p
YAL026C	YML072C	protein-protein	p
YAL026C	YNL271C	protein-protein	p
YAL026C	YNL321W	protein-protein	p
YAL026C	YNL323W	protein-protein	p
YAL027W	YML032C	protein-protein	p
YAL027W	YML095C	protein-protein	p
YAL027W	YOL090W	protein-protein	p
YAL027W	YPL022W	protein-protein	p
YAL028W	YBR160W	protein-protein	p
YAL029C	YBR109C	protein-protein	p
YAL029C	YBR119W	protein-protein	p
YAL029C	YBR130C	protein-protein	p
YAL029C	YFL039C	protein-protein	p
YAL029C	YKL130C	protein-protein	p
YAL029C	YOR035C	protein-protein	p
YAL030W	YAL014C	protein-protein	p
YAL030W	YBL050W	protein-protein	p
YAL030W	YDR468C	protein-protein	p
YAL030W	YER143W	protein-protein	p
YAL030W	YGR009C	protein-protein	p
YAL030W	YGR142W	protein-protein	p
YAL030W	YJL036W	protein-protein	p
YAL030W	YJL204C	protein-protein	p
YAL030W	YLL039C	protein-protein	p
YAL030W	YMR183C	protein-protein	p
YAL030W	YNR049C	protein-protein	p
YAL030W	YPL232W	protein-protein	p
YAL031C	YBR160W	protein-protein	p
YAL031C	YCL027W	protein-protein	p
YAL031C	YER133W	protein-protein	p
YAL031C	YNL317W	protein-protein	p
YAL032C	YDL043C	protein-protein	p
YAL032C	YDL209C	protein-protein	p
YAL032C	YDR416W	protein-protein	p
YAL032C	YDR482C	protein-protein	p
YAL032C	YDR510W	protein-protein	p
YAL032C	YER013W	protein-protein	p
YAL032C	YGL120C	protein-protein	p
YAL032C	YJL203W	protein-protein	p
YAL032C	YLL036C	protein-protein	p
YAL032C	YLR117C	protein-protein	p
YAL032C	YLR424W	protein-protein	p
YAL032C	YML049C	protein-protein	p
YAL032C	YMR213W	protein-protein	p
YAL032C	YMR288W	protein-protein	p
YAL032C	YPL151C	protein-protein	p
YAL032C	YPL213W	protein-protein	p
YAL033W	NME1	protein-protein	p
YAL033W	YBL018C	protein-protein	p
YAL033W	YBR167C	protein-protein	p
YAL033W	YBR257W	protein-protein	p
YAL033W	YGR030C	protein-protein	p
YAL033W	YHR062C	protein-protein	p
YAL033W	YIR015W	protein-protein	p
YAL033W	YLR145W	protein-protein	p
YAL033W	YNL221C	protein-protein	p
YAL033W	YNL282W	protein-protein	p
YAL034C	YER110C	protein-protein	p
YAL034W-A	YBR211C	protein-protein	p
YAL034W-A	YCR086W	protein-protein	p
YAL034W-A	YDR254W	protein-protein	p
YAL034W-A	YDR318W	protein-protein	p
YAL034W-A	YER018C	protein-protein	p
YAL034W-A	YGL093W	protein-protein	p
YAL034W-A	YGR179C	protein-protein	p
YAL034W-A	YIL144W	protein-protein	p
YAL034W-A	YIR010W	protein-protein	p
YAL034W-A	YJR112W	protein-protein	p
YAL034W-A	YKL049C	protein-protein	p
YAL034W-A	YKL089W	protein-protein	p
YAL034W-A	YMR117C	protein-protein	p
YAL034W-A	YOL069W	protein-protein	p
YAL034W-A	YPL018W	protein-protein	p
YAL034W-A	YPL233W	protein-protein	p
YAL034W-A	YPR046W	protein-protein	p
YAL035W	YBR079C	protein-protein	p
YAL035W	YDL220C	protein-protein	p
YAL035W	YDR496C	protein-protein	p
YAL035W	YER025W	protein-protein	p
YAL035W	YER036C	protein-protein	p
YAL035W	YMR260C	protein-protein	p
YAL035W	YMR309C	protein-protein	p
YAL035W	YOR361C	protein-protein	p
YAL036C	YAL005C	protein-protein	p
YAL036C	YDR152W	protein-protein	p
YAL036C	YGR250C	protein-protein	p
