oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YAL003W	YBR049C	transcription factor-target up	tu
YAL003W	YGL073W	transcription factor-target up	tu
YAL003W	YKL112W	transcription factor-target up	tu
YAL003W	YNL216W	transcription factor-target up	tu
YAL004W	YNL216W	transcription factor-target up	tu
YAL005C	YDL020C	transcription factor-target up	tu
YAL005C	YDR207C	transcription factor-target up	tu
YAL005C	YGL073W	transcription factor-target up	tu
YAL005C	YMR037C	transcription factor-target up	tu
YAL005C	YNL216W	transcription factor-target up	tu
YAL007C	YOR344C	transcription factor-target up	tu
YAL012W	YDR253C	transcription factor-target up	tu
YAL012W	YNL103W	transcription factor-target up	tu
YAL012W	YOL028C	transcription factor-target up	tu
YAL012W	YPL038W	transcription factor-target up	tu
YAL014C	YNL314W	transcription factor-target up	tu
YAL016W	YOR363C	transcription factor-target up	tu
YAL017W	YDR043C	transcription factor-target up	tu
YAL017W	YDR146C	transcription factor-target up	tu
YAL017W	YGL071W	transcription factor-target up	tu
YAL017W	YGL192W	transcription factor-target up	tu
YAL018C	YBR049C	transcription factor-target up	tu
YAL018C	YDR043C	transcription factor-target up	tu
YAL018C	YDR146C	transcription factor-target up	tu
YAL018C	YDR310C	transcription factor-target up	tu
YAL018C	YGL071W	transcription factor-target up	tu
YAL018C	YGL192W	transcription factor-target up	tu
YAL018C	YGL254W	transcription factor-target up	tu
YAL022C	YBR182C	transcription factor-target up	tu
YAL022C	YDR043C	transcription factor-target up	tu
YAL022C	YDR146C	transcription factor-target up	tu
YAL022C	YDR216W	transcription factor-target up	tu
YAL022C	YGL013C	transcription factor-target up	tu
YAL022C	YGL192W	transcription factor-target up	tu
YAL022C	YGL254W	transcription factor-target up	tu
YAL022C	YLR403W	transcription factor-target up	tu
YAL022C	YMR043W	transcription factor-target up	tu
YAL023C	YDR310C	transcription factor-target up	tu
YAL023C	YDR392W	transcription factor-target up	tu
YAL023C	YKL112W	transcription factor-target up	tu
YAL024C	YNL068C	transcription factor-target up	tu
YAL025C	YBR049C	transcription factor-target up	tu
YAL026C	YJR060W	transcription factor-target up	tu
YAL028W	YMR037C	transcription factor-target up	tu
YAL028W	YNL068C	transcription factor-target up	tu
YAL029C	YBR049C	transcription factor-target up	tu
YAL029C	YNL068C	transcription factor-target up	tu
YAL030W	YBR049C	transcription factor-target up	tu
YAL031C	YBR049C	transcription factor-target up	tu
YAL033W	YNL216W	transcription factor-target up	tu
YAL034C	YNL216W	transcription factor-target up	tu
YAL034W-A	YIL131C	transcription factor-target up	tu
YAL036C	YKL112W	transcription factor-target up	tu
YAL037W	YOR028C	transcription factor-target up	tu
YAL038W	YDR392W	transcription factor-target up	tu
YAL038W	YNL068C	transcription factor-target up	tu
YAL038W	YNL199C	transcription factor-target up	tu
YAL038W	YOR344C	transcription factor-target up	tu
YAL038W	YPL075W	transcription factor-target up	tu
YAL040C	YDR253C	transcription factor-target up	tu
YAL040C	YMR043W	transcription factor-target up	tu
YAL041W	YKL112W	transcription factor-target up	tu
YAL042W	YKL112W	transcription factor-target up	tu
YAL043C	YKL112W	transcription factor-target up	tu
YAL043C-A	YKL112W	transcription factor-target up	tu
YAL044C	YDR392W	transcription factor-target up	tu
YAL044C	YKR099W	transcription factor-target up	tu
YAL045C	YKR099W	transcription factor-target up	tu
YAL051W	YDR207C	transcription factor-target down	td
YAL051W	YOL083W	transcription factor-target down	td
YAL051W	YPL016W	transcription factor-target down	td
YAL053W	YBR049C	transcription factor-target up	tu
YAL053W	YKL112W	transcription factor-target up	tu
YAL054C	YDR207C	transcription factor-target up	tu
YAL054C	YKL112W	transcription factor-target up	tu
YAL061W	YBR112C	transcription factor-target up	tu
YAL061W	YMR016C	transcription factor-target up	tu
YAL061W	YMR037C	transcription factor-target up	tu
YAL062W	YML007W	transcription factor-target up	tu
YAL068C	YNL216W	transcription factor-target up	tu
YAR002W	YBL008W	transcription factor-target up	tu
YAR007C	YDL056W	transcription factor-target up	tu
YAR007C	YDR392W	transcription factor-target up	tu
YAR007C	YJR060W	transcription factor-target up	tu
YAR008W	YDL056W	transcription factor-target up	tu
YAR009C	YMR021C	transcription factor-target up	tu
YAR010C	YBR083W	transcription factor-target up	tu
YAR010C	YPL254W	transcription factor-target up	tu
YAR015W	YBR083W	transcription factor-target up	tu
YAR015W	YDR392W	transcription factor-target up	tu
YAR015W	YEL009C	transcription factor-target up	tu
YAR015W	YKR099W	transcription factor-target up	tu
YAR018C	YMR043W	transcription factor-target up	tu
YAR018C	YNL068C	transcription factor-target up	tu
YAR018C	YOR372C	transcription factor-target up	tu
YAR035W	YDR207C	transcription factor-target up	tu
YAR071W	YER040W	transcription factor-target up	tu
