node_a	node_b	node_c	type_ac	type_bc	genetic_interaction_score
YBL007C	YAL023C	YKL112W	tu	tu	-0.139
YBL023C	YAR007C	YDL056W	tu	tu	-0.1556
YBL023C	YAR007C	YDR510W	p	p	-0.1556
YBL023C	YAR007C	YLR103C	p	p	-0.1556
YBL105C	YAL005C	YBR160W	ku	ku	-0.1722
YBL105C	YAL005C	YBR160W	p	ku	-0.1722
YBL105C	YAL005C	YER165W	p	p	-0.1722
YBL105C	YBL004W	YBR049C	tu	tu	-0.1491
YBR009C	YAL024C	YNL068C	tu	tu	-0.1517
YBR011C	YAL023C	YKL112W	tu	tu	-0.5278
YBR049C	YAL034W-A	YMR117C	td	p	-0.2887
YBR049C	YAL034W-A	YPL018W	td	p	-0.2887
YBR078W	YAL023C	YKL112W	tu	tu	-0.13
YBR078W	YAL053W	YKL112W	tu	tu	-0.1306
YBR082C	YBL084C	YBR049C	tu	tu	-0.4505
YBR082C	YBL084C	YDL008W	p	p	-0.4505
YBR082C	YBL084C	YGL003C	p	p	-0.4505
YBR085W	YAL005C	YNL216W	tu	tu	-0.1779
YBR087W	YBL035C	YOR217W	p	p	-0.2277
YBR095C	YBL105C	YBR049C	tu	tu	-0.1334
YBR101C	YAL005C	YDL229W	p	p	-0.1539
YBR101C	YAL005C	YGL073W	tu	tu	-0.1539
YBR105C	YAL061W	YBR112C	tu	tu	-0.1669
YBR107C	YAL034W-A	YBR211C	p	p	-0.2527
YBR107C	YAL034W-A	YDR254W	p	p	-0.2527
YBR107C	YAL034W-A	YGR179C	p	p	-0.2527
YBR107C	YAL034W-A	YIR010W	p	p	-0.2527
YBR107C	YAL034W-A	YPL018W	p	p	-0.2527
YBR107C	YAL034W-A	YPR046W	p	p	-0.2527
YBR111W-A	YAR002W	YBR010W	p	p	-0.1678
YBR111W-A	YAR002W	YPL169C	p	p	-0.1678
YBR118W	YAL004W	YNL216W	tu	tu	-0.1269
YBR133C	YBL031W	YLR113W	ku	ku	-0.4121
YBR135W	YAL024C	YBR160W	ku	ku	-0.3029
YBR135W	YAL024C	YBR160W	p	ku	-0.3029
YBR135W	YAL024C	YBR160W	ku	p	-0.3029
YBR135W	YAL024C	YBR160W	p	p	-0.3029
YBR135W	YAL024C	YNL068C	tu	tu	-0.3029
YBR135W	YAL024C	YPR119W	p	p	-0.3029
YBR135W	YAR002W	YBR160W	ku	ku	-0.2128
YBR135W	YAR002W	YBR160W	p	ku	-0.2128
YBR135W	YAR002W	YBR160W	ku	p	-0.2128
YBR135W	YAR002W	YBR160W	p	p	-0.2128
YBR135W	YAR002W	YLL039C	p	p	-0.2128
YBR135W	YAR018C	YNL068C	tu	tu	-0.1918
YBR135W	YBL047C	YLL039C	p	p	-0.2041
YBR135W	YBL084C	YBR160W	ku	ku	-0.2037
YBR135W	YBL084C	YBR160W	p	ku	-0.2037
YBR136W	YBL088C	YAR007C	kd	kd	-0.1529
YBR136W	YBL088C	YAR007C	p	kd	-0.1529
YBR136W	YBL088C	YDL101C	kd	kd	-0.1529
YBR136W	YBL088C	YDL220C	kd	kd	-0.1529
YBR136W	YBL088C	YDL220C	p	kd	-0.1529
YBR136W	YBL088C	YDR217C	kd	kd	-0.1529
YBR136W	YBL088C	YER095W	kd	kd	-0.1529
YBR136W	YBL088C	YGL175C	kd	kd	-0.1529
YBR136W	YBL088C	YHR030C	kd	kd	-0.1529
YBR136W	YBL088C	YJR060W	kd	kd	-0.1529
YBR136W	YBL088C	YMR133W	kd	kd	-0.1529
YBR136W	YBL088C	YNL312W	kd	kd	-0.1529
YBR136W	YBL088C	YNL312W	p	kd	-0.1529
YBR136W	YBL088C	YOR189W	kd	kd	-0.1529
YBR136W	YBL088C	YPL153C	kd	kd	-0.1529
YBR136W	YBL088C	YPL153C	ku	kd	-0.1529
YBR136W	YBL088C	YPL153C	p	kd	-0.1529
YBR136W	YBL088C	YPL153C	kd	ku	-0.1529
