motif_type edge_type observed_counts p_value mean sd median mad total_per_motif_type is_significant color
KUKU K2 52 0 10.89775 4.50675855306935 11 4.4478 2173 1 red
KUKU K1 81 0 12.25375 4.77405056814512 12 4.4478 2173 1 red
KUKU None 1816 0 1216.206 62.4079622519283 1214 62.2692 2173 1 red
KUKU P 198 0 11.341 4.08875267956116 11 4.4478 2173 1 red
KUKU T2 11 0 1.4145 1.33309190737485 1 1.4826 2173 0 blue
KUKU T1 15 0 1.616 1.43057877759653 1 1.4826 2173 0 blue
PKD K2 75 0 5.705 5.43197492519039 4 4.4478 1230 1 red
PKD K1 297 0 23.65125 9.42970589551012 23 8.8956 1230 1 red
PKD None 661 0 476.592 33.2634506671748 477 28.1694 1230 1 red
PKD P 188 0 18.2055 10.259390016998 16 8.8956 1230 1 red
PKD T2 9 0 0.22475 0.600689307721637 0 0 1230 0 blue
PKD T1 0 1 0.01825 0.180069552564951 0 0 1230 0 blue
PKU K2 87 0 5.76975 3.52368259385769 5 2.9652 2375 1 red
PKU K1 67 0 5.26125 2.7846789845082 5 2.9652 2375 1 red
PKU None 1962 0 1542.53625 90.0176814947092 1544 84.5082 2375 1 red
PKU P 231 0 17.23725 5.51571103345265 17 5.9304 2375 1 red
PKU T2 21 0 0.95675 1.07082496423363 1 1.4826 2375 0 blue
PKU T1 7 0.207 1.6495 1.43253718649728 1 1.4826 2375 0 blue
PP K2 76 0 5.25625 3.53987550870852 5 2.9652 18169 0 blue
PP K1 122 0 12.32925 6.40957214572647 11 5.9304 18169 0 blue
PP None 9127 0 5330.184 113.955902132833 5331 114.1602 18169 1 red
PP P 8785 0 120.7195 19.7878171908196 119 19.2738 18169 1 red
PP T2 15 0 2.7665 2.10275608328365 2 1.4826 18169 0 blue
PP T1 44 0 2.5105 1.88129598113699 2 1.4826 18169 0 blue
TDP K2 0 1 0.02175 0.14588439966123 0 0 1247 0 blue
TDP K1 8 1 1.91225 2.95554288514589 1 1.4826 1247 0 blue
TDP None 836 0 656.12175 35.8354848220393 655 35.5824 1247 1 red
TDP P 41 0.018 6.3935 5.96351814260336 5 4.4478 1247 1 red
TDP T2 362 0 28.669 11.0277759299185 27 10.3782 1247 1 red
TDP T1 0 1 0.48725 0.836069489066338 0 0 1247 0 blue
TUTU K2 3 0.198 0.31825 0.573628102345013 0 0 4397 0 blue
TUTU K1 10 0 0.60575 0.806833119313147 0 0 4397 0 blue
TUTU None 4190 0 3139.5085 108.537832312106 3138 109.7124 4397 1 red
TUTU P 183 0 9.424 3.24119581907425 9 2.9652 4397 1 red
TUTU T2 7 1 2.63175 1.81534178708884 2 1.4826 4397 0 blue
TUTU T1 4 1 3.81525 2.22864513825958 4 2.9652 4397 0 blue
