motif_type edge_type counts
KUKU K2 7
PKD K2 22
PKU K2 10
PP K2 16
TDP K2 0
TUTU K2 0
KUKU K2 3
PKD K2 17
PKU K2 7
PP K2 3
TDP K2 1
TUTU K2 0
KUKU K2 4
PKD K2 2
PKU K2 3
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 15
PKD K2 10
PKU K2 5
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 13
PKD K2 5
PKU K2 12
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 14
PKD K2 0
PKU K2 5
PP K2 9
TDP K2 0
TUTU K2 0
KUKU K2 11
PKD K2 3
PKU K2 8
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 15
PKD K2 5
PKU K2 5
PP K2 7
TDP K2 0
TUTU K2 0
KUKU K2 9
PKD K2 1
PKU K2 11
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 7
PKD K2 0
PKU K2 1
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 14
PKD K2 4
PKU K2 11
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 7
PKD K2 4
PKU K2 9
PP K2 8
TDP K2 0
TUTU K2 0
KUKU K2 8
PKD K2 5
PKU K2 6
PP K2 5
TDP K2 0
TUTU K2 2
KUKU K2 14
PKD K2 2
PKU K2 7
PP K2 14
TDP K2 0
TUTU K2 0
KUKU K2 11
PKD K2 2
PKU K2 3
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 19
PKD K2 6
PKU K2 7
PP K2 5
TDP K2 0
TUTU K2 1
KUKU K2 14
PKD K2 11
PKU K2 5
PP K2 10
TDP K2 0
TUTU K2 0
KUKU K2 10
PKD K2 3
PKU K2 2
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 10
PKD K2 7
PKU K2 7
PP K2 9
TDP K2 0
TUTU K2 0
KUKU K2 7
PKD K2 2
PKU K2 6
PP K2 0
TDP K2 0
TUTU K2 1
KUKU K2 16
PKD K2 3
PKU K2 5
PP K2 5
TDP K2 0
TUTU K2 0
KUKU K2 17
PKD K2 4
PKU K2 14
PP K2 6
TDP K2 0
TUTU K2 0
KUKU K2 19
PKD K2 3
PKU K2 13
PP K2 9
TDP K2 0
TUTU K2 0
KUKU K2 11
PKD K2 16
PKU K2 14
PP K2 5
TDP K2 0
TUTU K2 1
KUKU K2 9
PKD K2 2
PKU K2 2
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 13
PKD K2 12
PKU K2 7
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 10
PKD K2 1
PKU K2 10
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 8
PKD K2 14
PKU K2 3
PP K2 1
TDP K2 0
TUTU K2 1
KUKU K2 11
PKD K2 6
PKU K2 6
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 8
PKD K2 6
PKU K2 3
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 15
PKD K2 4
PKU K2 9
PP K2 5
TDP K2 0
TUTU K2 3
KUKU K2 10
PKD K2 5
PKU K2 10
PP K2 5
TDP K2 0
TUTU K2 0
KUKU K2 9
PKD K2 10
PKU K2 5
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 20
PKD K2 2
PKU K2 10
PP K2 5
TDP K2 0
TUTU K2 0
KUKU K2 10
PKD K2 3
PKU K2 8
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 7
PKD K2 3
PKU K2 6
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 10
PKD K2 9
PKU K2 1
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 8
PKD K2 15
PKU K2 18
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 7
PKD K2 2
PKU K2 5
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 13
PKD K2 1
PKU K2 6
PP K2 12
TDP K2 0
TUTU K2 0
KUKU K2 20
PKD K2 8
PKU K2 3
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 6
PKD K2 1
PKU K2 3
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 14
PKD K2 3
PKU K2 16
PP K2 7
TDP K2 0
TUTU K2 0
KUKU K2 6
PKD K2 3
PKU K2 8
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 16
PKD K2 2
PKU K2 5
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 12
PKD K2 11
PKU K2 8
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 4
PKD K2 1
PKU K2 1
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 14
PKD K2 5
PKU K2 3
PP K2 3
TDP K2 0
TUTU K2 1
KUKU K2 8
PKD K2 4
PKU K2 1
PP K2 1
TDP K2 0
TUTU K2 1
KUKU K2 18
PKD K2 1
PKU K2 5
PP K2 4
TDP K2 0
TUTU K2 1
KUKU K2 12
PKD K2 4
PKU K2 7
PP K2 2
TDP K2 0
TUTU K2 0
KUKU K2 19
PKD K2 3
PKU K2 17
PP K2 3
TDP K2 0
TUTU K2 1
KUKU K2 15
PKD K2 8
PKU K2 5
PP K2 7
TDP K2 0
TUTU K2 0
KUKU K2 17
PKD K2 5
PKU K2 5
PP K2 4
TDP K2 0
TUTU K2 3
KUKU K2 8
PKD K2 9
PKU K2 7
PP K2 7
TDP K2 0
TUTU K2 0
KUKU K2 11
PKD K2 2
PKU K2 2
PP K2 4
TDP K2 0
TUTU K2 0
KUKU K2 6
PKD K2 1
PKU K2 7
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 16
PKD K2 4
PKU K2 6
PP K2 6
TDP K2 0
TUTU K2 0
KUKU K2 7
PKD K2 4
PKU K2 8
PP K2 11
TDP K2 0
TUTU K2 0
KUKU K2 7
PKD K2 5
PKU K2 5
PP K2 3
TDP K2 0
TUTU K2 0
KUKU K2 12
PKD K2 5
PKU K2 1
PP K2 3
