"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 41 19 5 1 NA NA
"ku" "kd" 166 9 19 7 NA NA
"ku" "ku" 1246 19 14 13 2 1
"p" "kd" 471 5 27 18 NA NA
"p" "ku" 1513 7 10 27 NA 1
"p" "p" 5279 4 19 117 4 4
"td" "kd" 44 NA 7 6 NA NA
"td" "ku" 35 NA 1 1 1 NA
"td" "p" 694 NA 1 10 35 1
"td" "td" 123 NA NA NA 2 10
"tu" "kd" 135 1 7 4 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 544 NA NA 3 NA 1
"tu" "td" 138 NA NA NA NA 4
"tu" "tu" 2989 1 NA 7 1 5
"kd" "kd" 29 35 25 NA NA NA
"ku" "kd" 189 13 31 6 NA NA
"ku" "ku" 1252 11 17 7 1 1
"p" "kd" 491 14 35 12 NA NA
"p" "ku" 1513 4 7 18 1 1
"p" "p" 5430 8 10 131 2 1
"td" "kd" 50 NA 7 NA 5 NA
"td" "ku" 18 NA NA NA NA NA
"td" "p" 625 NA 2 1 15 2
"td" "td" 252 NA NA NA 25 56
"tu" "kd" 127 1 4 2 NA NA
"tu" "p" 502 1 NA 3 1 NA
"tu" "td" 143 NA NA NA NA 5
"tu" "tu" 3104 NA NA 7 1 3
"kd" "kd" 69 4 10 NA NA NA
"ku" "kd" 218 1 17 NA NA NA
"ku" "ku" 1216 6 7 6 NA 3
"p" "kd" 467 3 28 3 1 NA
"p" "ku" 1571 1 8 15 1 1
"p" "p" 5323 4 16 109 2 NA
"td" "kd" 75 NA 1 NA NA NA
"td" "ku" 26 NA NA NA NA NA
"td" "p" 646 NA 1 1 24 NA
"td" "td" 172 NA NA NA 9 5
"tu" "kd" 98 1 3 1 NA NA
"tu" "p" 471 NA 1 5 NA 1
"tu" "td" 145 NA NA 1 NA 5
"tu" "tu" 3042 NA 1 11 3 1
"kd" "kd" 37 8 6 7 NA NA
"ku" "kd" 223 4 31 12 1 NA
"ku" "ku" 1278 15 9 12 1 2
"p" "kd" 453 3 16 8 1 NA
"p" "ku" 1501 8 3 24 1 1
"p" "p" 5384 3 9 132 3 3
"td" "kd" 49 NA NA NA NA NA
"td" "ku" 63 NA NA NA 3 NA
"td" "p" 673 NA NA 1 15 NA
"td" "td" 123 NA NA NA NA 1
"tu" "kd" 97 NA 1 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 518 NA NA 8 NA 1
"tu" "td" 105 NA NA NA NA 10
"tu" "tu" 3010 NA NA 11 4 3
"kd" "kd" 27 6 14 NA NA NA
"ku" "kd" 206 2 21 2 NA NA
"ku" "ku" 1147 5 11 9 5 4
"p" "kd" 462 4 24 14 NA NA
"p" "ku" 1630 7 2 17 2 5
"p" "p" 5345 11 17 137 6 3
"td" "kd" 50 NA 8 3 11 NA
"td" "ku" 31 NA 1 NA 3 1
"td" "p" 616 NA 2 3 36 1
"td" "td" 146 NA NA 2 NA 40
"tu" "kd" 100 NA 2 NA NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 528 NA NA 2 NA 2
"tu" "td" 140 1 NA NA NA 10
"tu" "tu" 3069 1 NA 8 5 2
"kd" "kd" 50 28 27 1 NA NA
"ku" "kd" 212 12 29 7 NA NA
"ku" "ku" 1259 19 10 14 2 6
"p" "kd" 489 13 33 10 NA NA
"p" "ku" 1623 14 8 23 3 1
"p" "p" 5470 9 14 119 6 2
"td" "kd" 50 NA 2 3 3 NA
"td" "ku" 51 NA NA NA 4 NA
"td" "p" 682 1 1 2 59 1
"td" "td" 158 NA NA NA 17 2
"tu" "kd" 104 1 5 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 490 NA 1 5 NA NA
"tu" "td" 139 1 NA NA NA 10
"tu" "tu" 3193 NA 1 8 6 7
"kd" "kd" 27 11 20 5 NA NA
"ku" "kd" 190 3 21 5 NA NA
"ku" "ku" 1146 10 15 16 1 2
"p" "kd" 457 3 12 18 1 NA
"p" "ku" 1444 3 3 7 1 2
"p" "p" 5175 4 8 96 6 2
"td" "kd" 61 NA NA NA 4 NA
"td" "ku" 45 NA NA NA 1 NA
"td" "p" 644 NA NA 2 10 1
"td" "td" 191 NA NA NA NA 13
"tu" "kd" 111 NA 4 4 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 469 NA NA 5 NA 2
"tu" "td" 110 NA NA NA NA 4
"tu" "tu" 3010 NA NA 11 2 2
"kd" "kd" 30 14 22 NA NA NA
"ku" "kd" 198 9 17 4 NA NA
"ku" "ku" 1222 9 12 8 1 1
"p" "kd" 489 2 17 16 NA NA
"p" "ku" 1584 3 5 7 1 1
"p" "p" 5550 5 2 125 4 9
"td" "kd" 53 NA 1 NA 1 NA
"td" "ku" 25 NA NA NA 1 NA
"td" "p" 633 NA NA 15 38 NA
"td" "td" 240 NA NA NA 26 NA
"tu" "kd" 130 NA 4 3 NA NA
"tu" "p" 454 NA 1 6 1 NA
"tu" "td" 119 NA NA 1 NA 11
"tu" "tu" 3155 1 1 7 3 4
"kd" "kd" 34 3 6 1 NA NA
"ku" "kd" 207 1 12 3 NA NA
"ku" "ku" 1129 9 8 3 NA 1
"p" "kd" 426 5 28 18 1 NA
"p" "ku" 1331 1 1 17 NA 3
"p" "p" 5197 8 10 86 3 2
"td" "kd" 53 NA 11 NA NA NA
"td" "ku" 35 NA NA NA 1 NA
"td" "p" 701 NA 2 4 20 NA
"td" "td" 193 1 NA NA NA 2
"tu" "kd" 100 NA 2 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 482 NA 1 7 NA 1
"tu" "td" 130 NA NA 1 NA 8
"tu" "tu" 2839 NA NA 7 NA 3
"kd" "kd" 38 1 1 NA NA NA
"ku" "kd" 235 NA 28 3 NA NA
"ku" "ku" 1245 11 9 13 1 4
"p" "kd" 512 2 42 18 NA NA
"p" "ku" 1497 3 2 15 NA 2
"p" "p" 5464 13 5 149 NA 6
"td" "kd" 44 NA 7 1 NA NA
"td" "ku" 32 NA 1 NA 1 NA
"td" "p" 680 NA 2 2 21 NA
