"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.389 NA 0.734 NA 8 3 8 3 2000 1.12
"2" "kukd" 155 0 0 1 NA 74 14 75 12 2000 2.09
"3" "kuku" 932 0 0 1 NA 450 33 450 34 2000 2.07
"4" "pkd" 109 0.563 NA 0.478 NA 109 16 110 12 2000 1
"5" "pku" 1195 0 0 1 NA 501 49 502 44 2000 2.39
"6" "pp" 1478 0 0 1 NA 924 40 924 39 2000 1.6
"7" "tdkd" 20 0.00700000000000001 NA 0.9955 NA 10 4 10 4 2000 2
"8" "tdku" 30 0.001 0.015 0.9995 NA 12 5 11 4 2000 2.5
"9" "tdp" 145 0.00249999999999995 NA 0.9975 NA 110 12 111 12 2000 1.32
"10" "tdtd" 11 0.494 NA 0.64 NA 11 3 10 3 2000 1
"11" "tukd" 35 0.1605 NA 0.8695 NA 27 8 27 7 2000 1.3
"12" "tuku" 1 0.37 NA 0.894 NA 1 1 0 0 2000 1
"13" "tup" 146 0.00600000000000001 NA 0.9945 NA 106 17 106 15 2000 1.38
"14" "tutd" 12 0.977 NA 0.029 NA 26 8 26 7 2000 0.46
"15" "tutu" 770 0.1075 NA 0.895 NA 717 42 717 43 2000 1.07
