"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 11 4 2000 3.08
"2" "kukd" 21 0.00600000000000001 NA 0.9995 NA 14 4 15 3 2000 1.5
"3" "kuku" 12 0.1385 NA 0.992 NA 11 1 11 1 2000 1.09
"4" "pkd" 128 0 0 1 NA 79 10 79 7 2000 1.62
"5" "pku" 12 0.7565 NA 0.244 NA 17 4 19 3 2000 0.71
"6" "pp" 193 0 0 1 NA 121 6 121 6 2000 1.6
"7" "tdkd" 28 0.174 NA 0.857 NA 21 7 21 6 2000 1.33
"8" "tdku" 10 0.1175 NA 0.9465 NA 7 2 7 3 2000 1.43
"9" "tdp" 100 0.02 NA 0.986 NA 82 11 83 9 2000 1.22
"10" "tdtd" 34 0.25 NA 0.792 NA 29 7 29 7 2000 1.17
"11" "tukd" 8 0.687 NA 0.4155 NA 9 3 9 3 2000 0.89
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 2000 NA
"13" "tup" 19 0.0620000000000001 NA 0.9905 NA 14 4 15 3 2000 1.36
"14" "tutd" 4 0.9965 NA 0.0335 NA 10 3 10 3 2000 0.4
"15" "tutu" 11 0.3145 NA 0.925 NA 10 1 10 1 2000 1.1
