"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 7 94 498 114 569 964 9 19 101 12 13 1 118 30 736
"2" 4 73 415 95 456 904 11 11 106 4 40 1 108 16 729
"3" 9 61 403 74 436 881 4 6 116 7 26 NA 131 28 674
"4" 7 76 428 110 458 941 4 10 106 8 19 1 94 25 746
"5" 10 78 459 140 548 852 16 25 103 7 26 1 103 28 746
"6" 15 84 456 117 560 918 10 11 126 12 18 NA 92 37 716
"7" 8 81 456 115 528 990 12 17 84 11 35 3 137 34 674
"8" 7 100 416 109 445 877 7 15 105 12 35 2 90 17 711
"9" 5 80 447 108 482 860 12 15 109 12 29 NA 85 29 681
"10" 10 85 487 120 534 913 12 8 115 14 29 NA 116 37 701
"11" 10 75 478 112 532 914 5 6 97 9 10 NA 99 27 678
"12" 10 81 446 128 502 953 15 7 106 8 33 3 92 11 708
"13" 6 112 510 127 546 914 3 9 116 12 22 2 135 20 713
"14" 5 77 428 99 495 919 9 13 110 6 30 1 100 17 732
"15" 7 63 434 115 509 941 5 9 118 10 33 NA 97 27 756
"16" 4 76 432 56 517 920 15 7 123 7 32 2 130 28 724
"17" 7 80 466 110 486 894 4 15 99 17 27 0 101 30 713
"18" 5 100 467 133 531 898 10 12 101 8 13 1 105 28 729
"19" 5 67 437 107 492 953 3 10 123 13 31 0 90 15 727
"20" 7 94 480 133 525 965 9 9 124 10 19 0 87 36 808
"21" 10 93 502 129 543 967 12 16 104 11 11 NA 100 27 687
"22" 6 78 474 124 482 863 4 17 124 7 19 3 100 31 755
"23" 6 89 431 117 417 864 8 18 113 11 27 2 128 22 704
"24" 5 78 452 117 530 959 5 16 124 14 27 NA 92 14 700
"25" 4 76 488 105 512 886 4 8 130 9 29 0 118 28 768
"26" 6 64 502 93 559 966 10 9 130 10 27 1 106 36 670
"27" 9 84 508 118 539 905 3 17 115 8 25 0 132 23 743
"28" 6 70 368 118 505 931 5 13 117 17 26 0 111 27 709
"29" 8 78 405 120 514 989 12 17 127 11 38 0 109 23 700
"30" 7 76 530 110 556 973 14 11 123 10 26 0 103 22 784
"31" 9 73 529 109 492 903 13 13 121 14 24 0 107 27 742
"32" 12 86 412 111 484 936 11 9 118 11 33 2 147 15 641
"33" 11 64 409 111 390 978 11 27 116 12 32 4 105 28 769
"34" 2 74 464 113 444 823 11 12 105 9 37 NA 104 26 791
"35" 4 66 484 96 445 961 10 11 113 11 13 0 156 27 751
"36" 5 76 453 94 493 885 8 12 108 10 27 NA 106 16 716
"37" 7 65 373 115 445 993 7 5 113 4 20 NA 98 17 726
"38" 7 81 466 128 528 857 13 15 112 11 14 1 130 15 702
"39" 4 51 413 113 474 985 5 8 118 10 29 NA 117 36 716
"40" 3 77 458 101 527 918 7 11 95 9 29 NA 111 46 650
"41" 10 77 435 118 471 894 10 10 92 8 16 0 75 26 728
"42" 9 59 453 96 477 981 11 14 104 12 21 2 119 21 709
"43" 6 91 454 104 506 937 13 14 115 10 24 2 47 21 643
"44" 3 64 411 115 379 861 7 7 110 13 27 1 122 24 574
"45" 6 81 508 115 542 939 13 8 111 8 27 0 90 44 756
"46" 11 88 473 118 554 942 12 11 117 8 21 NA 108 21 748
"47" 7 67 413 113 499 942 13 7 122 9 39 0 88 46 703
"48" 9 91 455 122 450 862 15 22 100 12 39 1 103 26 639
"49" 6 83 455 128 494 916 10 11 107 13 29 0 82 25 728
"50" 5 62 442 105 542 950 11 15 113 14 12 1 131 21 756
"51" 6 91 480 114 513 858 5 13 94 8 34 0 133 13 741
"52" 8 37 452 108 461 849 14 8 118 9 31 1 117 36 749
"53" 10 105 420 113 468 898 6 7 101 11 29 1 103 43 735
"54" 8 57 422 93 484 966 11 5 93 11 33 NA 84 24 658
"55" 3 20 420 86 501 964 10 11 98 11 39 3 119 29 756
"56" 5 73 452 108 451 882 9 11 128 15 27 NA 119 19 695
"57" 8 85 432 109 480 925 14 5 119 9 21 1 74 19 673
"58" 7 78 475 113 516 892 6 9 117 11 19 1 115 27 723
"59" 4 67 500 122 490 849 6 20 130 13 22 NA 118 41 666
"60" 5 70 415 125 437 885 6 28 108 15 26 0 89 26 600
"61" 9 55 464 120 457 924 7 9 114 12 23 1 99 28 685
"62" 4 81 528 94 523 936 9 7 108 8 29 1 101 23 731
"63" 11 69 428 130 461 994 9 9 114 8 27 1 85 23 816
"64" 7 77 464 139 500 835 11 6 88 12 22 0 101 16 705
"65" 11 67 483 56 520 946 7 13 101 14 24 NA 101 27 734
"66" 15 93 424 120 461 877 15 13 120 8 31 0 139 33 754
"67" 10 89 427 107 541 845 13 16 117 9 16 NA 109 23 748
"68" 4 58 487 121 556 950 6 17 124 7 28 1 113 19 764
"69" 10 71 419 108 444 950 8 13 123 10 11 NA 94 45 719
"70" 12 77 464 104 566 960 9 18 93 10 40 NA 102 27 734
"71" 9 79 442 97 501 900 5 17 125 11 39 1 108 36 715
"72" 10 78 493 112 534 941 19 8 98 8 26 1 117 32 652
"73" 4 67 433 97 484 929 7 14 116 11 28 NA 86 46 761
"74" 7 98 433 104 448 882 11 21 126 8 30 0 92 25 761
"75" 9 86 501 50 513 907 6 10 98 14 33 0 101 19 672
"76" 10 59 481 96 455 873 5 16 101 6 34 1 104 23 757
"77" 8 66 496 106 563 950 9 11 112 16 29 1 106 27 705
"78" 10 58 360 109 452 975 11 11 110 12 42 1 129 27 638
"79" 9 79 474 120 557 868 3 15 102 6 21 1 105 32 708
"80" 9 73 477 96 483 942 11 12 96 8 32 0 109 32 777
"81" 8 89 424 117 482 936 11 10 103 18 21 0 123 14 678
"82" 10 73 415 105 465 989 9 10 122 11 35 0 105 22 723
"83" 5 71 480 102 487 898 11 10 121 4 29 0 136 19 711
"84" 10 75 443 102 478 935 10 14 97 11 23 3 136 25 778
"85" 6 64 480 110 542 948 13 18 117 11 33 0 55 34 637
"86" 14 68 509 122 513 852 5 17 113 12 19 NA 123 27 707
"87" 7 92 472 125 471 866 13 15 120 6 33 NA 120 23 738
"88" 4 58 449 105 488 952 10 12 101 9 26 1 99 20 715
"89" 5 85 460 104 563 940 3 12 99 14 9 6 97 31 740
"90" 4 66 530 99 522 877 15 11 122 7 17 2 97 20 681
"91" 6 89 493 105 463 892 11 16 133 8 28 1 98 28 689
"92" 13 67 455 111 486 908 11 15 98 10 26 NA 120 30 730
"93" 5 69 460 101 570 953 8 13 104 10 27 1 102 32 722
"94" 4 74 461 58 513 951 9 9 114 14 44 1 111 28 633
"95" 9 74 461 103 492 922 4 16 95 13 32 0 111 16 672
"96" 12 86 367 107 478 926 11 16 116 13 24 0 104 15 714
"97" 7 81 419 127 471 1002 18 6 107 14 32 NA 108 36 725
"98" 6 90 480 111 527 934 7 12 99 10 28 1 85 24 774
"99" 13 85 507 49 534 881 11 10 107 13 28 0 113 28 711
"100" 11 79 463 105 559 934 9 8 130 14 14 1 88 27 740
"101" 6 73 495 110 446 962 14 14 127 10 31 NA 101 22 747
"102" 12 85 490 124 540 931 9 7 80 8 26 1 108 24 736
"103" 7 91 437 116 459 886 8 12 97 10 29 NA 92 21 746
"104" 9 28 435 117 537 1008 6 7 92 7 29 NA 113 27 698
"105" 10 91 445 118 471 962 10 10 124 12 29 NA 130 27 662
"106" 10 65 507 103 552 924 5 17 109 10 33 NA 109 19 769
"107" 5 62 401 103 421 891 12 13 122 11 18 1 127 30 763
"108" 10 72 479 109 540 913 7 14 126 15 13 NA 103 49 735
"109" 9 81 396 103 486 977 9 10 101 5 23 NA 94 47 683
"110" 4 88 456 125 531 978 6 4 89 9 26 1 103 24 707
"111" 6 71 427 109 522 922 6 11 103 10 21 NA 118 31 740
"112" 10 79 447 111 450 865 9 25 106 14 37 0 110 21 721
"113" 7 83 401 120 510 968 7 17 91 5 35 1 133 24 707
"114" 5 79 426 90 482 889 14 15 105 14 37 NA 131 30 802
"115" 7 78 459 97 509 958 7 6 125 7 42 NA 116 20 717
"116" 11 80 407 96 530 967 8 13 111 12 40 1 106 23 713
"117" 5 67 431 105 429 880 14 8 45 14 27 1 127 32 743
"118" 8 85 440 121 453 929 16 7 113 10 24 NA 98 44 686
"119" 6 90 466 98 556 987 6 17 135 15 21 1 113 27 720
"120" 10 37 511 91 551 961 8 7 98 7 42 NA 100 19 675
"121" 5 80 447 126 472 886 6 10 101 13 25 1 99 41 726
"122" 8 78 477 108 562 924 9 6 127 11 27 0 120 23 756
"123" 7 81 432 108 581 958 12 9 103 8 19 1 121 42 673
"124" 12 72 487 100 478 893 8 22 117 16 18 1 99 32 771
"125" 3 71 470 88 502 870 6 13 118 14 10 0 110 16 746
"126" 9 80 477 131 485 932 13 7 114 11 25 0 121 23 640
"127" 8 90 470 116 542 945 5 7 116 11 27 0 93 33 644
"128" 14 67 493 111 505 875 10 11 96 8 39 NA 102 24 742
"129" 8 78 432 122 535 964 7 12 103 7 14 0 127 20 809
"130" 10 84 459 115 538 924 12 10 98 20 33 0 125 32 661
"131" 3 79 407 115 545 916 6 11 122 8 28 0 87 33 731
"132" 11 70 482 108 480 835 6 12 111 8 35 0 100 19 629
"133" 8 50 399 112 454 920 9 10 116 18 42 NA 89 53 718
"134" 6 60 469 96 531 953 14 7 130 7 35 0 116 20 746
"135" 10 39 443 87 462 887 4 11 92 8 44 3 93 18 677
"136" 5 76 446 107 493 939 9 14 106 13 18 0 128 52 764
"137" 8 91 392 134 483 991 9 17 95 6 31 0 106 33 798
"138" 7 86 448 107 463 1024 9 13 107 8 36 NA 96 26 678
