"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 16 16 10 73 19 116 20 4 77 29 9 0 15 11 10
"2" 14 6 10 40 19 116 8 7 73 22 10 0 9 6 11
"3" 11 7 9 77 10 120 13 5 78 38 5 NA 19 9 9
"4" 12 8 11 80 9 119 16 3 83 33 8 0 17 10 10
"5" 12 6 10 91 8 123 35 5 88 34 10 0 15 12 11
"6" 10 13 11 92 19 120 16 9 95 44 9 NA 17 11 9
"7" 7 15 11 80 18 133 27 9 81 20 4 0 18 10 10
"8" 15 17 10 77 10 121 27 11 79 29 11 0 10 10 11
"9" 7 7 11 87 10 120 24 9 79 23 11 NA 17 6 11
"10" 12 17 10 82 10 124 28 7 88 24 4 NA 16 8 10
"11" 12 13 10 87 23 122 36 6 94 33 7 NA 17 10 10
"12" 11 15 10 74 20 124 22 7 76 21 9 0 15 7 10
"13" 10 8 10 73 19 123 19 9 87 25 10 0 8 4 11
"14" 10 16 11 88 17 117 32 8 90 26 11 0 16 9 10
"15" 10 16 12 87 19 121 17 7 79 24 9 NA 16 10 14
"16" 15 16 11 91 18 119 38 3 85 38 4 0 15 7 11
"17" 14 16 9 99 9 132 6 5 81 15 11 0 7 13 10
"18" 10 9 10 75 21 122 36 11 73 35 10 0 19 13 8
"19" 15 16 11 68 21 116 18 8 44 47 9 0 8 10 12
"20" 6 8 11 69 19 124 14 7 73 25 8 0 13 9 9
"21" 19 15 10 88 21 118 26 5 73 31 7 NA 17 8 11
"22" 10 16 10 78 18 124 14 4 94 34 11 0 19 7 10
"23" 12 16 10 92 18 120 35 13 94 36 11 0 18 13 9
"24" 17 19 11 71 18 106 13 10 82 26 11 NA 8 11 10
"25" 11 15 10 81 20 122 15 4 90 26 9 0 6 12 9
"26" 16 14 10 72 19 127 20 7 74 31 9 0 15 11 10
"27" 6 14 10 73 21 125 17 5 85 36 4 0 17 10 10
"28" 15 15 10 93 19 126 7 10 88 33 9 0 8 5 8
"29" 12 14 11 77 17 123 16 3 76 21 11 0 15 11 9
"30" 18 9 11 73 20 133 38 9 96 42 12 0 17 14 11
"31" 8 13 11 80 21 123 18 10 84 35 11 0 14 6 10
"32" 11 7 11 76 15 123 27 8 87 24 10 0 15 10 11
"33" 14 17 10 86 21 124 17 12 80 28 12 0 15 11 9
"34" 2 18 11 35 9 113 20 10 80 24 5 NA 8 5 10
"35" 7 13 10 75 19 135 18 7 81 39 5 0 15 7 10
"36" 10 8 11 82 16 123 18 7 86 31 8 NA 16 5 11
"37" 15 9 10 73 9 124 21 6 73 24 13 NA 8 9 8
"38" 11 9 11 89 19 131 39 7 87 27 10 0 6 10 9
"39" 6 13 12 83 21 129 30 4 89 24 10 NA 11 11 11
"40" 6 19 10 85 9 125 20 5 66 25 8 NA 16 11 9
"41" 13 16 10 86 10 113 23 6 83 34 5 0 7 13 9
"42" 10 12 11 81 18 124 14 9 76 23 11 0 14 11 9
"43" 12 16 10 83 20 132 24 8 43 24 7 0 15 9 11
"44" 9 13 11 69 17 121 16 7 83 23 9 0 16 12 11
"45" 6 13 10 64 9 112 27 9 82 26 6 0 19 5 10
"46" 15 14 12 84 20 115 17 5 83 31 13 NA 19 11 10
"47" 11 7 9 91 18 122 19 2 78 31 5 0 6 11 11
"48" 18 17 10 72 9 109 29 10 94 21 11 0 7 12 12
"49" 10 15 10 84 9 125 17 8 86 24 7 0 8 6 9
"50" 12 17 12 84 9 122 15 8 85 42 7 0 8 6 10
