"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
6 73 495 110 446 962 14 14 127 10 31 101 22 747 NA
12 85 490 124 540 931 9 7 80 8 26 108 24 736 1
7 91 437 116 459 886 8 12 97 10 29 92 21 746 NA
9 28 435 117 537 1008 6 7 92 7 29 113 27 698 NA
10 91 445 118 471 962 10 10 124 12 29 130 27 662 NA
10 65 507 103 552 924 5 17 109 10 33 109 19 769 NA
5 62 401 103 421 891 12 13 122 11 18 127 30 763 1
10 72 479 109 540 913 7 14 126 15 13 103 49 735 NA
9 81 396 103 486 977 9 10 101 5 23 94 47 683 NA
4 88 456 125 531 978 6 4 89 9 26 103 24 707 1
6 71 427 109 522 922 6 11 103 10 21 118 31 740 NA
10 79 447 111 450 865 9 25 106 14 37 110 21 721 0
7 83 401 120 510 968 7 17 91 5 35 133 24 707 1
5 79 426 90 482 889 14 15 105 14 37 131 30 802 NA
7 78 459 97 509 958 7 6 125 7 42 116 20 717 NA
11 80 407 96 530 967 8 13 111 12 40 106 23 713 1
5 67 431 105 429 880 14 8 45 14 27 127 32 743 1
8 85 440 121 453 929 16 7 113 10 24 98 44 686 NA
6 90 466 98 556 987 6 17 135 15 21 113 27 720 1
10 37 511 91 551 961 8 7 98 7 42 100 19 675 NA
5 80 447 126 472 886 6 10 101 13 25 99 41 726 1
8 78 477 108 562 924 9 6 127 11 27 120 23 756 0
7 81 432 108 581 958 12 9 103 8 19 121 42 673 1
12 72 487 100 478 893 8 22 117 16 18 99 32 771 1
3 71 470 88 502 870 6 13 118 14 10 110 16 746 0
9 80 477 131 485 932 13 7 114 11 25 121 23 640 0
8 90 470 116 542 945 5 7 116 11 27 93 33 644 0
14 67 493 111 505 875 10 11 96 8 39 102 24 742 NA
8 78 432 122 535 964 7 12 103 7 14 127 20 809 0
10 84 459 115 538 924 12 10 98 20 33 125 32 661 0
3 79 407 115 545 916 6 11 122 8 28 87 33 731 0
11 70 482 108 480 835 6 12 111 8 35 100 19 629 0
8 50 399 112 454 920 9 10 116 18 42 89 53 718 NA
6 60 469 96 531 953 14 7 130 7 35 116 20 746 0
10 39 443 87 462 887 4 11 92 8 44 93 18 677 3
5 76 446 107 493 939 9 14 106 13 18 128 52 764 0
8 91 392 134 483 991 9 17 95 6 31 106 33 798 0
7 86 448 107 463 1024 9 13 107 8 36 96 26 678 NA
9 80 417 136 463 919 12 14 103 8 31 103 23 759 NA
8 76 433 124 551 920 11 21 116 10 15 124 27 784 0
16 97 459 132 624 994 15 14 114 6 26 119 22 737 0
8 66 446 111 514 971 13 6 101 6 16 101 26 743 1
7 86 446 86 461 921 9 4 88 12 14 52 21 742 0
6 87 484 58 526 961 11 4 113 13 25 90 19 716 1
9 77 408 107 519 891 6 13 110 12 30 105 22 727 0
10 88 447 119 483 945 12 11 118 8 27 114 12 759 1
10 107 488 59 498 894 9 5 97 7 32 90 16 748 NA
12 83 437 107 512 972 7 10 92 17 21 104 28 850 NA
7 58 488 101 473 978 9 5 110 15 29 112 36 726 0
9 67 444 114 520 999 6 12 114 7 43 119 30 737 NA
7 66 438 103 506 878 3 20 138 8 26 125 40 693 NA
5 77 430 57 492 897 5 5 123 9 17 89 30 716 0
9 109 466 118 493 921 8 7 99 10 22 119 23 662 NA
7 62 513 103 507 858 11 4 137 13 19 75 26 761 4
9 88 440 114 512 889 8 16 102 15 31 103 19 799 NA
16 71 451 97 537 978 8 12 115 10 20 95 30 846 NA
6 71 393 108 452 876 9 10 107 8 30 127 29 697 NA
7 59 451 97 537 980 11 7 90 11 33 119 27 683 1
7 95 411 136 463 913 10 4 81 9 26 112 33 752 NA
9 79 467 126 483 918 13 14 100 12 30 112 30 762 NA
9 88 489 113 523 939 5 7 91 13 33 103 32 712 NA
6 78 466 118 426 927 6 14 99 8 23 128 17 746 NA
8 76 430 102 468 939 11 7 101 18 33 105 41 686 NA
12 70 449 121 496 939 5 13 91 17 36 60 23 752 0
10 91 500 111 455 904 10 9 119 8 20 48 25 716 1
8 77 503 107 537 860 8 13 115 13 25 122 16 669 0
9 79 449 133 544 938 9 11 90 14 26 117 33 736 1
6 72 481 137 549 869 5 14 110 13 17 122 25 703 0
5 64 411 94 457 941 6 9 99 8 32 130 22 771 4
