"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
12 9 11 92 19 130 23 8 89 22 11 17 7 11 NA
9 15 10 78 19 117 36 9 78 28 10 13 9 12 0
8 16 11 65 21 121 20 5 82 30 7 15 11 10 NA
7 19 11 82 10 126 12 4 90 26 14 8 9 12 NA
11 12 9 70 9 122 21 7 85 32 9 17 11 10 NA
10 19 11 84 20 123 21 5 84 30 9 17 11 9 NA
11 6 11 74 21 120 13 4 93 28 9 15 11 10 0
14 15 9 84 17 119 21 4 88 20 6 9 11 12 NA
18 12 10 46 10 124 15 3 83 22 9 19 9 10 NA
8 13 11 92 20 117 21 4 75 28 8 18 5 11 0
9 9 11 77 21 132 7 4 82 29 7 12 13 10 NA
12 17 11 88 19 119 25 5 85 18 11 15 6 10 0
16 9 11 90 19 122 20 11 81 25 9 8 12 9 0
8 15 10 84 20 124 26 3 95 20 9 20 5 9 NA
13 9 10 76 21 133 27 7 84 29 11 15 11 9 NA
16 15 12 90 11 117 23 9 85 31 5 8 12 10 0
11 15 11 90 9 117 21 8 89 31 11 17 11 11 0
7 17 10 90 19 135 24 9 87 18 9 13 12 9 NA
15 8 11 73 18 122 16 8 87 36 14 15 10 9 0
11 8 12 75 19 129 19 7 44 28 6 18 12 10 NA
8 13 11 84 21 117 25 7 80 30 11 17 11 11 0
7 5 10 66 9 115 23 5 83 23 8 7 9 11 0
9 15 10 76 18 116 7 7 90 17 11 8 12 10 0
15 18 10 88 21 116 21 6 91 31 11 13 13 10 0
10 15 11 78 21 129 25 8 100 39 9 17 9 10 0
9 15 10 93 9 128 11 10 88 17 10 18 9 10 0
19 17 9 97 9 109 15 9 94 23 12 18 11 10 0
15 15 10 78 21 111 29 11 82 31 7 15 5 11 NA
16 15 10 81 19 133 13 5 84 32 10 15 11 9 0
24 19 13 79 17 110 32 7 68 26 12 18 11 10 0
4 16 12 74 17 122 6 7 70 29 5 14 5 11 0
9 19 12 42 19 134 25 7 85 23 11 18 11 9 0
10 14 10 77 20 109 31 9 92 35 11 13 6 9 NA
10 13 12 86 21 125 14 7 69 31 8 17 11 10 0
11 14 10 75 16 111 18 11 91 22 6 16 10 11 0
10 15 12 78 19 121 10 10 76 40 10 17 11 9 0
11 15 11 72 18 122 21 7 80 30 12 17 9 8 0
10 15 12 78 10 124 22 9 79 31 5 17 12 10 NA
12 8 10 80 21 119 24 13 92 22 11 15 5 8 NA
6 14 11 89 10 113 15 8 83 36 9 17 13 10 0
18 15 10 90 19 123 25 7 88 17 10 19 6 10 0
6 12 12 70 23 112 24 5 78 17 4 15 9 12 0
14 15 12 79 10 135 10 9 84 27 4 15 6 10 0
6 16 10 71 9 112 8 3 82 35 10 15 12 11 0
13 8 11 79 20 116 27 5 99 26 13 19 12 10 0
14 16 11 83 21 121 24 6 85 28 11 8 10 10 0
17 15 10 76 9 127 27 5 79 27 11 17 6 9 NA
11 9 9 69 9 127 12 6 91 31 8 8 12 9 NA
10 14 11 89 19 123 6 7 86 17 9 17 11 11 0
