"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
6 72 411 113 497 1003 7 10 104 18 36 2 106 32 670
10 84 459 103 475 907 11 12 124 7 34 NA 81 19 711
7 77 471 116 454 917 10 21 114 9 29 NA 126 23 719
10 83 464 121 501 943 18 9 119 12 25 2 97 32 664
13 81 497 50 516 933 12 15 107 11 25 NA 98 37 722
7 75 460 107 506 995 11 11 121 13 22 2 97 16 671
6 84 404 110 224 900 10 7 113 13 11 0 119 26 705
6 37 520 108 564 920 10 13 118 13 31 0 105 35 639
10 95 516 117 621 976 13 14 79 14 23 1 93 21 762
7 60 444 105 472 885 11 14 112 11 23 NA 112 27 737
5 61 421 104 530 1014 10 3 91 11 24 NA 99 11 730
9 87 460 106 450 866 9 12 114 8 35 3 93 17 702
6 60 415 121 463 922 9 6 105 11 27 3 113 21 743
7 53 454 95 506 976 8 14 101 10 36 0 113 22 643
7 73 460 99 505 872 11 12 124 13 15 0 137 28 681
5 98 472 134 490 893 11 2 113 9 44 NA 139 18 678
8 31 434 81 474 848 7 11 84 10 29 5 99 26 735
5 73 422 123 512 830 5 12 100 11 29 1 109 26 759
9 76 418 111 549 950 10 5 135 10 27 1 127 24 794
5 55 426 100 467 966 13 13 115 15 34 0 111 28 677
6 74 458 106 537 866 5 12 105 9 14 NA 78 13 711
6 66 437 103 444 952 5 6 122 10 25 0 104 24 751
8 80 451 110 546 971 6 13 115 15 36 NA 127 17 712
6 75 419 106 470 908 8 8 113 9 38 1 53 17 763
10 84 442 121 466 919 11 5 123 11 35 2 92 34 709
6 82 474 130 531 964 13 8 118 11 39 0 131 25 676
8 68 412 94 492 940 12 11 105 9 11 0 102 37 693
10 94 456 101 513 875 8 10 93 16 27 1 98 33 636
8 84 422 114 462 897 17 9 105 5 26 5 98 23 712
4 67 471 111 511 913 23 12 111 8 31 0 96 55 740
9 86 419 113 419 856 12 10 115 6 23 NA 126 27 715
10 87 407 113 548 960 15 11 110 10 40 2 91 42 670
17 103 500 125 592 968 11 9 114 16 25 0 115 37 672
7 72 503 108 523 968 11 4 117 8 27 NA 125 22 585
9 84 468 112 513 940 9 7 121 13 36 1 94 22 694
7 68 410 106 485 935 11 14 109 11 27 1 103 19 726
10 68 428 99 455 918 14 17 118 15 14 NA 89 25 725
9 71 499 46 492 898 8 12 90 11 42 0 117 44 765
9 76 468 97 479 854 11 9 104 8 26 1 117 25 732
4 66 513 117 541 926 9 6 146 10 38 1 119 32 666
4 92 458 117 459 932 6 16 120 14 25 0 116 24 742
4 79 461 114 569 952 7 19 118 15 27 NA 109 39 651
12 71 453 100 503 977 7 8 115 11 27 0 105 31 727
9 70 386 97 432 922 13 19 123 10 32 1 97 28 747
8 32 502 100 535 906 15 6 108 9 24 1 83 11 747
12 74 486 132 618 936 15 13 104 9 29 0 108 37 742
