"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.4 NA 0.7 NA 8 3 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 73 14 74 12 100 2.12
"3" "kuku" 932 0 0 1 NA 447 34 445 33 100 2.09
"4" "pkd" 109 0.58 NA 0.47 NA 110 17 111 13 100 0.99
"5" "pku" 1195 0 0 1 NA 494 69 504 50 100 2.42
"6" "pp" 1478 0 0 1 NA 929 39 925 37 100 1.59
"7" "tdkd" 20 0 0 1 NA 10 4 9 4 100 2
"8" "tdku" 30 0 0 1 NA 12 4 12 4 100 2.5
"9" "tdp" 145 0 0 1 NA 109 12 108 11 100 1.33
"10" "tdtd" 11 0.46 NA 0.68 NA 10 3 10 3 100 1.1
"11" "tukd" 35 0.2 NA 0.81 NA 27 8 26 7 100 1.3
"12" "tuku" 1 0.35 NA 0.86 NA 1 1 0 0 100 1
"13" "tup" 146 0.01 NA 0.99 NA 107 20 108 14 100 1.36
"14" "tutd" 12 0.97 NA 0.04 NA 26 8 25 9 100 0.46
"15" "tutu" 770 0.1 NA 0.9 NA 707 41 705 39 100 1.09
