"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
14 18 12 73 21 122 12 5 91 20 2 0 17 8 9
18 8 11 84 10 118 20 7 87 38 8 0 19 6 10
9 14 10 75 19 109 15 7 84 28 10 0 15 9 9
10 16 12 76 19 133 27 11 75 38 7 0 17 8 10
8 14 11 73 23 120 25 7 87 23 12 0 17 15 9
20 14 11 79 15 123 15 7 70 26 13 NA 15 16 10
4 15 9 75 19 123 17 8 96 21 9 0 9 12 10
13 15 11 75 10 126 25 5 78 23 7 0 17 12 11
8 14 10 74 9 116 37 9 89 27 11 NA 15 11 9
8 13 10 71 19 131 16 9 79 29 9 0 15 9 11
8 13 11 84 10 125 16 4 92 27 8 NA 13 5 10
12 17 13 67 20 121 23 6 89 37 10 NA 8 9 10
6 12 10 66 19 110 14 2 81 16 12 0 18 4 9
7 15 13 70 19 118 18 8 95 18 10 0 15 10 11
6 14 10 80 20 129 36 3 86 33 9 0 15 11 10
13 11 11 74 18 125 18 5 78 32 12 0 21 7 10
18 16 12 75 20 124 29 8 89 40 8 0 15 9 10
5 8 12 71 9 126 27 3 90 37 10 NA 16 11 11
10 7 11 80 19 126 19 9 83 22 9 NA 8 5 10
10 6 12 41 23 116 34 9 74 32 9 0 13 13 12
11 17 12 80 17 126 27 7 83 32 10 NA 16 13 9
7 18 11 67 23 116 20 2 79 29 6 0 15 10 9
10 15 11 95 22 110 16 4 72 22 13 NA 7 13 10
5 9 9 78 19 120 22 7 89 28 10 0 16 11 11
13 17 10 72 20 117 16 9 78 28 11 0 19 12 10
11 16 12 69 21 113 14 3 95 21 9 0 15 3 13
10 16 9 71 10 123 21 5 80 44 8 0 15 5 9
11 7 10 78 10 115 15 3 82 11 9 0 15 14 10
8 13 11 74 19 116 21 6 78 40 6 NA 15 11 12
8 13 11 38 17 125 22 5 86 34 9 0 14 12 10
8 14 11 69 20 125 27 6 80 27 9 0 14 4 11
9 18 12 85 19 120 20 7 90 25 5 0 14 9 11
10 8 10 36 21 114 25 8 92 20 9 NA 16 10 9
9 13 11 77 21 118 23 12 93 25 8 0 16 12 10
7 18 8 77 20 122 28 10 85 33 8 NA 9 8 11
13 15 10 87 20 132 25 9 72 36 8 NA 15 5 10
17 9 11 78 19 117 7 4 77 31 5 0 10 11 10
15 16 10 78 20 121 15 10 90 42 10 0 15 12 10
14 18 11 67 20 129 20 6 89 26 5 0 17 13 10
12 17 10 80 21 120 24 9 86 26 10 NA 17 11 9
8 7 10 85 19 118 23 11 90 24 10 0 19 12 10
17 19 11 85 19 127 21 10 79 31 11 0 17 9 11
21 15 10 81 19 131 10 8 81 29 4 0 18 13 10
16 13 9 88 19 123 25 5 90 38 8 0 15 13 10
10 15 11 69 20 128 32 11 77 25 11 NA 13 11 11
15 15 10 86 21 128 22 5 75 33 8 0 16 12 10
13 14 10 72 19 116 18 7 95 18 7 NA 6 15 10
13 17 9 71 19 128 25 9 97 32 13 0 17 5 11
12 17 11 78 21 119 19 11 69 23 11 NA 18 5 10
13 17 9 94 20 117 24 7 85 31 5 NA 16 12 11
13 13 12 80 8 125 24 7 85 18 9 NA 15 9 12
17 19 11 78 19 123 28 7 44 39 11 0 12 9 9
11 16 11 74 23 125 16 9 80 22 5 0 17 6 10
15 13 11 64 17 118 18 3 72 22 10 0 17 4 9
12 9 10 76 21 121 12 4 88 35 15 0 15 11 10
15 17 10 83 19 123 18 5 101 36 8 NA 18 9 9
10 15 10 74 10 114 21 7 96 33 13 NA 15 11 10
14 8 9 75 21 121 19 3 96 30 3 0 16 9 9
6 17 10 72 19 114 18 6 75 30 5 0 14 12 10
15 17 11 79 21 128 29 8 84 25 3 0 6 10 9
15 16 11 86 10 128 8 4 86 13 5 0 8 9 10
9 6 10 77 17 120 23 6 82 11 8 0 13 7 10
8 15 11 77 19 118 19 9 84 14 7 NA 13 5 9
20 15 11 88 19 126 14 8 77 27 10 NA 15 11 10
10 8 12 78 10 122 30 10 83 32 7 0 8 11 10
10 13 11 65 9 121 18 8 79 25 9 0 8 12 11
9 14 11 88 21 132 17 7 72 32 9 0 15 6 10
9 18 11 80 22 124 21 8 75 25 9 0 17 5 10
11 15 10 74 19 120 17 9 78 14 5 0 7 12 11
7 14 10 64 17 123 14 5 73 30 9 0 16 8 11
10 18 11 81 10 120 22 5 78 24 5 0 16 4 9
11 18 11 69 21 119 17 8 78 37 13 0 15 9 9
10 13 12 85 22 124 25 6 102 29 5 0 10 12 10
13 16 11 77 21 129 17 5 84 22 8 0 14 10 11
4 17 11 81 20 114 26 5 85 32 9 0 13 6 11
13 15 10 83 10 125 12 6 79 26 11 NA 15 11 11
10 14 11 85 9 123 13 7 86 18 5 0 9 11 9
16 16 9 92 9 125 19 3 73 35 9 0 15 10 10
15 8 10 85 10 118 24 5 88 37 4 0 15 11 9
10 14 10 77 10 124 33 7 75 21 11 0 13 11 12
9 11 11 77 18 120 19 4 87 24 12 0 19 11 10
8 9 11 81 17 131 16 11 81 28 11 0 19 13 12
9 14 12 80 19 118 28 3 75 29 9 0 18 12 10
7 7 10 71 17 117 23 4 89 27 11 0 17 10 10
12 16 11 80 20 118 21 8 76 16 5 0 9 10 10
9 17 11 73 19 121 31 4 88 30 10 0 17 9 12
10 17 10 76 15 121 19 5 76 31 8 0 15 8 11
17 14 10 73 21 131 15 11 91 29 9 NA 15 12 11
11 14 10 81 9 124 23 11 78 32 11 NA 18 10 11
13 12 12 97 19 117 7 6 83 42 5 0 14 11 10
10 8 9 76 10 121 13 6 85 16 5 NA 15 9 10
11 13 11 40 18 130 22 8 77 39 8 0 16 13 12
25 18 11 77 18 126 25 9 90 26 11 NA 9 9 9
7 14 10 76 19 118 25 9 71 30 9 0 15 10 11
9 14 11 86 20 116 21 6 83 35 13 NA 15 10 11
12 15 10 89 10 128 16 3 89 30 3 NA 14 8 11
11 17 9 80 20 115 24 9 69 37 9 0 17 3 9
10 7 11 81 23 119 19 7 70 23 7 0 13 9 11
12 15 10 70 19 114 23 4 70 33 8 0 14 8 10
14 17 11 90 19 126 19 6 87 16 8 0 13 9 9
