"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 5 11 4 100 3.08
"2" "kukd" 21 0 0 1 NA 14 4 15 3 100 1.5
"3" "kuku" 12 0.16 NA 1 NA 11 1 11 1 100 1.09
"4" "pkd" 128 0 0 1 NA 78 10 79 9 100 1.64
"5" "pku" 12 0.65 NA 0.35 NA 16 5 18 5 100 0.75
"6" "pp" 193 0 0 1 NA 121 6 121 6 100 1.6
"7" "tdkd" 28 0.18 NA 0.88 NA 21 7 22 6 100 1.33
"8" "tdku" 10 0.1 NA 0.94 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.02 NA 0.99 NA 82 12 83 9 100 1.22
"10" "tdtd" 34 0.27 NA 0.78 NA 29 9 29 8 100 1.17
"11" "tukd" 8 0.67 NA 0.44 NA 9 2 9 3 100 0.89
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.0600000000000001 NA 0.99 NA 14 4 15 3 100 1.36
"14" "tutd" 4 1 NA 0.02 NA 10 3 11 3 100 0.4
"15" "tutu" 11 0.24 NA 0.93 NA 10 1 10 1 100 1.1
