"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 36 12 35 12 2000 3.58
"2" "kukd" 316 0 0 1 NA 106 18 107 16 2000 2.98
"3" "kuku" 1097 0 0 1 NA 311 29 310 30 2000 3.53
"4" "pkd" 612 0 0 1 NA 80 13 80 12 2000 7.65
"5" "pku" 1177 0 0 1 NA 262 33 262 31 2000 4.49
"6" "pp" 13890 0 0 1 NA 474 32 475 31 2000 29.3
"7" "tdkd" 28 0.01 NA 0.993 NA 10 6 9 6 2000 2.8
"8" "tdku" 50 0 0 1 NA 8 5 7 4 2000 6.25
"9" "tdp" 592 0 0 1 NA 63 12 63 10 2000 9.4
"10" "tdtd" 41 0 0 1 NA 16 6 15 6 2000 2.56
"11" "tukd" 17 0.016 NA 0.989 NA 8 3 8 3 2000 2.12
"12" "tuku" 0 1 NA 0.945 NA 0 0 0 0 2000 NA
"13" "tup" 173 0 0 1 NA 26 7 26 7 2000 6.65
"14" "tutd" 21 0.094 NA 0.9295 NA 14 5 14 4 2000 1.5
"15" "tutu" 353 0 0 1 NA 69 11 69 10 2000 5.12
