"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 47 120 300 72 210 486 12 14 75 21 9 NA 16 20 72
"2" 48 82 308 96 273 471 22 20 70 24 8 NA 27 10 81
"3" 43 107 266 93 239 444 9 7 64 11 6 1 40 15 74
"4" 38 108 329 87 237 462 16 5 63 29 8 NA 30 23 71
"5" 24 120 313 91 283 511 21 3 79 17 10 NA 21 7 61
"6" 31 103 324 74 219 480 8 7 66 25 8 NA 24 5 62
"7" 32 110 299 97 243 461 22 3 78 15 15 NA 22 13 64
"8" 56 126 291 76 242 429 9 8 54 18 12 1 23 13 65
"9" 45 86 345 91 337 545 11 5 50 7 12 NA 38 15 77
"10" 25 116 323 96 253 483 5 11 72 13 6 NA 20 15 73
"11" 32 131 334 86 276 451 4 10 71 12 5 NA 32 13 64
"12" 51 116 309 67 268 463 10 3 54 13 3 NA 27 19 87
"13" 21 111 341 64 270 463 10 3 60 17 9 NA 21 7 68
"14" 35 80 364 77 293 514 5 5 69 11 7 NA 18 11 87
"15" 40 47 325 81 316 535 9 3 70 7 5 NA 26 17 67
"16" 30 97 303 65 262 440 6 6 62 13 4 NA 14 13 59
"17" 31 98 329 83 275 499 16 13 62 12 13 NA 19 10 81
"18" 29 122 264 97 228 493 7 13 72 30 6 NA 19 13 60
"19" 21 75 324 63 200 435 8 17 61 15 5 NA 24 7 54
"20" 34 95 313 100 285 480 25 14 84 11 7 NA 29 16 78
"21" 43 117 341 103 295 496 4 6 59 28 13 NA 31 19 77
"22" 34 112 329 69 256 463 10 7 74 10 5 NA 26 16 66
"23" 28 113 383 86 296 509 12 5 81 4 5 NA 23 10 65
"24" 17 103 266 83 229 500 9 2 61 15 6 NA 18 9 68
"25" 22 77 332 79 267 438 14 4 46 13 9 NA 26 17 58
"26" 44 127 313 76 243 442 4 9 70 19 6 NA 13 12 58
"27" 31 113 344 90 328 455 9 16 65 14 4 NA 34 13 61
"28" 26 93 272 87 271 481 4 9 35 14 11 NA 27 17 70
"29" 41 123 277 58 231 465 15 14 60 2 3 NA 23 8 51
"30" 81 121 305 89 230 447 8 15 67 21 3 NA 44 13 76
"31" 30 99 310 68 236 450 19 8 66 15 8 NA 17 16 81
"32" 44 121 303 75 282 459 4 11 49 13 4 NA 23 7 77
"33" 24 121 328 98 265 469 7 7 67 11 5 NA 25 11 63
"34" 40 91 290 84 220 485 8 12 53 14 8 NA 27 16 50
"35" 35 100 308 76 244 496 6 5 46 15 12 NA 30 13 83
"36" 45 131 312 91 253 440 13 11 76 14 11 NA 25 12 74
"37" 72 109 315 70 274 459 16 11 60 23 8 NA 22 6 86
"38" 28 102 285 83 302 447 4 6 25 14 7 NA 31 5 64
"39" 32 107 310 84 306 556 13 10 51 15 9 NA 17 13 75
"40" 48 123 353 85 251 472 5 8 57 10 5 NA 13 14 60
"41" 32 110 326 95 255 452 5 5 76 20 10 NA 25 10 91
"42" 23 98 242 69 248 547 1 3 67 10 8 NA 27 16 58
"43" 37 64 369 95 267 485 8 8 50 10 9 NA 22 11 60
"44" 49 106 301 68 279 426 17 11 62 18 12 NA 27 14 72
"45" 58 114 359 97 285 412 6 3 60 17 9 1 12 17 78
"46" 31 80 339 71 253 492 7 7 47 16 8 NA 24 15 75
"47" 39 117 365 80 291 479 10 16 72 7 7 1 32 16 67
"48" 42 122 292 91 293 449 2 10 84 23 11 NA 28 28 77
"49" 45 132 336 79 284 466 6 16 82 15 11 NA 14 19 61
"50" 39 98 315 73 261 448 5 10 79 11 8 NA 24 13 74
"51" 33 132 315 61 217 437 6 17 41 15 10 NA 44 15 67
"52" 36 87 333 70 289 477 7 7 70 26 14 NA 23 11 55
"53" 32 90 265 66 221 461 8 1 68 14 1 NA 24 14 65
"54" 28 90 287 65 262 445 9 7 49 14 7 NA 16 5 63
"55" 32 104 270 81 252 465 6 14 49 27 14 NA 20 16 76
"56" 31 102 297 80 236 481 3 12 61 14 15 NA 25 13 44
"57" 20 71 274 83 280 532 11 6 56 11 9 NA 33 16 81
"58" 34 113 332 76 245 461 16 13 56 11 10 NA 34 18 64
"59" 46 141 315 82 283 489 7 10 61 12 11 NA 24 11 69
"60" 24 95 324 61 228 467 5 17 54 18 9 NA 21 3 81
"61" 20 101 336 93 262 508 11 7 48 12 7 NA 35 21 71
"62" 42 100 303 76 248 440 7 11 63 17 9 NA 27 13 67
"63" 48 113 326 77 264 527 8 7 49 17 9 NA 25 6 67
"64" 22 110 323 74 245 420 28 3 63 9 13 NA 13 23 60
"65" 34 96 288 80 248 532 8 9 72 11 8 NA 32 18 75
"66" 42 103 346 77 266 443 2 14 74 10 10 NA 39 10 71
"67" 35 99 355 90 276 477 11 4 44 16 11 NA 26 19 78
"68" 56 122 346 64 300 489 7 20 77 19 6 NA 33 20 65
"69" 22 87 363 72 277 467 16 8 53 13 13 NA 25 17 65
"70" 32 100 335 74 316 471 3 9 55 12 12 NA 20 16 51
"71" 26 101 297 86 277 492 10 2 69 15 5 NA 23 18 72
"72" 43 104 353 95 311 519 3 19 72 19 3 NA 21 15 65
"73" 32 120 286 71 225 453 6 15 65 10 12 NA 21 6 88
"74" 18 53 294 93 254 482 11 5 72 14 14 NA 35 23 51
"75" 44 108 343 80 288 487 3 7 67 18 10 NA 29 12 50
"76" 49 114 335 72 298 490 8 14 61 9 3 NA 32 22 76
"77" 43 106 314 80 249 476 7 2 56 21 14 NA 26 12 51
"78" 45 112 322 81 320 494 18 10 57 17 12 NA 30 18 49
"79" 38 108 311 95 268 449 5 2 53 14 3 NA 30 5 65
"80" 23 97 302 58 218 460 7 NA 68 10 9 NA 20 11 87
"81" 33 109 298 74 253 449 5 10 56 11 7 NA 28 19 66
"82" 40 84 307 77 247 482 10 1 56 24 6 NA 30 14 59
"83" 28 110 274 71 227 479 12 4 45 13 9 NA 23 6 82
"84" 30 51 271 86 224 430 10 3 53 15 5 NA 14 14 100
"85" 30 89 290 95 319 516 17 16 66 18 9 NA 21 14 68
"86" 55 115 292 76 193 424 9 15 71 22 14 NA 40 10 68
"87" 35 126 299 67 286 498 8 6 63 18 11 NA 23 13 80
"88" 38 94 347 80 298 530 11 13 84 13 9 NA 12 12 84
"89" 35 98 343 96 318 489 15 5 63 19 6 NA 21 16 85
"90" 26 108 310 82 286 474 4 5 63 9 4 NA 29 22 68
"91" 33 110 296 85 233 472 3 9 23 10 4 NA 35 13 80
"92" 32 100 321 72 269 471 15 3 81 7 9 NA 41 12 69
"93" 33 109 272 76 193 469 12 2 67 23 4 NA 28 11 85
"94" 44 135 356 81 293 485 9 13 51 19 8 NA 32 16 69
"95" 42 96 341 75 285 446 10 9 57 11 7 NA 24 14 57
"96" 36 109 334 63 229 424 11 4 56 17 9 NA 33 6 96
"97" 30 109 338 72 269 461 1 9 53 25 9 NA 13 17 94
"98" 30 116 306 70 287 457 12 3 43 6 6 NA 22 2 78
"99" 26 128 296 88 269 450 6 3 56 12 8 1 28 13 60
"100" 20 78 285 73 219 528 15 7 76 20 9 NA 27 28 73
"101" 42 106 307 94 313 498 6 10 53 11 16 NA 30 10 77
"102" 43 109 304 101 299 594 23 9 92 16 2 NA 28 23 79
"103" 30 96 255 64 251 454 16 7 69 15 7 NA 32 9 68
"104" 31 81 290 83 259 473 23 9 68 19 2 NA 19 11 64
"105" 40 98 302 75 226 426 10 1 80 18 9 NA 24 14 63
"106" 23 79 238 80 199 446 12 4 66 21 12 NA 37 11 72
"107" 26 103 274 74 203 484 8 3 61 17 5 NA 20 17 58
"108" 40 48 275 82 266 498 14 22 73 16 6 NA 28 20 85
"109" 38 108 306 78 282 503 11 10 78 16 9 NA 16 20 62
"110" 38 111 302 80 224 436 13 13 78 13 13 NA 33 15 65
"111" 48 124 319 102 255 454 14 6 61 20 5 NA 17 6 48
"112" 19 117 333 92 305 500 7 4 60 12 7 NA 28 20 65
"113" 27 102 262 76 242 436 17 7 79 17 17 NA 22 9 52
"114" 24 131 334 44 218 472 14 7 85 23 9 NA 25 15 77
"115" 55 139 326 98 272 552 20 3 63 17 9 NA 29 16 77
"116" 38 93 308 66 272 509 5 19 59 14 12 NA 22 10 72
"117" 45 106 302 42 280 529 2 6 74 11 6 NA 34 7 57
"118" 17 109 339 74 240 488 19 13 79 14 4 NA 30 13 39
"119" 30 135 294 85 274 496 16 1 63 11 15 NA 24 17 68
