"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
29 91 330 70 242 454 8 7 59 14 7 1 28 16 74
44 129 354 94 311 518 11 9 63 9 10 NA 32 29 86
34 130 350 94 281 474 8 22 84 7 7 NA 26 11 85
39 113 324 111 301 450 11 2 66 16 7 NA 27 16 73
36 89 296 81 235 453 5 9 57 14 11 NA 32 19 77
17 95 300 36 207 490 8 16 68 13 8 NA 28 7 76
36 89 278 80 255 486 5 3 55 11 7 NA 31 17 71
27 95 300 76 279 531 14 10 77 8 13 NA 19 11 61
31 96 301 83 290 522 10 3 65 15 7 NA 29 17 74
39 136 317 77 254 473 6 5 66 14 7 NA 23 21 67
35 107 275 91 245 515 4 5 63 22 10 2 24 10 76
34 77 271 78 246 439 10 6 74 15 13 NA 12 15 98
21 113 326 95 238 451 13 3 72 28 5 NA 24 13 80
52 75 287 105 230 566 15 12 86 15 4 NA 32 7 60
30 123 395 92 280 489 4 12 65 20 9 NA 17 9 68
49 109 340 97 267 432 31 10 65 32 9 NA 29 15 66
30 109 300 99 258 478 20 11 60 11 7 NA 9 15 59
31 106 316 84 269 486 11 5 56 14 11 NA 20 19 59
53 115 326 92 277 450 14 15 69 20 9 NA 41 18 71
19 106 303 94 253 509 16 9 80 12 10 NA 29 14 73
16 77 305 64 308 433 9 13 40 11 8 NA 24 11 69
32 101 303 71 225 440 3 2 65 11 13 NA 27 7 70
32 124 297 86 296 508 3 14 75 22 5 NA 40 16 68
41 119 292 94 266 481 12 9 50 25 13 NA 27 14 81
37 110 333 92 292 483 11 20 71 19 9 NA 31 15 76
35 123 326 82 282 440 8 3 50 3 10 NA 30 6 65
35 109 308 91 255 473 5 1 52 10 6 NA 28 11 66
20 80 307 71 263 463 11 10 58 19 6 NA 40 14 62
31 101 269 97 288 481 17 8 66 6 7 NA 37 8 67
22 93 263 78 238 499 15 11 78 6 3 NA 25 11 66
30 112 353 88 314 467 9 17 55 20 12 NA 13 15 77
33 118 317 92 237 462 5 9 59 10 5 NA 22 21 82
49 103 311 81 117 433 7 7 63 13 10 NA 39 15 71
18 66 310 69 256 469 13 6 63 13 7 NA 33 14 68
35 111 269 99 269 550 13 8 73 8 9 NA 31 12 88
41 104 337 79 295 476 14 8 43 14 9 NA 30 9 78
30 113 298 72 246 472 10 9 66 10 7 1 26 11 80
29 102 275 95 233 501 4 5 74 12 4 NA 32 16 62
13 101 269 95 268 483 15 9 60 12 8 NA 25 11 65
34 114 321 72 253 446 11 8 64 12 5 NA 27 21 71
35 87 293 83 286 529 15 8 53 25 9 NA 26 13 72
31 114 318 82 265 529 11 5 71 24 14 NA 22 18 65
36 115 304 99 266 430 10 13 58 10 3 NA 20 13 60
43 117 301 73 232 445 7 9 64 20 3 NA 29 14 67
39 127 343 74 286 425 7 7 55 10 18 NA 21 15 85
43 102 267 101 235 436 4 8 59 15 5 NA 29 28 71
51 115 317 104 257 498 12 13 65 23 6 NA 39 14 48
48 123 291 75 232 438 20 4 77 22 12 NA 35 13 66
24 101 313 72 223 411 10 3 56 15 7 NA 41 24 67
