"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
49 129 338 72 257 487 10 6 55 12 10 22 11 78 NA
45 92 315 77 274 446 12 9 76 13 5 39 6 89 NA
35 91 324 30 237 471 6 7 66 14 13 25 7 61 NA
43 135 301 75 240 487 13 4 77 11 5 38 18 82 1
22 102 271 72 233 486 7 3 61 9 2 22 12 59 NA
46 116 283 92 241 498 12 NA 54 25 10 17 19 63 NA
12 80 278 63 226 391 4 13 54 7 6 32 11 66 1
47 94 256 93 274 507 17 9 64 14 8 33 15 82 NA
28 124 285 83 236 433 9 13 50 15 8 25 19 59 NA
18 114 300 84 258 504 11 16 81 17 9 29 15 67 NA
53 105 338 94 313 532 7 14 53 12 4 29 11 53 NA
25 100 285 95 268 572 14 5 65 17 4 21 20 82 NA
31 106 375 84 255 386 9 1 64 26 11 26 14 85 NA
38 101 321 69 254 421 12 3 54 8 8 20 13 70 NA
25 116 348 96 243 508 8 14 60 10 7 27 20 73 NA
35 111 336 88 289 447 10 8 55 19 5 30 14 67 NA
37 101 312 71 305 514 8 17 69 11 12 26 24 78 NA
42 136 322 85 249 495 24 20 66 20 5 22 12 53 NA
32 103 269 84 245 436 12 12 57 11 6 31 22 73 NA
30 123 291 87 271 468 8 23 68 12 5 30 11 80 NA
27 104 268 90 249 491 9 21 74 19 13 21 17 87 NA
35 119 290 76 292 436 13 11 65 20 10 28 16 68 NA
53 113 286 96 230 468 7 6 44 8 4 14 18 63 NA
38 113 315 89 374 509 11 2 47 21 7 23 18 89 NA
41 101 403 84 283 449 17 9 65 11 7 29 7 78 NA
31 123 326 80 254 432 4 23 68 19 9 28 11 74 NA
51 118 358 72 260 470 7 10 83 16 11 24 15 62 NA
29 111 270 98 297 502 7 10 59 14 9 25 13 78 NA
44 152 295 84 247 444 8 2 53 20 9 31 12 64 NA
31 96 318 79 252 473 14 17 87 24 11 42 16 72 NA
39 130 338 86 265 458 15 11 59 14 10 35 9 58 NA
43 122 309 92 296 491 6 11 57 10 8 27 11 66 NA
30 112 336 72 251 406 20 4 70 20 11 25 13 73 NA
43 120 287 78 254 494 9 5 58 13 6 39 15 46 NA
35 88 298 98 271 499 15 2 62 19 6 29 14 70 NA
32 91 338 63 254 485 15 20 53 14 5 31 13 69 1
31 95 315 65 264 400 7 NA 65 19 4 27 9 59 NA
48 143 308 77 269 466 9 6 40 18 9 26 13 72 NA
55 142 375 92 294 466 18 17 58 17 9 12 16 74 NA
24 78 301 52 248 462 5 4 75 19 9 17 9 65 NA
45 118 320 79 281 445 22 9 73 24 4 21 10 64 NA
46 106 302 84 260 465 17 11 96 9 7 28 15 71 NA
30 99 357 67 307 488 5 17 80 21 9 24 13 63 NA
40 99 275 98 247 507 14 6 63 22 9 27 11 66 NA
28 109 322 75 294 487 6 5 52 14 11 41 9 64 1
35 103 293 67 215 430 4 5 64 10 5 22 24 68 NA
34 84 255 84 267 520 6 2 41 22 11 25 14 64 NA
32 97 307 79 284 447 9 11 73 7 8 21 8 109 NA
25 89 297 65 257 461 5 7 66 17 11 27 6 66 NA
36 106 292 77 274 444 7 9 53 18 7 20 11 56 NA
39 127 337 78 294 460 24 7 68 17 18 24 7 72 NA
25 101 287 88 233 511 9 6 64 11 11 27 12 66 NA
37 98 288 70 268 438 5 1 48 6 13 24 14 67 NA
22 99 320 94 248 496 11 13 68 15 7 26 23 54 NA
42 102 321 67 263 519 20 5 66 17 9 16 12 54 NA
57 103 271 64 241 447 11 3 55 16 7 23 12 69 NA
50 146 309 90 232 424 6 2 57 14 7 17 13 73 NA
61 152 341 43 262 467 5 6 75 13 5 27 20 78 NA
36 126 360 89 266 503 8 7 76 12 3 30 16 75 NA
21 96 311 70 218 422 5 4 63 22 9 25 20 85 NA
32 105 345 86 284 514 14 9 85 20 8 40 13 64 NA
42 119 323 96 292 472 16 11 56 24 3 23 7 68 NA
23 95 309 107 276 511 4 14 69 15 7 34 14 72 NA
32 115 309 84 312 485 16 12 52 14 4 38 19 68 NA
41 119 309 100 260 488 20 3 55 16 9 21 22 67 NA
64 134 313 110 275 424 6 7 50 14 9 21 11 50 NA
21 103 331 84 249 441 12 11 60 8 8 7 9 65 NA
39 111 291 71 245 421 6 9 59 5 3 22 19 59 NA
42 115 336 73 257 439 6 3 58 18 5 27 12 65 NA
33 90 264 81 305 485 14 5 67 9 8 36 15 84 NA
26 108 348 100 233 479 18 6 62 20 8 33 13 56 NA
49 119 353 87 295 499 10 10 63 18 7 37 22 74 NA
61 118 321 81 277 494 9 6 68 9 7 15 15 66 NA
20 84 311 78 274 464 20 2 60 16 15 20 19 72 NA
26 100 283 62 271 442 13 7 50 14 7 27 28 52 NA
38 97 275 69 270 515 13 8 71 24 3 26 21 87 NA
29 127 379 84 270 493 14 17 66 25 11 33 11 56 NA
35 120 347 85 292 449 29 7 53 11 11 12 13 68 NA
22 42 355 63 151 518 14 8 66 24 5 25 5 61 NA
57 143 308 86 251 522 9 9 85 25 11 13 19 60 NA
26 108 312 83 261 503 13 10 65 29 3 34 20 76 NA
42 116 259 85 137 451 12 5 57 5 13 32 18 55 NA
59 110 336 83 337 511 9 9 71 16 13 34 17 71 NA
32 105 292 59 227 437 19 2 63 14 10 25 15 51 NA
38 123 331 91 159 475 5 15 75 20 10 40 7 77 NA
26 96 252 70 201 415 36 18 84 8 12 19 12 77 NA
10 81 272 80 275 466 4 14 61 15 3 13 8 57 NA
39 112 275 71 231 478 13 4 68 12 11 41 19 94 NA
62 127 344 86 249 482 9 5 64 5 9 25 10 78 NA
38 101 308 83 118 424 15 3 52 17 4 26 17 73 NA
42 93 342 68 268 460 13 16 82 10 7 23 13 55 NA
38 84 291 62 259 508 4 7 59 16 9 19 9 71 NA
55 105 301 71 247 499 9 11 80 18 7 32 4 53 NA
27 111 301 75 296 512 12 6 67 14 5 16 15 55 NA
33 73 314 55 204 433 7 2 56 16 8 28 16 68 NA
14 94 304 72 271 484 5 6 70 11 2 13 11 72 NA
32 105 356 87 283 451 3 11 69 23 5 41 19 73 NA
58 115 298 88 241 459 4 2 67 15 3 36 15 59 NA
54 131 284 90 233 438 18 8 85 13 7 22 18 58 NA
32 127 329 90 266 472 6 6 51 13 12 14 11 74 NA
