"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 35 12 35 12 100 3.69
"2" "kukd" 316 0 0 1 NA 105 19 106 16 100 3.01
"3" "kuku" 1097 0 0 1 NA 308 30 309 30 100 3.56
"4" "pkd" 612 0 0 1 NA 81 15 81 11 100 7.56
"5" "pku" 1177 0 0 1 NA 262 32 261 30 100 4.49
"6" "pp" 13890 0 0 1 NA 475 36 476 41 100 29.24
"7" "tdkd" 28 0 0 1 NA 10 6 10 6 100 2.8
"8" "tdku" 50 0 0 1 NA 8 4 7 4 100 6.25
"9" "tdp" 592 0 0 1 NA 65 11 63 11 100 9.11
"10" "tdtd" 41 0 0 1 NA 15 5 15 6 100 2.73
"11" "tukd" 17 0.02 NA 0.99 NA 8 3 8 3 100 2.12
"12" "tuku" 0 1 NA 0.99 NA 0 0 0 0 100 NA
"13" "tup" 173 0 0 1 NA 25 7 25 7 100 6.92
"14" "tutd" 21 0.11 NA 0.93 NA 14 5 14 6 100 1.5
"15" "tutu" 353 0 0 1 NA 70 12 70 12 100 5.04
