"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 44 16 42 15 2000 4.11
"2" "kukd" 330 0 0 1 NA 172 24 172 22 2000 1.92
"3" "kuku" 1611 0 0 1 NA 871 52 871 50 2000 1.85
"4" "pkd" 836 0 0 1 NA 340 29 339 25 2000 2.46
"5" "pku" 1768 0 0 1 NA 1076 78 1077 70 2000 1.64
"6" "pp" 16104 0 0 1 NA 3200 91 3197 93 2000 5.03
"7" "tdkd" 40 0.353 NA 0.673 NA 36 12 35 12 2000 1.11
"8" "tdku" 39 0.027 NA 0.978 NA 23 8 22 7 2000 1.7
"9" "tdp" 885 0 0 1 NA 390 32 391 28 2000 2.27
"10" "tdtd" 99 0.1425 NA 0.866 NA 77 20 76 20 2000 1.29
"11" "tukd" 57 0.638 NA 0.4065 NA 60 10 60 10 2000 0.95
"12" "tuku" 1 0.571 NA 0.745 NA 1 1 1 1 2000 1
"13" "tup" 329 0 0 1 NA 234 25 235 24 2000 1.41
"14" "tutd" 62 0.354 NA 0.68 NA 57 12 57 10 2000 1.09
"15" "tutu" 1650 0 0 1 NA 1044 58 1042 58 2000 1.58
