"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 48 213 948 364 1122 3265 26 32 370 81 56 9 238 74 984
"2" 59 153 889 311 1108 3105 48 40 363 78 43 1 210 74 1021
"3" 49 176 860 349 1139 3258 55 20 363 67 61 1 197 66 950
"4" 56 199 904 341 1127 3337 49 24 463 99 57 NA 235 64 1034
"5" 30 182 829 328 1107 3254 47 20 413 105 52 NA 229 57 991
"6" 41 183 850 327 1108 3259 31 30 419 83 48 3 234 51 1050
"7" 38 175 862 336 1070 3238 63 12 420 84 64 NA 246 51 1096
"8" 68 183 877 354 1091 3053 43 18 367 110 64 2 223 62 1109
"9" 40 125 1016 302 1168 3142 39 26 401 60 60 1 240 71 1083
"10" 29 201 869 364 989 3277 49 24 408 68 54 1 222 49 1121
"11" 37 202 836 331 966 3029 36 19 401 70 77 1 226 50 992
"12" 53 187 832 348 1076 2995 23 22 385 70 55 NA 212 56 974
"13" 25 173 927 342 1207 3287 37 13 400 77 67 1 208 67 1037
"14" 40 145 988 368 1180 3324 23 23 383 48 63 1 180 45 1069
"15" 49 149 933 382 1131 3348 48 28 342 42 69 7 232 66 965
"16" 41 147 823 329 1088 3056 22 23 394 84 52 3 237 51 1049
"17" 31 173 864 334 1026 3103 34 28 365 58 60 5 245 67 1019
"18" 39 187 813 377 1119 3352 35 29 417 115 50 1 226 43 1077
"19" 28 159 949 308 1140 3197 33 32 421 110 64 1 136 67 1022
"20" 42 171 888 359 1134 3289 45 26 399 60 47 NA 255 65 1047
"21" 65 177 894 370 931 3141 31 21 349 91 52 4 241 78 1042
"22" 43 157 943 292 1083 3101 37 15 367 63 39 1 238 62 1122
"23" 22 191 1067 364 1246 3131 60 25 454 34 59 1 216 55 1116
"24" 24 179 814 350 1062 3218 12 10 382 60 57 1 227 63 970
"25" 32 152 889 346 1018 3076 31 20 393 40 55 2 241 56 1100
"26" 64 228 919 365 1062 3070 16 21 388 73 68 NA 252 58 991
"27" 37 186 861 358 985 3195 29 32 404 102 56 NA 239 60 1105
"28" 29 170 823 361 1078 3348 28 23 382 38 62 NA 213 59 1018
"29" 47 201 848 329 1203 3397 37 25 410 51 52 NA 219 70 1002
"30" 101 192 841 371 1195 3317 35 33 372 62 66 1 269 60 1042
"31" 40 212 884 378 1107 3175 51 27 375 83 70 2 211 52 976
"32" 44 182 852 341 1129 3305 33 23 376 67 54 5 232 58 1004
"33" 32 193 993 323 1168 3197 51 28 360 80 65 1 224 21 1029
"34" 52 144 869 363 1092 3208 31 24 343 61 67 1 223 69 1090
"35" 29 162 852 333 1066 3322 40 28 411 61 63 NA 253 58 1128
"36" 45 203 943 390 1110 3091 27 25 377 89 68 NA 249 46 995
"37" 78 178 919 365 1055 3053 56 31 369 90 57 1 234 50 1062
"38" 36 180 830 340 1006 3112 50 17 330 80 66 NA 290 34 1098
"39" 31 164 847 356 1019 3164 36 19 367 59 59 2 232 53 1058
"40" 51 196 982 353 1139 3245 34 28 342 63 55 NA 254 43 1011
"41" 43 142 911 328 990 3271 26 22 430 81 81 1 256 55 1048
"42" 31 191 759 335 875 3115 27 18 394 79 76 2 225 53 1036
"43" 30 189 894 354 990 3163 50 28 400 49 74 1 226 68 1111
"44" 40 167 857 352 1080 3227 37 24 407 96 71 3 226 69 1063
"45" 59 175 886 283 1056 3066 30 21 379 85 71 1 224 74 1078
"46" 37 144 900 310 1041 3144 39 22 376 72 59 1 228 52 1100
"47" 47 176 927 331 1091 3222 43 22 366 69 50 1 227 62 989
"48" 57 209 859 360 1050 3160 20 31 388 115 56 4 195 77 983
"49" 58 179 908 370 1145 3229 37 29 376 86 59 3 241 64 1103
"50" 51 174 911 400 1007 3164 26 22 410 65 83 NA 238 20 993
"51" 33 215 938 373 1103 3197 33 34 436 76 61 1 275 66 1085
"52" 46 156 935 328 1153 3157 24 25 377 104 76 1 240 50 1039
"53" 40 171 877 307 1010 3159 27 7 375 82 54 1 218 71 1019
"54" 29 138 877 320 1073 3160 42 31 375 74 54 NA 247 41 955
"55" 40 209 822 342 1075 3321 31 29 403 115 48 NA 319 83 988
"56" 38 152 836 345 1170 3153 30 25 407 68 67 NA 241 43 1007
"57" 27 160 871 399 1090 3122 21 12 359 67 59 1 197 67 1149
"58" 44 168 915 353 1133 3211 41 22 400 74 65 1 210 72 1119
"59" 68 182 900 373 1210 3338 12 28 333 76 67 NA 216 62 1020
"60" 41 180 889 309 1089 3219 16 39 381 98 51 NA 246 49 1141
"61" 25 149 845 365 1055 3308 43 21 364 63 58 1 256 63 987
"62" 36 181 886 328 1117 3116 42 22 380 54 69 NA 175 42 1074
"63" 55 152 839 335 1134 3024 31 22 370 73 63 1 239 47 1080
"64" 31 196 926 321 1062 3350 59 10 428 61 59 1 237 36 975
"65" 37 160 906 347 518 3232 39 24 406 92 60 5 235 64 985
"66" 47 164 959 335 1084 3283 23 34 413 52 50 2 210 57 1029
