"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
58 192 813 375 1112 3184 31 28 425 76 65 249 60 1112 NA
50 175 875 348 983 3059 68 18 421 58 46 240 90 1062 NA
42 141 770 246 936 3104 39 20 418 74 62 262 39 1058 NA
37 169 841 380 1116 3193 57 20 410 71 60 236 52 1027 3
51 160 911 363 1061 3165 35 13 414 80 60 265 65 1059 3
29 153 778 358 1002 3007 70 12 415 76 59 206 55 1079 NA
39 160 882 354 974 3318 42 15 417 85 57 199 47 996 NA
38 151 854 332 1161 3074 34 31 345 64 53 219 55 1065 NA
38 170 844 390 976 3106 39 30 404 71 59 225 77 1083 NA
55 176 848 331 1163 3141 46 16 412 53 73 238 70 991 NA
52 86 794 360 1137 3194 57 21 414 81 67 230 55 1044 NA
26 195 978 364 1149 3403 41 21 369 82 74 229 69 1091 NA
31 151 828 341 942 3099 79 17 398 71 58 239 43 989 NA
25 215 986 344 1214 3250 30 21 435 120 58 275 58 1084 NA
74 194 850 375 1075 3142 54 16 365 68 66 239 64 1018 1
44 161 939 339 1131 3055 36 43 401 59 62 244 35 979 NA
64 184 862 379 1142 3263 20 22 371 83 47 251 62 928 1
23 173 868 309 1115 3232 45 22 396 83 49 222 34 1020 1
44 181 837 381 1138 3352 48 12 402 71 54 253 60 1039 4
35 158 878 314 1160 3224 32 34 438 67 76 261 49 1107 NA
39 181 940 360 958 3220 30 37 411 57 56 246 33 1026 1
38 168 847 332 1074 3199 36 28 375 100 61 215 59 977 2
72 162 864 360 1080 3189 50 8 407 58 53 227 59 1057 3
41 141 831 335 1059 3275 38 19 415 73 61 212 55 1022 NA
38 189 732 383 1048 3278 22 26 382 74 60 258 82 1136 6
44 193 920 376 1071 3102 46 16 326 86 67 249 51 964 NA
32 194 809 324 1005 3068 34 11 402 48 49 212 80 1140 1
32 145 779 321 1174 3292 24 14 374 87 67 244 48 1058 NA
32 165 867 330 1141 3174 40 27 414 71 51 241 56 1011 NA
40 197 872 326 1073 3202 38 24 425 91 64 246 89 984 3
40 171 825 373 1186 3315 46 24 408 97 57 234 46 988 1
55 177 855 322 1031 3343 54 28 386 81 72 234 74 1029 1
40 200 890 387 1210 3210 36 17 389 49 55 211 53 992 1
38 186 876 285 1084 3316 45 21 365 77 70 220 69 1052 2
58 132 983 325 1067 3181 35 33 419 100 60 255 71 1028 NA
41 156 867 315 989 3122 39 43 390 73 46 237 61 1055 1
72 210 914 346 1165 3159 35 23 385 98 53 195 51 1083 1
24 176 839 288 1091 3199 21 18 409 82 73 207 34 1055 NA
37 154 804 361 1035 3344 36 35 414 66 49 251 55 1047 NA
37 159 822 337 1016 3096 21 28 440 71 58 243 35 949 NA
55 183 864 333 1203 3125 35 15 329 102 58 228 76 1029 NA
44 207 869 324 1122 3275 30 20 399 93 57 246 62 1023 NA
20 158 842 339 997 3285 37 17 367 83 41 216 60 958 2
50 166 879 348 1006 3168 35 38 427 66 69 231 74 1075 1
40 143 828 337 1081 3158 29 24 414 100 59 269 54 1052 1
42 170 896 370 1090 3270 29 33 406 80 53 226 74 1032 NA
42 166 814 298 970 3081 38 18 395 86 29 210 65 955 NA
36 185 853 346 1067 3232 31 32 410 85 59 259 67 1041 3
36 157 823 330 1037 3219 20 26 402 80 60 209 28 1027 1
27 184 900 340 1070 3042 29 16 332 63 72 247 41 1038 NA
53 156 821 350 1129 3213 34 19 342 91 71 211 59 997 3
50 168 879 353 1139 3220 25 24 190 121 57 257 65 1035 1
31 194 783 359 1033 3144 70 36 374 83 75 243 50 1096 NA
44 189 831 363 1054 3285 28 31 412 121 73 220 58 1008 1
63 82 878 377 1108 3199 32 37 406 107 58 261 75 1049 1
107 213 904 367 1100 3324 41 9 409 78 57 253 67 1103 2
35 193 879 364 1047 3228 48 15 399 73 85 226 47 1037 2
22 160 852 343 1022 3267 24 35 417 90 59 219 57 1200 1
31 159 825 345 1006 3110 28 32 387 60 73 235 60 970 NA
41 218 881 412 1161 3275 31 20 345 81 62 235 49 1017 NA
25 152 705 318 987 3237 39 16 396 54 56 268 60 1017 2
33 235 895 357 1063 3264 31 23 403 81 58 211 71 1042 NA
29 187 871 337 1041 3236 41 10 398 82 56 232 60 989 1
29 150 892 317 1068 3171 55 18 374 84 68 238 55 1104 1
50 176 819 380 1063 3135 27 17 343 75 60 202 57 998 NA
70 161 853 297 1056 3170 39 32 393 78 49 192 45 1029 NA
22 167 828 306 1063 3205 57 29 402 85 46 197 47 1042 1
49 169 949 348 1102 3287 50 20 385 38 47 228 66 1056 1
28 149 876 363 1075 3215 48 21 410 60 53 256 68 1076 3
44 173 903 317 1116 3087 31 21 352 87 62 269 54 1038 1
39 199 905 331 1106 3233 29 27 354 53 63 237 72 943 NA
34 209 924 360 1096 3171 43 22 401 33 33 243 51 1051 3
58 204 918 410 1090 3229 46 19 430 77 56 233 41 1007 NA
58 208 791 354 978 3062 19 23 407 42 55 203 49 1121 NA
40 156 821 309 1027 3207 38 9 399 57 42 263 56 937 3
34 166 904 367 1117 3198 30 22 387 81 64 186 53 943 1
33 169 881 371 1162 3310 37 17 370 90 58 216 61 1038 NA
27 147 875 306 1139 3334 46 24 409 63 59 256 60 1048 NA
38 175 850 332 1151 3149 19 11 383 100 57 233 67 941 NA
49 163 843 339 1089 3242 48 17 361 57 20 101 63 984 1
69 205 972 367 1029 3314 47 31 365 75 63 242 48 1013 1
30 170 887 338 1071 3148 47 25 402 79 63 237 53 988 2
82 215 912 369 1084 3201 31 22 384 64 86 200 32 1003 NA
27 195 949 329 1200 3211 41 24 394 67 63 273 64 1046 3
64 204 846 351 1104 3320 59 22 415 77 46 190 57 1103 3
61 160 909 363 1057 3333 48 18 387 108 53 224 48 1046 4
56 211 938 317 1031 3151 29 15 433 68 70 193 53 1029 NA
32 182 832 353 1123 3260 31 19 380 89 67 239 74 1165 NA
39 182 882 349 1102 3165 37 10 414 118 70 259 53 1007 1
31 136 818 334 1028 3045 18 32 452 80 84 259 66 1077 NA
34 191 764 354 1026 3228 43 21 207 54 60 270 63 1097 1
28 179 827 344 1041 3225 29 18 404 56 67 229 34 949 3
50 159 814 340 1189 3337 25 16 366 74 64 262 52 1023 NA
64 196 866 382 1197 3224 23 28 413 59 33 213 63 1034 NA
