"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
115 204 786 346 1017 3314 29 20 411 67 68 1 278 62 1035
59 177 902 288 973 3109 44 24 412 110 58 1 260 63 1010
45 181 873 335 1081 3140 28 24 355 72 45 NA 224 53 976
42 147 891 326 1136 3083 32 30 418 70 62 1 249 48 1108
53 191 880 349 1096 3177 27 25 407 48 53 NA 256 61 996
43 160 841 339 1058 3192 38 23 417 83 69 NA 217 59 1012
37 192 915 323 1077 3072 34 29 357 57 62 2 176 58 1040
75 200 932 345 1164 3108 31 26 378 72 49 1 264 69 1153
76 161 864 332 1011 3220 22 21 427 63 70 1 262 55 1044
43 184 736 347 1053 3159 45 18 363 88 61 1 231 50 1080
59 167 954 330 1117 3203 27 16 390 59 68 1 248 83 1069
59 169 835 368 508 3067 57 22 435 115 38 2 269 63 1127
43 161 907 363 1096 3303 24 30 386 98 49 2 246 79 1075
70 175 984 306 1167 3271 36 36 363 80 49 NA 232 54 1017
26 190 924 371 1218 3379 30 20 477 63 55 NA 215 67 949
53 214 922 339 1063 3253 32 27 400 83 66 1 239 58 1061
36 156 841 356 1000 3249 43 20 392 83 80 2 230 69 1008
27 175 815 302 1066 3104 54 28 401 60 66 1 269 43 984
31 158 900 326 1041 3142 45 17 366 107 50 NA 208 49 1109
36 164 913 340 1099 3128 48 38 420 83 68 5 224 68 1003
67 187 937 374 1103 3393 24 8 431 98 48 NA 229 49 925
53 180 861 323 1147 3262 23 29 381 73 46 2 285 47 992
87 189 853 388 1130 3293 34 25 423 41 53 NA 282 74 1040
46 168 893 366 1183 3316 41 25 432 57 59 2 115 70 1022
47 165 850 348 965 3089 29 16 380 69 63 NA 204 73 891
93 191 928 357 1125 3255 12 23 401 76 49 1 228 80 1033
51 186 884 370 1056 3152 51 23 335 92 72 1 257 61 1082
42 187 792 317 1011 3121 28 24 420 63 54 1 238 60 1069
31 175 901 324 1071 3274 43 16 377 53 53 NA 190 62 971
17 155 840 324 1077 3140 37 19 395 72 61 NA 233 78 1079
41 159 807 356 1136 3292 37 29 410 92 28 NA 246 67 1079
73 180 908 307 1079 3246 11 17 398 120 73 NA 286 39 1029
43 164 845 314 1138 3162 55 25 434 89 50 1 229 54 974
34 145 801 348 502 3152 29 19 439 70 68 NA 249 73 947
43 179 909 324 1027 3306 30 28 373 45 53 5 241 75 1090
46 173 819 405 1023 3182 54 29 414 77 56 1 196 59 1048
31 144 831 302 1068 3098 20 18 381 58 43 NA 253 48 1085
35 181 864 353 1017 3139 37 15 365 113 70 1 196 57 1018
54 158 892 327 1126 3249 59 20 359 64 38 NA 249 60 961
35 176 952 358 1171 3403 63 17 385 89 73 NA 224 63 997
61 225 876 353 1109 3104 55 32 385 61 68 NA 214 59 1129
36 160 945 335 1001 3206 37 28 401 55 78 2 240 53 1019
35 231 881 311 1069 3236 21 18 397 52 66 NA 227 59 1046
34 184 871 359 1135 3168 38 21 397 98 59 3 287 62 1012
57 179 944 383 1053 3285 33 21 366 100 59 3 219 50 1039
70 174 899 332 1085 3213 14 28 385 54 31 NA 195 64 1016
60 155 835 319 925 3116 28 28 402 76 56 1 246 63 919
65 169 807 336 994 3253 50 29 414 76 57 3 238 23 997
84 141 881 360 1191 3260 48 19 394 97 68 NA 228 45 1065
31 152 809 339 1049 3130 40 27 372 60 63 NA 204 46 1041
