"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 42 16 40 13 100 4.31
"2" "kukd" 330 0 0 1 NA 174 22 171 21 100 1.9
"3" "kuku" 1611 0 0 1 NA 873 45 876 41 100 1.85
"4" "pkd" 836 0 0 1 NA 346 29 342 33 100 2.42
"5" "pku" 1768 0 0 1 NA 1076 72 1069 74 100 1.64
"6" "pp" 16104 0 0 1 NA 3202 100 3188 104 100 5.03
"7" "tdkd" 40 0.41 NA 0.6 NA 37 13 36 13 100 1.08
"8" "tdku" 39 0.02 NA 0.98 NA 23 8 23 9 100 1.7
"9" "tdp" 885 0 0 1 NA 391 33 392 24 100 2.26
"10" "tdtd" 99 0.16 NA 0.85 NA 76 22 73 22 100 1.3
"11" "tukd" 57 0.65 NA 0.41 NA 61 11 60 10 100 0.93
"12" "tuku" 1 0.64 NA 0.66 NA 1 1 1 1 100 1
"13" "tup" 329 0 0 1 NA 232 27 234 20 100 1.42
"14" "tutd" 62 0.38 NA 0.64 NA 58 11 58 10 100 1.07
"15" "tutu" 1650 0 0 1 NA 1060 61 1058 64 100 1.56
