"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0.00249999999999995 NA 0.998 NA 21 7 20 7 2000 2.14
"2" "kukd" 100 0 0 1 NA 55 13 55 12 2000 1.82
"3" "kuku" 113 0 0 1 NA 66 11 66 10 2000 1.71
"4" "pkd" 94 0 0 1 NA 31 8 31 7 2000 3.03
"5" "pku" 105 0.000499999999999945 0.00749999999999917 0.9995 NA 58 13 58 13 2000 1.81
"6" "pp" 3363 0 0 1 NA 131 14 130 15 2000 25.67
"7" "tdkd" 1 0.3855 NA 0.878 NA 1 1 0 0 2000 1
"8" "tdku" 0 1 NA 0.85 NA 0 0 0 0 2000 NA
"9" "tdp" 38 0 0 1 NA 15 5 15 4 2000 2.53
"10" "tdtd" 17 0.126 NA 0.9065 NA 11 5 11 4 2000 1.55
"11" "tukd" 0 1 NA 0.6575 NA 0 1 0 0 2000 NA
"12" "tuku" 0 1 NA 0.9525 NA 0 0 0 0 2000 NA
"13" "tup" 39 0 0 1 NA 6 3 5 3 2000 6.5
"14" "tutd" 11 0.326 NA 0.768 NA 9 4 9 4 2000 1.22
"15" "tutu" 40 0.00549999999999995 NA 0.9955 NA 22 6 22 6 2000 1.82
