"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 22 72 89 42 94 161 2 NA 6 14 NA NA 7 11 18
"2" 29 42 46 38 24 143 NA NA 20 18 NA NA 4 8 19
"3" 17 60 67 43 55 116 NA NA 11 14 NA NA 4 7 17
"4" 22 54 73 25 42 105 NA NA 19 16 NA NA 8 17 32
"5" 9 36 51 22 52 111 2 NA 14 15 NA NA 11 7 37
"6" 21 23 46 36 47 138 1 NA 22 18 NA NA 1 5 18
"7" 15 60 56 22 33 135 NA NA 6 13 1 NA 3 11 23
"8" 27 70 81 45 29 152 NA NA 6 13 2 NA 11 4 18
"9" 28 43 63 29 58 118 NA NA 16 5 NA NA 3 12 30
"10" 17 49 52 21 44 127 1 NA 16 12 NA NA 5 8 29
"11" 25 47 50 33 57 136 NA NA 10 13 NA NA 7 9 19
"12" 28 70 89 38 62 137 1 NA 22 15 NA NA 6 14 17
"13" 16 42 53 29 62 110 NA NA 17 15 NA NA 6 13 12
"14" 20 55 68 36 53 144 NA NA 13 8 3 NA 6 8 29
"15" 20 56 70 35 52 156 1 NA 11 4 NA NA 3 2 17
"16" 21 58 54 36 71 127 1 NA 9 9 NA NA 5 6 16
"17" 18 54 69 29 76 113 NA NA 16 6 1 NA 4 7 22
"18" 15 51 61 22 49 119 2 NA 7 16 NA NA 6 7 36
"19" 11 22 86 15 55 145 NA NA 14 16 1 1 7 15 23
"20" 21 56 81 33 75 123 NA 1 17 8 NA NA 5 11 27
"21" 31 49 59 36 58 131 NA NA 19 15 NA NA 13 8 28
"22" 19 59 64 28 83 124 1 NA 16 3 NA NA 7 12 27
"23" 15 49 70 29 69 117 NA NA 18 3 NA NA 5 6 18
"24" 13 50 54 37 50 124 NA NA 12 8 NA NA 11 17 27
"25" 15 25 52 29 46 101 NA NA 15 5 1 NA 7 11 16
"26" 30 77 56 29 54 144 NA NA 23 9 NA NA 9 11 19
"27" 20 54 56 29 53 118 NA NA 16 14 NA NA 4 9 27
"28" 18 30 64 53 79 140 NA NA 11 12 NA NA 5 9 28
"29" 21 65 65 41 63 124 NA NA 11 3 1 NA 3 8 22
"30" 49 80 76 33 65 146 2 NA 17 16 NA NA 7 10 21
"31" 17 50 51 44 52 139 NA NA 15 9 NA NA 6 9 14
"32" 26 51 61 34 74 133 NA NA 7 15 NA NA 9 7 16
"33" 14 67 79 33 58 141 2 NA 17 14 1 NA 8 8 26
"34" 22 44 62 41 62 156 1 1 18 9 1 NA 5 12 21
"35" 23 57 59 35 45 136 NA NA 19 7 1 NA 10 9 23
"36" 24 70 77 28 82 129 NA NA 13 10 1 NA 4 7 20
"37" 33 76 65 35 25 144 1 NA 24 20 NA 1 9 6 22
"38" 19 49 74 31 44 132 1 NA 15 12 NA NA 2 7 10
"39" 13 40 48 26 55 106 NA NA 23 7 NA NA 1 12 20
"40" 29 74 89 40 70 149 1 2 15 14 NA NA 3 11 18
"41" 18 58 70 34 51 143 1 NA 14 16 4 NA 7 12 24
"42" 16 52 48 31 71 121 2 2 13 10 1 NA 2 5 15
"43" 25 58 69 43 29 172 NA NA 8 6 1 NA 5 8 20
"44" 29 62 64 34 68 135 4 NA 12 17 1 NA 5 9 28
"45" 33 74 72 32 50 120 NA NA 8 16 2 NA 10 7 40
"46" 12 42 68 19 40 134 NA NA 18 9 NA NA 4 8 24
"47" 27 58 58 40 57 134 NA NA 27 7 NA 1 6 11 21
"48" 23 73 55 30 48 142 NA NA 15 19 1 NA 3 17 23
"49" 34 62 70 33 89 142 1 NA 6 15 1 1 3 13 24
"50" 23 64 59 37 59 130 NA NA 9 8 NA NA 7 2 30
"51" 20 56 72 42 65 141 NA NA 25 12 NA NA 3 13 23
"52" 19 46 60 29 37 134 1 1 19 15 3 NA 9 9 19
"53" 15 41 74 12 55 131 1 NA 12 8 NA NA 2 14 19
"54" 20 56 69 23 72 126 NA 2 19 8 NA NA 8 2 27
"55" 25 62 70 34 58 130 NA NA 19 15 NA NA 4 11 21
"56" 11 47 46 27 59 115 NA NA 12 10 NA NA 8 10 19
"57" 15 49 61 37 56 126 1 NA 12 8 1 NA 9 11 30
"58" 18 55 69 25 67 123 NA NA 12 9 1 NA 2 15 27
"59" 31 83 74 43 73 139 NA NA 19 10 NA NA 4 18 24
"60" 16 59 59 34 70 130 NA NA 11 13 NA NA 8 5 28
"61" 10 48 66 32 45 132 NA NA 21 6 NA NA 3 11 17
"62" 26 63 62 36 44 151 NA NA 9 13 1 NA 6 8 21
"63" 26 61 65 28 47 129 2 NA 14 10 1 NA 5 7 16
"64" 9 52 67 21 67 112 NA NA 18 7 NA NA 5 7 19
"65" 20 50 72 37 57 149 NA NA 10 14 1 NA 4 17 32
"66" 16 57 73 27 54 136 NA 1 12 7 NA NA 4 5 22
"67" 26 45 71 32 52 129 NA 1 21 7 NA NA 2 10 22
"68" 32 61 69 29 69 134 NA 1 18 14 2 NA 5 5 22
"69" 12 38 58 27 47 123 1 NA 12 15 NA NA 7 3 26
"70" 17 52 57 33 53 135 1 NA 17 7 NA NA 8 8 18
"71" 12 52 68 19 60 125 NA NA 15 5 1 NA 5 5 13
"72" 24 68 86 33 73 141 NA NA 13 15 NA NA 3 7 20
"73" 16 69 73 40 57 121 NA NA 17 6 1 NA 6 6 22
"74" 9 45 59 19 62 130 1 NA 15 12 NA NA 7 11 12
"75" 22 48 80 30 72 140 NA NA 23 12 1 NA 5 10 23
"76" 23 58 61 45 70 132 NA NA 17 5 1 NA 5 17 17
"77" 27 65 56 26 55 128 1 1 19 7 3 NA 3 4 21
"78" 27 63 70 42 74 135 NA NA 17 7 NA NA 7 17 18
"79" 22 49 103 31 78 142 NA NA 13 7 1 NA 7 5 22
"80" 13 45 68 19 64 115 NA NA 10 7 NA NA 7 14 36
"81" 21 51 59 37 64 141 NA NA 21 13 NA NA 1 11 17
"82" 19 46 71 23 68 106 NA NA 13 16 NA NA 3 7 18
"83" 18 62 59 32 54 122 NA NA 29 9 1 NA 3 7 23
"84" 18 59 66 31 54 133 1 NA 6 11 NA NA 10 15 32
"85" 24 37 43 29 53 140 1 1 8 19 NA NA 3 8 19
"86" 24 65 50 31 57 116 NA NA 11 15 NA NA 2 7 23
"87" 17 61 68 27 30 142 NA NA 11 17 NA NA 12 7 17
"88" 23 44 62 30 70 124 3 NA 8 5 NA NA 6 6 31
"89" 17 43 82 19 67 109 NA NA 5 21 NA NA 8 13 25
"90" 13 53 69 29 43 114 NA NA 11 5 NA NA 2 4 19
"91" 22 51 79 34 81 130 1 1 19 4 NA NA 12 5 24
"92" 19 57 62 25 58 132 1 NA 16 8 NA NA 3 9 25
"93" 23 52 69 26 65 149 2 NA 18 17 1 NA 9 12 34
"94" 25 61 78 25 71 145 2 NA 17 18 NA NA 9 12 24
"95" 21 53 72 46 52 119 NA NA 6 12 1 NA 2 6 27
"96" 20 54 67 30 47 130 NA NA 15 10 NA NA 1 9 28
"97" 20 58 62 36 59 158 NA 1 10 11 NA NA 3 9 18
"98" 24 45 74 26 66 153 NA NA 7 4 NA NA 5 3 27
"99" 13 45 50 28 45 124 NA NA 7 4 NA NA 8 12 15
"100" 13 39 33 21 45 144 NA NA 15 17 NA NA 3 15 36
"101" 32 72 71 55 66 131 1 NA 14 10 NA NA 10 14 32
"102" 28 67 65 38 70 141 1 NA 12 14 1 NA 6 13 16
"103" 20 50 66 33 43 147 NA NA 11 13 NA NA 6 8 13
"104" 20 48 59 32 56 112 2 NA 7 14 1 NA 7 8 26
"105" 30 68 70 30 38 138 3 NA 15 15 NA NA 7 17 26
"106" 11 37 51 36 60 124 NA NA 14 15 NA NA 5 12 17
"107" 14 40 73 26 65 132 4 NA 19 15 NA NA 4 9 30
"108" 27 47 58 26 42 128 3 NA 9 10 NA NA 6 10 18
"109" 20 45 76 27 55 134 NA NA 16 11 NA NA 6 13 20
"110" 17 67 61 34 50 135 NA NA 17 9 NA NA NA 2 19
"111" 33 37 78 18 57 125 2 1 20 9 NA NA NA 7 25
"112" 18 71 82 27 61 116 1 NA 12 14 2 NA 9 13 27
"113" 20 52 52 30 51 118 1 NA 28 9 NA NA 5 8 28
"114" 18 50 70 24 44 120 NA NA 24 18 1 NA 7 7 31
"115" 23 67 84 31 24 128 NA NA 18 14 1 NA 7 10 15
"116" 23 46 79 28 37 111 1 NA 5 5 NA NA 6 5 26
"117" 20 75 79 30 50 137 1 NA 27 11 1 NA 6 13 24
"118" 9 54 72 27 55 157 1 NA 18 13 NA NA 7 9 27
"119" 20 61 53 34 21 118 NA NA 18 8 NA NA 4 3 15
"120" 19 53 78 35 64 142 2 NA 13 15 NA NA 2 11 17
"121" 19 49 61 28 73 111 NA NA 18 8 NA NA 3 4 21
"122" 15 57 55 24 37 125 NA NA 13 7 NA NA 3 5 15
"123" 32 26 69 40 66 119 1 NA 12 9 NA NA 5 7 22
"124" 16 51 69 22 56 131 NA NA 8 15 1 NA 4 9 29
"125" 19 64 55 30 52 126 NA NA 16 8 NA NA 3 15 23
"126" 23 58 78 33 36 127 2 NA 16 10 1 NA 5 7 23
"127" 20 69 81 50 64 127 NA NA 6 7 1 NA 12 14 31
"128" 17 52 45 31 64 143 NA NA 14 15 1 NA 6 9 20
"129" 14 68 60 37 56 115 NA NA 11 13 1 NA 5 16 28
"130" 27 80 59 30 45 124 1 NA 20 12 NA NA 4 14 26
