"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0.01 NA 0.99 NA 20 7 19 6 100 2.25
"2" "kukd" 100 0 0 1 NA 55 15 54 12 100 1.82
"3" "kuku" 113 0 0 1 NA 67 11 67 11 100 1.69
"4" "pkd" 94 0 0 1 NA 32 8 32 7 100 2.94
"5" "pku" 105 0 0 1 NA 55 12 56 13 100 1.91
"6" "pp" 3363 0 0 1 NA 130 15 128 15 100 25.87
"7" "tdkd" 1 0.35 NA 0.86 NA 1 1 0 0 100 1
"8" "tdku" 0 1 NA 0.89 NA 0 0 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 6 15 4 100 2.53
"10" "tdtd" 17 0.14 NA 0.88 NA 12 5 12 5 100 1.42
"11" "tukd" 0 1 NA 0.68 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.97 NA 0 0 0 0 100 NA
"13" "tup" 39 0 0 1 NA 6 3 6 3 100 6.5
"14" "tutd" 11 0.39 NA 0.74 NA 9 4 9 4 100 1.22
"15" "tutu" 40 0.01 NA 0.99 NA 23 6 22 6 100 1.74
