"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
17 54 66 25 55 140 15 16 2 6 6 28 NA NA NA
21 51 61 37 70 137 15 9 1 6 8 19 NA NA NA
35 37 60 22 44 127 17 17 NA 9 7 16 2 NA NA
25 56 68 42 55 114 7 13 NA 11 10 17 NA NA NA
21 72 71 31 58 149 7 7 NA 7 11 21 NA NA NA
23 80 59 40 50 117 11 8 NA 11 5 24 NA NA NA
23 69 75 29 57 138 16 11 NA 5 7 26 NA 1 NA
19 56 52 40 56 147 25 23 1 11 11 22 1 NA NA
32 68 66 21 82 122 14 13 NA 8 10 21 NA NA NA
33 66 59 54 70 126 18 17 1 2 8 20 1 1 NA
25 78 61 23 45 145 14 13 NA 10 15 31 NA NA NA
27 77 102 34 94 116 18 15 NA 4 2 38 NA NA NA
34 93 80 42 55 139 4 21 2 3 7 16 1 NA NA
25 63 63 35 69 132 8 12 NA 2 5 17 NA NA NA
13 48 57 23 47 140 9 14 NA 6 11 29 3 NA NA
14 39 50 22 71 118 7 3 1 NA 5 24 1 NA NA
18 45 55 28 42 148 15 8 1 7 4 24 NA NA NA
16 57 51 32 38 101 6 9 NA 3 5 11 1 NA NA
15 48 66 25 38 104 12 13 NA 9 8 18 4 NA NA
28 68 81 32 52 115 28 12 NA 2 5 33 NA NA NA
11 50 67 24 40 122 8 9 1 8 8 23 1 1 NA
30 65 57 19 44 122 12 10 1 4 12 30 1 NA NA
39 84 71 35 61 135 4 9 NA 3 9 16 NA NA NA
45 83 100 40 94 140 13 14 NA 5 18 18 NA NA NA
23 44 60 31 81 152 9 9 3 1 2 25 NA NA NA
20 30 76 40 87 147 15 4 NA 5 5 16 NA NA NA
16 45 58 38 66 118 10 19 1 3 7 21 1 NA NA
19 59 76 12 42 113 10 20 NA 2 16 15 NA NA NA
19 78 74 40 81 138 5 11 NA 5 6 20 NA 1 NA
21 67 71 45 66 113 18 7 2 5 5 26 1 1 NA
28 30 57 32 42 115 20 12 5 7 14 25 NA NA NA
29 57 59 32 82 118 12 12 NA 6 9 27 3 NA NA
36 57 54 25 41 119 17 9 NA 5 12 20 NA 1 NA
27 67 66 17 52 134 23 5 NA 11 5 29 NA NA NA
