"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tup" "tutd" "tutu" "tdkd" "tukd" "tdku" "tuku"
20 56 62 18 54 137 21 18 7 6 24 NA NA NA NA
14 37 65 26 36 143 12 4 5 4 14 1 1 NA NA
18 63 87 29 52 127 16 12 10 7 15 1 1 NA NA
37 78 86 36 66 109 12 9 7 6 14 NA NA NA NA
20 72 94 19 45 123 28 18 11 11 28 NA 1 NA NA
16 59 84 39 64 141 15 12 7 11 19 NA 2 NA NA
24 56 60 29 60 148 8 12 8 12 23 1 1 NA NA
29 59 63 43 80 142 9 5 10 13 28 1 NA NA NA
20 49 49 26 52 97 11 13 3 9 19 NA NA NA NA
37 59 61 47 67 130 15 17 6 12 13 NA 3 NA NA
13 35 74 31 67 149 19 7 9 5 27 1 1 1 NA
37 85 75 45 56 126 14 10 2 9 21 NA NA NA NA
25 77 79 50 36 122 9 4 5 7 35 NA NA NA NA
14 62 77 39 80 103 13 13 7 8 25 1 NA NA NA
16 53 51 32 57 149 11 5 9 2 12 1 NA 1 NA
28 52 60 31 39 126 18 12 6 11 27 NA NA 1 NA
21 50 48 33 50 142 23 9 2 14 31 NA NA NA NA
23 57 64 32 70 139 18 10 4 2 19 1 1 NA NA
36 55 75 37 49 138 11 4 16 8 29 NA NA NA 1
14 48 62 23 59 129 15 13 3 4 18 1 2 NA NA
20 62 79 24 77 140 6 22 1 2 16 1 NA NA NA
12 55 71 21 59 107 12 10 3 9 14 NA NA NA NA
18 56 65 37 39 112 25 17 8 10 34 1 1 NA NA
26 56 51 31 53 137 12 11 4 9 30 NA 1 NA NA
23 57 66 35 51 141 19 16 12 12 24 NA 2 NA NA
27 52 65 29 51 124 18 12 5 11 17 2 3 NA NA
13 55 78 14 56 137 19 10 5 14 23 NA NA NA NA
27 56 60 18 59 113 15 4 4 5 29 NA NA NA NA
15 47 67 36 46 108 10 14 4 8 26 NA NA NA NA
25 40 63 25 63 141 17 9 11 12 31 1 NA NA NA
22 60 73 38 58 115 14 12 6 6 22 1 2 NA NA
25 37 73 51 86 157 14 16 3 11 14 1 NA NA NA
13 52 58 31 45 118 8 5 1 13 20 NA NA NA NA
15 32 78 16 49 133 19 5 3 8 24 1 4 NA NA
11 55 71 37 66 131 23 12 1 10 18 2 NA NA NA
33 69 78 35 76 146 23 11 4 9 21 1 1 1 NA
19 67 62 21 70 124 14 6 5 7 26 1 NA NA NA
21 60 76 43 68 147 10 13 3 15 32 1 1 NA NA
21 56 64 41 72 121 15 19 3 8 27 1 NA NA 1
26 67 73 30 73 139 16 20 8 17 34 NA NA NA NA
24 75 81 29 46 139 25 17 2 7 29 1 NA NA NA
19 49 57 22 70 124 21 7 9 13 22 NA 1 NA NA
21 46 65 39 62 144 12 6 7 8 37 NA NA NA NA
27 65 77 44 69 123 17 12 7 4 19 NA 1 NA 2
24 66 76 41 72 139 7 6 1 11 25 NA NA NA NA
19 67 79 35 60 114 17 12 4 13 32 1 1 NA NA
18 53 52 31 52 124 9 15 11 15 24 NA 1 NA NA
3 34 64 33 79 140 15 10 3 13 27 NA NA NA NA
12 62 71 34 65 127 13 4 2 13 18 1 1 3 NA
12 38 52 36 61 136 15 11 8 8 16 NA NA NA NA
28 59 62 42 67 116 22 15 9 10 28 1 NA NA NA
31 84 75 31 63 142 14 13 7 5 20 NA NA NA NA
10 57 65 35 64 147 20 14 8 11 19 NA 1 NA NA
