"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tuku"
18 60 70 38 87 125 2 9 9 1 5 9 19 NA NA
28 63 61 34 59 128 NA 21 7 3 2 19 39 NA NA
22 58 76 43 65 116 NA 7 7 2 3 7 28 5 NA
23 70 56 37 69 127 NA 15 16 NA 5 6 35 NA NA
24 45 56 24 58 142 NA 15 8 NA 1 13 20 NA NA
11 53 80 23 47 116 1 15 11 NA 4 6 29 1 NA
19 49 57 26 63 131 NA 17 9 NA 7 8 22 NA NA
17 49 64 35 60 139 1 15 12 1 4 9 23 NA NA
13 51 78 34 71 139 NA 16 7 NA 9 14 20 NA NA
21 66 57 38 56 125 NA 14 16 NA 5 19 26 1 NA
20 69 86 40 65 138 1 16 11 NA 7 6 24 NA NA
20 43 59 33 45 123 2 18 12 NA 5 11 29 1 NA
13 56 62 31 55 153 NA 14 14 NA 5 6 19 NA NA
27 46 44 48 77 131 NA 19 11 1 1 11 30 3 NA
20 53 89 21 68 109 NA 11 20 NA 3 4 21 1 NA
20 59 82 31 43 109 NA 20 24 NA 5 6 25 NA NA
19 59 76 39 75 129 NA 26 9 NA 4 7 29 NA NA
18 58 64 35 65 122 NA 6 15 NA 4 17 19 1 NA
33 64 72 23 50 125 NA 17 5 NA 7 16 24 1 NA
10 60 57 29 64 141 NA 18 13 NA 5 9 21 NA NA
10 42 57 22 53 136 2 12 9 NA 8 5 22 NA NA
20 54 52 25 22 125 NA 14 10 NA 8 3 17 NA NA
26 61 83 20 45 121 NA 14 15 NA 7 5 16 1 NA
24 68 60 39 73 143 NA 19 21 1 5 3 20 NA NA
18 55 82 31 53 124 NA 17 17 NA 2 9 23 2 NA
22 77 76 42 80 125 1 12 6 NA 4 2 29 1 NA
21 62 84 17 66 108 NA 19 12 1 9 5 21 NA NA
10 29 73 26 56 138 NA 17 10 NA 3 9 30 NA NA
16 59 57 27 55 115 1 18 10 2 9 13 26 NA NA
16 55 70 11 18 127 1 11 6 NA 7 2 22 NA NA
19 50 67 28 58 110 NA 14 21 NA 4 11 16 1 1
22 57 61 36 55 170 NA 16 4 2 2 6 19 NA NA
28 58 71 29 65 126 NA 8 9 1 3 5 22 NA NA
13 40 66 42 76 133 1 25 9 NA 2 10 19 2 NA
16 75 72 44 67 126 NA 16 12 NA 3 7 25 NA NA
23 66 85 29 69 138 NA 20 9 1 2 6 22 1 NA
17 54 57 21 40 140 NA 11 13 1 2 10 24 1 NA
15 61 75 37 59 132 NA 15 13 NA 5 12 21 1 NA
6 44 65 19 69 125 NA 17 6 NA 6 7 30 3 NA
23 52 57 34 54 102 1 9 11 NA 8 9 31 3 NA
24 52 74 34 62 140 NA 9 12 NA 9 9 29 1 NA
20 67 63 40 79 112 NA 12 16 1 5 10 23 1 NA
20 54 76 24 62 124 NA 15 4 NA 5 5 23 NA NA
