"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu" "tdkd" "tdku"
26 64 50 36 56 112 17 15 1 2 13 12 25 NA NA
29 62 60 39 75 123 9 5 1 1 3 8 21 NA NA
19 53 54 28 57 136 17 6 NA NA 6 9 25 NA NA
25 49 72 24 56 137 19 9 NA NA 13 13 32 NA NA
22 58 46 22 38 126 15 8 1 1 6 5 17 NA NA
29 67 60 29 41 120 8 9 NA NA 4 13 18 1 NA
14 61 69 28 52 124 16 16 NA NA 8 10 15 1 NA
19 45 55 28 40 122 17 16 NA NA 8 2 15 NA NA
21 57 75 19 40 113 9 13 NA NA 1 8 20 NA NA
22 58 76 35 67 142 18 8 NA NA 10 9 14 NA NA
24 43 58 34 56 125 6 8 NA NA 4 7 21 NA NA
17 61 59 31 46 160 18 5 NA NA 2 14 23 1 NA
19 41 66 28 46 131 12 4 NA NA 3 9 26 NA NA
34 67 77 35 56 114 13 9 NA NA 9 9 28 NA NA
12 47 68 21 47 124 17 22 NA NA 7 1 31 NA NA
12 38 70 33 57 113 12 17 NA NA 1 4 17 NA NA
21 64 66 28 62 120 23 14 NA NA 8 13 9 1 NA
23 52 67 39 62 134 11 7 NA NA 3 15 17 NA NA
14 39 70 35 57 134 19 15 NA 2 7 2 15 NA NA
22 60 75 28 27 106 6 13 NA NA 9 15 18 NA NA
18 53 67 44 74 126 14 7 NA NA 3 12 16 NA NA
13 34 79 29 63 112 16 18 1 NA 4 11 28 NA NA
19 45 67 19 30 142 20 12 NA NA 7 5 28 NA NA
29 77 78 25 53 137 5 12 NA NA 7 2 27 NA NA
14 56 74 29 79 128 12 11 1 NA 1 5 26 1 NA
16 48 46 32 54 133 16 22 3 NA 4 3 25 NA NA
14 49 49 17 43 110 16 5 1 NA 6 10 20 NA NA
14 53 69 16 73 149 18 8 NA NA 8 8 22 NA NA
18 38 53 31 48 155 21 8 NA NA 8 9 14 NA NA
18 57 85 33 80 131 21 13 NA NA 9 13 24 1 NA
32 75 72 45 50 131 8 11 NA NA 9 20 14 1 NA
8 36 58 32 26 112 7 18 1 NA 3 17 19 NA NA
12 60 66 29 76 119 17 9 NA NA 8 7 15 NA NA
16 56 65 27 56 122 13 13 NA NA 5 6 21 NA NA
33 77 100 40 87 138 16 2 NA 1 7 8 20 1 1
24 51 63 32 44 115 10 13 1 NA 10 6 17 1 NA
