"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tdku" "tukd" "tuku"
10 58 62 26 49 124 2 16 14 3 4 22 NA NA NA
13 53 56 27 44 130 NA 9 7 5 11 29 1 1 NA
17 49 53 24 44 154 NA 13 15 2 19 28 NA NA NA
35 63 70 33 63 165 NA 14 16 8 14 31 NA NA NA
19 43 61 35 68 133 1 13 6 6 11 25 3 NA NA
39 69 77 31 73 160 1 11 9 3 14 25 NA 1 NA
23 55 51 32 61 126 NA 17 11 4 9 16 NA NA NA
11 47 66 24 55 137 1 7 13 4 7 20 NA 1 NA
16 46 53 19 53 106 NA 13 6 10 7 23 NA NA NA
21 68 66 42 63 115 NA 11 14 6 13 34 NA 1 NA
26 58 57 29 51 133 3 6 11 2 11 12 NA 1 NA
21 55 65 29 59 108 NA 17 5 7 2 26 NA NA NA
18 57 73 40 48 134 2 13 4 2 10 31 NA NA NA
24 60 90 29 38 120 NA 18 19 3 11 15 NA NA NA
28 35 68 37 71 124 2 13 6 7 3 21 NA NA NA
17 57 62 25 52 125 NA 19 8 6 5 19 NA NA NA
19 22 63 27 48 118 1 12 19 3 9 27 1 NA NA
21 94 99 30 95 156 3 12 11 7 13 25 NA NA NA
8 44 58 14 68 140 NA 16 12 15 6 22 NA NA NA
15 52 52 27 55 132 1 14 15 11 16 29 1 NA 2
32 60 66 24 45 124 1 11 9 6 3 23 NA NA NA
28 43 72 20 22 126 NA 14 16 1 11 26 NA NA NA
19 51 69 12 64 125 3 13 17 5 9 26 NA 1 NA
14 50 70 32 49 116 NA 10 7 3 3 20 NA NA NA
12 59 69 32 55 141 1 18 15 8 18 30 NA NA NA
26 67 74 36 53 131 NA 22 12 11 6 26 NA NA NA
20 53 70 31 42 130 2 17 12 3 13 38 1 NA NA
18 77 97 32 71 135 NA 14 6 13 8 25 NA NA NA
24 50 76 42 57 141 NA 17 6 11 5 25 NA NA NA
19 38 49 40 43 130 NA 9 4 2 8 17 1 NA NA
25 65 70 31 52 121 NA 12 8 2 8 20 NA NA NA
10 59 78 36 51 123 NA 21 17 3 16 20 NA NA NA
27 58 84 34 66 124 NA 15 6 1 6 24 NA NA NA
29 59 58 30 59 148 1 18 7 6 10 16 NA NA NA
19 57 57 31 39 131 NA 13 8 4 3 25 NA NA NA
18 55 70 32 64 104 1 8 5 5 14 19 1 NA NA
18 53 65 19 68 110 3 10 20 11 7 29 1 2 NA
16 57 70 43 56 111 NA 15 13 10 6 27 NA 1 NA
16 53 58 35 51 126 NA 18 20 6 14 16 NA 1 NA
21 41 69 28 56 150 NA 17 11 4 3 25 NA NA NA
20 56 65 26 57 127 NA 17 15 11 3 28 NA 1 NA
20 58 68 33 77 133 NA 15 16 2 10 14 1 1 NA
24 78 83 31 53 135 NA 10 16 7 8 22 NA 1 NA
23 26 71 19 78 128 1 18 16 10 11 34 NA 1 NA
25 52 56 33 70 130 NA 15 7 5 5 23 NA 1 NA
35 68 76 45 60 125 NA 18 7 7 3 11 NA NA NA
21 50 58 25 34 122 NA 16 18 7 6 18 1 NA NA
24 47 67 30 59 132 1 26 15 4 13 28 NA 1 NA
10 43 59 25 57 142 NA 17 12 12 4 14 NA NA 1
16 43 72 37 73 113 NA 14 10 1 7 31 2 1 NA
18 38 45 29 53 155 NA 25 13 8 9 22 NA NA NA
18 33 84 40 58 175 1 11 16 8 8 19 NA NA NA
12 37 62 37 46 130 NA 12 5 11 3 17 NA 1 NA
32 56 57 29 29 126 1 25 13 3 7 16 NA 2 NA
21 41 68 32 63 134 1 20 6 3 17 23 NA 1 NA
19 47 63 24 47 120 1 16 8 7 12 25 NA NA 1
18 48 64 27 59 138 NA 13 16 11 5 17 NA NA NA
11 51 57 39 79 129 NA 20 14 9 16 23 NA NA NA
29 51 67 35 60 142 NA 8 13 2 8 19 NA NA NA
19 55 71 44 84 145 NA 6 10 2 11 29 NA NA NA
28 58 78 23 50 139 NA 11 12 7 9 24 NA 1 NA
16 45 55 27 71 135 NA 10 13 10 6 19 NA NA NA
51 71 69 41 67 144 NA 11 8 7 10 19 NA NA NA
16 40 81 35 67 130 1 17 7 2 11 14 NA NA NA
15 47 61 24 49 139 NA 11 20 9 13 41 NA 1 NA
23 64 69 49 53 128 NA 7 12 5 5 20 1 NA NA
12 56 69 29 44 129 NA 20 5 5 4 23 NA NA 1
22 57 76 29 75 124 3 16 22 8 8 21 NA NA NA
18 55 66 23 50 127 1 22 11 3 9 19 1 1 NA
10 34 58 28 27 141 NA 10 14 6 9 19 NA NA NA
18 52 54 48 64 133 1 12 11 9 12 36 NA 3 NA
13 54 55 27 76 129 1 12 8 6 7 23 NA 1 NA
23 45 47 19 33 138 1 14 8 5 3 18 NA 1 NA
27 71 59 35 48 103 NA 15 10 7 6 30 NA 1 NA
16 42 48 22 54 134 1 11 12 3 5 21 NA NA NA
16 46 45 17 44 109 2 18 20 6 9 21 NA NA NA
18 62 86 28 68 130 NA 10 8 5 8 17 NA 1 NA
26 64 78 36 56 114 1 10 11 6 8 26 NA NA NA
23 62 62 38 67 118 NA 21 10 5 10 14 NA NA NA
12 51 66 36 63 168 NA 8 7 1 5 26 NA NA NA
12 54 66 41 51 147 NA 20 8 3 5 14 1 1 NA
20 54 57 39 63 139 NA 14 10 6 12 36 NA 1 NA
21 54 67 41 73 128 1 12 7 7 8 24 NA 2 1
11 51 71 26 50 129 2 8 9 7 6 12 NA NA NA
14 63 73 36 75 117 1 13 7 9 7 20 NA NA NA
33 68 65 45 64 121 1 15 11 3 7 22 1 NA NA
24 65 77 28 77 121 NA 19 7 9 5 16 NA NA NA
18 50 70 39 59 127 NA 11 4 4 5 25 NA NA NA
18 48 55 39 60 149 NA 19 11 10 7 20 NA NA NA
28 68 87 42 73 149 2 5 18 8 9 14 NA NA NA
23 44 60 29 55 134 NA 15 17 3 8 26 NA 1 NA
25 67 70 35 83 157 1 16 12 4 13 20 NA NA NA
