"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tdku" "tuku"
41 79 63 36 73 126 1 15 8 5 4 28 NA NA NA
33 63 58 38 55 110 NA 15 18 8 11 33 1 NA NA
27 65 94 30 72 149 1 20 15 12 10 19 1 NA NA
26 48 66 30 59 148 NA 17 11 10 15 28 NA NA NA
34 78 71 17 45 126 NA 19 5 3 6 23 1 NA NA
24 67 71 43 70 133 NA 17 16 4 7 22 NA NA NA
15 54 58 30 46 119 1 15 8 6 12 25 2 NA NA
32 72 76 42 87 134 1 11 8 6 8 30 1 NA NA
27 52 71 23 48 119 NA 15 13 5 9 26 1 NA NA
23 66 66 44 71 181 NA 17 17 1 11 17 1 NA NA
19 58 63 29 23 106 NA 20 9 4 15 23 NA NA NA
26 55 56 35 68 135 NA 15 16 3 11 26 NA NA NA
22 40 52 37 70 123 NA 20 12 6 16 32 NA NA NA
35 75 86 38 78 130 2 24 13 11 12 26 1 NA NA
17 50 67 30 58 135 1 15 13 1 14 29 1 NA NA
33 85 63 27 44 133 NA 26 12 2 11 33 1 NA NA
18 46 60 20 46 119 2 20 18 11 17 22 NA NA NA
15 54 63 33 24 117 2 7 8 10 3 31 NA 1 1
11 45 57 27 41 125 2 11 15 4 8 22 NA NA NA
18 53 75 35 47 113 NA 10 9 3 10 24 3 NA NA
29 58 76 32 55 104 NA 19 5 6 10 20 NA NA NA
28 69 61 35 52 137 1 15 13 8 9 28 NA NA NA
40 93 78 42 69 130 NA 22 3 8 7 35 1 1 NA
21 64 74 33 45 111 2 21 13 9 12 24 1 NA 2
20 53 59 27 58 115 NA 13 8 3 12 21 NA NA NA
43 69 70 30 69 152 1 12 9 8 15 20 NA NA NA
20 67 59 27 22 144 NA 17 9 9 7 15 NA 2 NA
19 63 64 38 56 138 NA 13 14 3 14 22 NA NA NA
13 68 87 25 68 101 NA 7 9 2 7 23 NA NA NA
8 54 63 28 57 125 1 20 11 6 10 20 2 NA NA
26 62 45 44 81 162 1 6 15 7 10 29 NA NA NA
43 60 58 38 65 136 1 13 17 5 7 21 1 NA NA
17 66 65 44 77 148 1 10 12 8 3 23 NA 2 NA
15 34 51 33 29 110 NA 9 12 8 12 24 NA NA 1
18 56 70 33 60 108 NA 24 11 2 10 21 NA NA NA
29 63 81 30 58 138 NA 14 17 9 13 22 NA 1 NA
16 52 58 29 41 118 NA 12 9 7 10 19 1 NA NA
19 49 61 34 48 155 NA 19 16 7 6 24 1 NA 1
29 52 61 22 56 137 NA 11 12 7 10 10 NA 1 NA
14 39 54 23 37 126 1 26 9 11 14 30 NA NA NA
31 69 68 30 45 112 1 11 7 3 10 21 NA NA NA
19 55 63 13 61 129 NA 12 5 10 10 33 NA NA 1
15 58 55 29 79 141 1 14 8 9 9 24 NA NA NA
19 54 53 39 52 129 NA 22 15 4 11 34 NA 1 NA
30 68 51 31 59 107 1 17 15 7 7 22 NA NA NA
37 83 69 40 79 123 4 19 8 4 4 14 4 NA NA
25 63 64 34 53 125 1 26 13 3 9 20 NA NA 1
19 75 74 30 63 129 1 20 5 3 3 11 1 NA NA
32 55 59 38 51 127 NA 14 12 6 6 23 1 NA NA
14 50 63 9 52 137 NA 19 8 3 8 16 2 NA NA
17 46 56 27 46 121 NA 11 16 6 9 30 NA NA NA
29 52 57 31 68 135 NA 9 4 5 9 21 NA NA NA
11 46 57 41 65 107 NA 19 8 7 3 26 1 1 NA
18 39 59 22 52 122 NA 15 9 4 9 13 NA NA NA
21 58 48 22 27 140 NA 16 6 6 10 21 1 NA NA
21 64 89 14 78 116 NA 11 12 2 12 26 2 NA NA
28 49 53 33 32 133 NA 8 2 9 4 14 NA NA NA
12 47 48 27 57 145 2 19 14 6 11 26 NA 2 NA
15 46 39 30 33 142 3 16 15 7 9 34 NA NA NA
16 28 52 28 52 128 1 5 9 5 9 15 1 NA NA
20 76 81 38 57 158 1 22 13 10 13 27 1 NA 1
18 66 70 25 49 126 NA 16 18 2 9 22 NA NA NA
10 52 57 35 63 131 NA 15 5 7 8 21 NA NA NA
15 63 67 25 52 109 2 17 10 7 8 21 NA NA NA
23 63 77 14 68 129 NA 22 10 3 9 33 NA NA NA
26 67 79 32 87 137 NA 16 9 11 6 22 1 NA NA
10 37 53 25 48 129 1 12 7 3 5 13 1 NA NA
25 55 56 29 55 132 NA 17 11 18 9 20 NA NA NA
