"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku" "tdku"
34 77 84 46 84 147 1 9 10 1 2 8 22 NA NA
25 47 61 34 64 135 1 12 9 1 5 3 15 NA NA
19 47 65 23 73 112 1 17 8 NA 5 13 14 NA NA
21 59 67 25 59 125 NA 11 11 NA 7 12 27 NA NA
20 48 67 29 49 154 1 16 9 NA 4 9 16 NA NA
23 46 52 24 55 136 1 16 22 1 1 14 21 NA NA
10 15 67 37 75 161 NA 7 8 NA 10 3 15 NA NA
22 52 76 32 62 122 1 15 9 NA 7 12 20 NA NA
13 81 68 26 55 100 NA 9 7 NA 9 6 26 NA NA
9 56 75 26 65 134 NA 18 12 NA 7 9 23 NA NA
28 52 77 42 71 119 NA 15 12 NA 5 4 12 NA NA
12 45 62 17 53 130 NA 13 18 NA 7 11 24 NA NA
15 58 62 31 32 130 1 12 14 1 9 8 21 NA NA
20 60 62 35 69 116 3 17 10 NA 4 8 33 NA NA
14 49 69 42 66 115 1 18 7 1 5 13 26 NA NA
18 57 69 43 34 130 NA 20 20 NA 6 12 24 NA NA
24 60 65 26 26 116 NA 10 5 1 3 10 18 NA NA
29 64 73 32 43 138 6 17 16 NA 7 11 17 NA NA
20 67 67 30 51 114 NA 11 10 NA 9 8 28 NA NA
19 69 84 39 75 100 NA 15 9 NA 11 12 21 NA NA
14 50 57 33 55 137 1 13 11 3 7 14 24 NA NA
23 61 62 42 78 137 NA 20 12 NA 3 7 16 NA NA
27 34 74 42 71 118 NA 11 5 NA 6 14 24 NA NA
21 64 67 35 54 125 NA 13 16 1 3 11 22 NA NA
22 57 58 39 47 149 NA 9 7 NA 5 7 17 NA NA
22 66 77 27 53 123 NA 14 8 2 5 3 20 NA NA
38 76 76 43 61 117 2 15 12 2 10 10 21 NA NA
21 53 55 29 63 105 NA 13 10 NA 4 7 21 NA NA
25 79 79 35 23 132 NA 13 12 NA 4 9 17 NA NA
16 56 56 34 51 109 1 22 17 1 3 5 23 NA NA
29 76 68 26 65 118 NA 9 11 NA 8 10 8 NA NA
22 66 63 42 48 157 NA 13 13 NA 8 10 25 2 NA
14 58 68 23 63 111 NA 9 8 NA 7 11 32 NA NA
28 63 59 13 58 140 NA 7 15 NA 5 6 18 NA NA
24 22 68 35 69 103 2 16 10 NA 1 7 21 NA NA
13 48 62 32 49 154 NA 16 9 NA 9 6 31 4 NA
18 46 65 15 54 137 NA 17 15 1 9 5 25 NA NA
27 85 73 48 32 142 NA 16 12 NA 2 8 19 NA NA
27 78 65 43 68 122 1 17 11 NA 3 13 23 NA NA
13 32 55 16 61 128 NA 11 16 NA 13 3 35 NA 1
26 31 67 39 57 130 NA 11 12 NA 3 4 19 NA NA
26 55 74 41 68 158 NA 20 13 NA 12 9 15 NA NA
20 55 78 25 56 117 NA 13 11 NA 5 5 30 NA NA
23 54 60 36 61 162 5 14 15 1 1 7 17 NA NA
19 70 71 30 52 122 2 17 15 NA 10 13 28 NA NA
22 44 71 28 60 132 1 15 5 1 3 9 25 NA NA
16 53 46 27 58 136 NA 18 16 NA 3 11 16 NA NA
11 48 61 24 23 141 NA 22 7 1 6 9 20 NA NA
17 46 66 36 71 103 NA 15 8 NA 3 5 24 NA NA
20 65 75 28 66 144 NA 9 13 NA 8 9 23 NA NA
27 58 61 40 54 116 NA 13 11 NA 4 5 32 NA NA
12 40 54 35 44 147 1 13 11 NA 7 16 16 NA NA
