"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tuku" "tukd" "tdku"
15 41 55 25 46 124 1 22 6 4 9 30 NA NA NA
12 41 70 23 59 130 NA 6 13 5 7 17 NA NA NA
20 45 58 39 67 115 NA 18 7 7 7 17 NA NA NA
20 62 49 27 54 132 NA 13 7 7 10 19 NA NA NA
27 54 60 32 77 125 1 24 14 2 4 17 1 NA NA
24 55 66 32 55 125 3 23 10 4 12 13 NA NA NA
22 58 77 37 72 137 NA 18 6 6 7 18 NA 1 NA
24 65 63 45 52 143 NA 14 20 5 7 31 NA NA NA
19 54 65 39 78 120 NA 20 16 2 13 16 NA NA NA
13 43 55 30 43 121 1 16 12 11 12 23 NA NA NA
25 63 61 47 107 132 3 11 9 3 9 16 NA NA NA
11 50 57 28 44 125 1 13 13 6 8 23 1 1 NA
26 59 62 31 59 148 1 17 13 7 2 30 NA 1 1
21 39 65 30 65 132 2 12 11 4 10 18 NA NA NA
19 65 72 37 78 150 NA 14 9 3 9 24 1 NA NA
25 70 82 27 50 137 NA 13 20 16 9 34 NA NA NA
14 49 55 42 84 135 NA 20 17 11 5 29 NA 2 1
30 34 71 35 77 119 1 13 9 1 7 29 NA 1 NA
11 51 71 26 63 121 NA 11 19 5 10 24 NA 1 1
17 55 65 33 68 133 1 11 6 7 9 22 NA NA NA
28 68 74 29 59 117 1 15 18 4 8 17 1 NA NA
37 81 78 25 55 105 NA 18 7 3 4 25 1 1 NA
7 44 67 29 47 110 1 11 11 7 7 16 NA NA NA
15 35 56 23 38 122 NA 24 13 6 12 30 NA NA NA
38 82 61 42 64 119 NA 9 9 7 7 22 NA 1 NA
19 40 52 16 63 101 1 10 16 NA 10 18 NA NA NA
18 36 54 43 67 154 1 19 24 8 7 23 NA NA NA
21 64 88 34 49 117 NA 9 12 4 9 23 NA NA 1
15 47 58 33 53 115 NA 11 17 8 10 16 NA NA NA
20 62 45 28 58 118 2 15 9 7 10 22 NA NA 1
20 47 61 25 62 131 NA 15 10 5 9 24 NA 1 NA
28 71 60 23 41 152 NA 15 11 3 9 14 NA NA NA
