"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu" "tdku"
27 67 64 39 66 151 2 20 10 1 1 8 13 22 NA
28 48 56 38 64 131 1 22 8 NA NA 1 11 25 2
36 90 110 42 66 126 2 7 7 1 NA 3 5 25 NA
30 55 66 33 57 133 NA 8 17 1 NA 2 11 21 NA
30 83 83 39 75 171 NA 12 13 1 NA 7 7 16 NA
26 88 79 41 82 138 NA 8 9 1 1 14 3 32 NA
10 27 78 26 67 112 NA 14 22 1 NA 6 11 23 NA
24 40 53 28 53 125 1 14 8 NA NA 10 5 10 NA
20 44 43 43 71 139 NA 16 23 1 NA 9 12 30 NA
12 50 65 22 57 118 NA 9 7 NA NA 11 12 22 NA
22 28 72 16 69 145 NA 13 13 NA NA 9 7 26 NA
16 43 57 26 49 120 1 5 8 NA NA 7 6 15 NA
19 51 69 37 49 118 NA 17 13 NA NA 7 10 29 NA
12 53 72 29 55 117 NA 11 16 1 NA 5 9 23 NA
10 52 57 24 26 143 NA 13 3 1 NA 3 6 26 1
26 74 67 23 76 144 NA 21 13 3 NA 12 10 22 NA
27 69 82 33 67 128 NA 13 15 1 NA 11 6 16 NA
12 53 76 13 55 120 NA 18 8 1 NA 5 12 15 NA
17 68 64 23 41 115 1 6 12 NA NA 3 15 12 NA
35 74 84 27 41 133 NA 13 8 NA NA 7 3 19 NA
34 52 70 36 70 146 NA 12 7 NA NA 6 9 23 NA
24 46 87 30 62 171 3 17 9 NA NA 1 5 27 NA
25 68 82 31 70 135 NA 14 10 1 NA 7 9 29 NA
17 57 68 15 62 125 NA 10 5 NA NA 5 14 30 NA
12 47 67 31 65 114 1 16 9 1 NA 9 7 31 NA
17 57 70 19 70 135 NA 3 10 NA NA 9 7 22 NA
37 81 67 38 63 128 1 20 15 1 NA 5 4 24 2
24 68 66 27 67 114 NA 13 16 2 NA 2 9 13 NA
30 61 61 34 31 139 NA 9 10 NA NA 6 12 25 NA
18 48 55 28 42 154 NA 12 13 NA NA 7 11 26 NA
11 31 63 25 53 127 NA 10 12 NA NA 3 12 24 NA
20 50 57 20 40 169 1 24 22 1 NA 4 10 20 NA
19 56 66 31 52 113 NA 14 13 1 NA 5 12 20 NA
33 68 81 46 65 125 NA 17 19 2 NA 5 7 39 NA
11 56 64 37 35 150 NA 19 8 NA NA 4 4 26 NA
24 68 69 15 53 156 1 12 11 NA NA 3 12 31 NA
22 55 70 25 61 133 1 19 20 NA NA 10 5 22 NA
18 54 75 29 58 94 NA 14 16 NA NA 1 10 30 NA
13 65 59 37 69 120 NA 9 7 NA NA 4 8 24 1
11 39 52 34 66 138 1 19 12 NA NA 5 5 26 NA
15 55 62 33 77 133 NA 24 9 NA NA 3 7 30 NA
8 51 54 21 41 125 1 5 15 1 NA 5 5 27 NA
9 33 52 32 27 161 1 16 6 NA NA 3 6 22 NA
20 42 46 38 65 141 NA 21 6 NA NA 1 12 28 NA
9 50 95 31 65 147 NA 12 15 NA NA 7 8 28 NA
28 62 78 38 72 127 1 7 11 1 NA 8 7 23 NA
15 40 60 29 61 148 2 17 11 NA NA 7 5 21 NA
23 57 55 31 58 138 3 17 9 NA NA 9 4 16 1
27 62 74 37 69 130 2 7 15 NA NA 4 10 26 NA
24 59 59 38 62 114 NA 9 13 1 NA 4 4 18 1
25 63 75 17 60 138 NA 9 13 NA NA 7 10 29 NA
20 59 61 32 44 152 1 16 15 NA NA 1 14 14 NA
31 61 71 37 63 137 NA 14 15 NA NA 7 16 34 NA
12 47 72 31 68 142 NA 9 8 NA NA 7 6 12 NA
24 51 55 21 73 140 1 15 16 1 NA 7 10 16 NA
19 60 49 32 46 136 NA 5 16 NA NA 5 5 20 NA
13 48 62 38 61 135 NA 13 9 NA NA 3 11 24 NA
16 54 65 41 62 126 NA 15 8 NA NA 6 11 25 1
15 52 72 27 67 153 NA 14 4 NA NA 6 6 31 NA
30 52 65 43 65 122 NA 6 13 1 NA 7 8 29 NA
12 53 53 27 50 156 NA 14 2 1 NA 7 7 13 NA
21 50 74 17 62 166 1 15 19 1 NA 5 13 26 NA
15 57 74 22 46 123 1 15 10 1 NA 9 6 22 NA
24 52 67 26 58 129 NA 15 5 NA NA 1 4 24 NA
34 34 51 54 69 140 NA 18 22 NA NA 4 12 25 2
16 34 53 34 49 124 NA 14 4 1 NA 1 13 24 1
28 68 73 34 64 145 NA 14 12 1 NA 11 14 22 NA
19 63 80 33 70 115 4 23 15 NA NA 5 13 28 NA
23 57 59 30 54 107 1 23 23 2 NA 2 10 21 1
28 57 67 38 56 134 1 10 8 NA NA 11 14 18 NA
27 47 74 33 59 140 NA 18 13 1 NA 3 15 27 NA
23 57 55 34 63 140 NA 22 12 NA NA 6 7 31 2
15 51 62 37 84 119 NA 18 14 NA NA 9 8 28 NA
26 62 64 37 72 108 2 17 9 NA NA 8 4 16 NA
24 45 86 41 80 151 NA 4 7 1 NA 9 8 20 NA
28 60 74 16 61 114 NA 13 9 1 2 2 11 23 1
21 41 69 22 67 148 1 14 7 NA NA 2 11 36 NA
5 38 60 9 65 110 NA 20 13 1 NA 5 7 16 NA
15 45 47 32 39 111 NA 12 16 NA NA 6 5 28 NA
14 39 55 19 48 149 1 22 16 1 NA 5 14 50 NA
25 68 73 37 65 112 NA 8 16 NA NA 4 9 26 NA
25 54 77 27 73 117 NA 7 4 NA NA 4 8 20 NA
8 42 66 39 70 110 1 8 13 NA NA 8 14 23 NA
21 67 63 46 57 163 4 8 16 NA NA 8 8 17 NA
22 57 73 29 71 115 3 14 14 2 NA 1 7 26 NA
15 49 86 32 62 143 NA 15 14 NA NA 5 5 12 NA
37 70 82 50 80 143 NA 10 6 1 NA 5 4 19 1
13 64 80 30 49 132 NA 13 12 NA NA 5 9 15 NA
15 49 72 27 57 135 1 21 7 NA NA 6 9 26 NA
28 51 54 27 48 109 NA 13 14 1 NA 4 13 22 NA
12 50 58 38 58 137 NA 16 12 NA NA 7 11 25 NA
17 35 60 12 43 102 NA 8 8 NA NA 4 8 26 NA
10 46 77 28 59 139 NA 5 11 1 NA 8 8 28 NA
30 62 68 27 49 113 NA 19 9 NA NA 3 4 15 NA
13 36 75 29 52 133 1 13 16 NA NA 9 9 25 NA
15 43 68 21 57 115 NA 16 11 1 NA 8 6 22 NA
9 33 63 27 69 121 NA 17 16 2 NA 2 14 24 NA
9 36 59 12 39 121 NA 20 13 1 NA 6 14 20 NA
26 70 79 42 83 161 NA 19 12 NA NA 2 13 28 NA
16 41 74 33 74 125 NA 5 8 NA NA 1 12 18 NA
