"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tuku" "tdku"
16 33 32 12 49 158 1 9 11 7 14 27 NA NA NA
33 68 66 39 65 150 NA 19 12 8 6 20 NA NA NA
34 84 62 33 72 151 NA 16 8 6 8 14 NA NA NA
20 36 71 27 56 129 4 18 5 3 8 23 NA NA NA
9 47 56 32 80 147 1 14 22 7 11 32 1 1 NA
17 68 89 37 55 106 2 13 10 4 7 17 NA NA 1
17 52 64 24 38 124 NA 25 12 1 11 20 1 NA NA
20 69 68 35 54 117 NA 12 10 5 9 19 1 NA NA
26 60 55 31 53 114 NA 15 2 4 7 19 NA NA NA
21 53 56 34 49 123 NA 11 13 5 3 18 NA NA NA
25 71 80 26 74 124 1 17 19 9 11 27 NA NA NA
6 35 60 30 84 157 1 19 13 8 9 21 NA NA NA
22 69 66 39 59 135 NA 13 9 8 19 21 NA NA NA
9 50 54 34 61 136 NA 23 7 14 12 24 NA NA NA
13 32 36 19 68 124 NA 19 9 5 9 16 2 NA NA
14 42 47 21 74 114 NA 23 6 5 6 19 NA NA NA
21 62 74 32 68 136 NA 16 11 7 9 25 NA NA NA
22 54 57 14 44 122 NA 9 12 8 3 20 1 NA 1
17 58 62 35 49 138 4 16 8 7 5 28 NA NA NA
36 83 78 27 52 138 NA 15 9 3 9 21 1 NA NA
24 63 76 33 57 132 NA 18 9 5 14 19 1 NA NA
17 54 56 37 62 143 2 12 15 3 8 24 NA NA 1
16 43 65 27 42 142 NA 17 10 4 4 23 NA NA NA
22 55 64 33 79 147 1 20 9 7 1 18 1 NA NA
21 53 71 48 80 141 NA 17 10 5 9 19 NA NA NA
18 40 56 23 45 156 1 10 22 5 9 21 NA NA NA
12 53 53 33 41 112 1 8 17 9 8 18 NA NA 1
17 39 87 35 66 145 NA 11 11 7 13 23 NA NA NA
29 55 70 30 82 146 NA 16 9 12 5 32 NA NA 1
27 57 53 38 36 104 1 17 19 5 9 26 1 NA NA
33 49 58 25 60 123 1 19 15 12 7 20 1 NA NA
21 65 86 38 88 161 NA 12 11 6 8 35 NA NA NA
34 35 77 50 93 146 1 12 16 7 13 21 1 NA 1
21 46 71 31 61 127 NA 8 16 1 13 18 NA NA NA
12 50 56 9 51 116 1 7 12 5 8 21 NA 2 1
18 55 71 28 64 133 NA 18 7 5 10 23 NA NA NA
10 31 42 31 71 141 1 15 9 9 11 17 NA NA NA
27 27 59 37 71 142 NA 10 15 3 4 18 NA NA NA
33 64 78 31 73 116 NA 19 12 6 3 30 3 NA 1
15 63 63 33 54 110 NA 18 17 2 8 34 NA NA NA
28 60 85 20 76 143 1 21 9 2 5 22 1 NA 1
19 55 68 36 49 112 NA 20 13 7 7 15 2 NA 1
21 47 56 14 62 124 NA 10 12 3 7 16 NA NA 3
29 85 71 47 85 165 NA 12 8 3 13 13 NA NA NA
24 71 79 37 69 133 NA 13 10 3 4 21 NA NA NA
19 48 47 39 55 123 NA 22 7 1 3 29 NA NA NA
41 68 69 33 57 123 NA 29 14 7 5 16 NA NA NA
23 47 59 30 54 137 NA 16 16 2 13 20 NA NA NA
22 51 49 31 38 149 NA 14 19 4 13 16 NA NA NA
22 63 69 31 22 127 NA 14 5 3 11 15 NA NA NA
14 57 51 33 62 125 1 15 13 2 9 20 NA NA NA
19 53 76 35 66 138 2 9 13 8 8 10 NA NA 1
22 54 59 34 74 130 NA 10 6 5 11 20 NA NA NA
23 66 83 29 59 131 NA 9 13 6 4 23 NA NA NA
29 61 74 36 72 128 NA 13 8 10 5 23 NA NA NA
12 58 72 29 62 124 2 5 9 6 13 20 1 NA 2
22 52 53 39 63 113 2 15 9 8 6 24 1 1 NA
17 42 68 22 46 108 4 11 12 3 3 19 NA 1 NA
29 65 64 36 52 130 NA 18 16 4 8 19 NA NA NA
14 47 61 32 48 109 3 13 10 13 16 26 5 NA NA
21 57 80 35 60 121 NA 16 18 5 7 23 NA NA 3
18 67 62 39 60 136 1 4 12 5 8 21 1 NA NA
15 49 57 31 46 124 NA 16 6 11 12 23 NA NA NA
16 48 77 23 39 130 NA 17 11 3 13 21 NA NA NA
34 74 72 21 61 123 NA 16 7 7 5 25 NA NA 1
16 69 70 32 68 144 NA 20 13 5 8 23 1 NA NA
12 41 75 27 58 124 NA 12 9 1 4 29 NA NA 1
19 53 59 29 25 127 NA 15 5 3 5 15 NA 2 NA
19 55 55 20 51 134 1 14 7 10 12 13 NA NA NA
27 26 76 43 77 156 NA 15 3 6 4 17 NA NA NA
16 70 97 30 68 122 NA 18 13 3 9 27 NA NA NA
33 78 93 39 80 141 1 16 3 3 5 24 NA NA 1
20 47 72 27 77 125 NA 19 11 12 3 23 2 NA NA
25 60 64 49 57 137 NA 16 13 11 21 22 NA NA NA
13 41 58 40 54 128 NA 17 18 5 9 16 1 NA NA
18 61 55 19 54 118 NA 6 7 13 9 23 NA NA 1
17 50 45 30 67 139 NA 17 17 1 6 20 NA NA 1
17 51 63 28 35 116 1 20 14 13 5 19 NA NA NA
12 47 58 23 55 117 NA 17 15 3 6 22 NA NA NA
24 76 86 28 54 123 NA 19 18 13 9 19 NA NA 1
18 39 54 34 66 118 1 16 14 4 12 22 NA NA NA
24 34 67 30 53 139 2 10 16 7 18 28 NA NA NA
37 58 78 32 67 123 1 16 4 8 6 16 1 NA NA
23 68 67 25 52 126 1 20 16 6 15 26 1 NA NA
14 51 56 34 60 131 NA 18 9 10 2 22 1 NA NA
24 67 76 15 43 101 6 16 7 3 10 13 NA NA NA
25 63 68 38 82 132 NA 12 6 2 13 29 1 NA NA
16 42 55 35 49 132 1 20 10 5 16 24 1 NA NA
23 45 75 37 51 139 1 21 11 7 17 11 1 NA NA
11 56 63 32 40 116 1 7 8 5 6 18 NA NA NA
18 49 61 36 53 130 NA 11 4 7 7 16 NA NA NA
22 58 74 28 59 135 1 18 11 5 14 18 NA NA NA
35 72 79 23 76 152 5 21 15 7 9 16 NA NA NA
23 58 55 33 57 134 2 17 15 4 8 44 NA 2 3
25 55 62 24 79 141 1 17 2 6 7 25 1 NA NA
28 71 84 37 68 106 1 15 12 7 11 23 NA NA NA
23 58 70 33 62 144 NA 20 8 6 4 23 NA NA NA
28 54 56 25 54 152 1 17 14 6 15 24 1 NA NA
27 65 59 29 53 121 NA 17 13 13 4 28 NA NA NA
