"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku" "tdkd" "tdku"
13 41 58 15 43 131 17 7 1 10 12 31 NA NA NA
39 87 77 26 82 123 18 19 NA 6 20 23 NA NA NA
21 60 49 31 62 145 17 8 NA 2 4 12 NA NA NA
23 56 54 21 70 133 15 12 1 8 9 22 NA NA NA
21 74 85 31 72 110 13 7 1 5 6 21 NA NA NA
32 48 59 34 59 155 14 8 NA 2 9 21 NA NA NA
23 26 73 36 62 115 5 12 NA 8 9 20 NA NA NA
24 55 75 36 33 151 18 11 NA 4 11 26 1 NA NA
18 60 64 34 43 121 14 25 1 3 5 32 NA 1 1
21 39 62 34 61 134 18 15 NA 5 7 17 1 NA NA
23 27 66 27 49 110 18 9 1 1 10 13 NA NA NA
20 58 71 30 65 130 15 7 1 5 7 12 NA NA NA
35 57 67 22 55 118 16 10 NA 4 12 14 NA NA NA
18 57 61 32 54 144 22 11 NA 2 4 20 NA 1 1
28 52 80 45 70 145 17 10 1 7 15 21 NA NA NA
27 56 69 23 47 151 21 10 NA 3 8 21 NA 1 NA
27 73 56 37 67 122 17 12 1 9 5 21 NA 1 NA
19 69 49 43 47 116 18 12 1 5 7 13 NA NA NA
7 44 70 22 48 122 24 12 NA 9 13 22 NA NA NA
11 43 56 29 66 136 20 16 NA 2 10 23 NA 1 1
12 39 71 22 68 147 22 10 NA 4 13 26 NA NA NA
13 44 66 26 69 121 12 8 3 4 4 21 NA NA NA
23 61 69 31 73 140 10 13 NA 1 12 21 NA NA NA
17 67 94 37 84 138 17 10 2 9 7 23 NA 1 NA
13 48 90 33 85 128 15 11 1 11 5 16 NA NA 1
16 52 61 23 55 121 23 14 NA 7 8 21 NA NA NA
18 45 53 24 67 141 20 18 NA 3 3 25 NA 1 NA
12 49 60 25 46 134 17 18 NA 7 7 26 NA NA NA
23 27 71 39 56 143 30 9 NA 6 8 20 NA 1 NA
22 49 58 39 95 141 15 17 1 7 10 24 NA NA NA
34 81 70 42 63 133 13 16 NA 8 5 20 NA 1 NA
28 77 78 38 85 143 17 7 NA 3 12 17 NA 3 NA
23 58 73 39 73 136 18 16 2 4 22 25 NA NA NA
17 53 62 33 44 100 11 11 1 5 9 29 NA NA NA
26 60 74 25 39 143 16 15 1 10 10 26 NA 1 1
26 74 75 42 61 114 9 11 1 8 9 15 NA 2 NA
21 64 89 13 64 117 7 13 1 6 5 12 NA NA NA
22 45 58 39 62 136 17 9 NA 11 9 25 NA NA NA
11 44 49 20 67 143 8 4 2 5 7 20 NA 1 3
18 44 48 34 40 108 9 9 NA 8 6 17 NA 3 NA
22 76 80 39 76 126 18 18 NA 7 17 24 NA NA NA
25 54 34 30 43 107 21 8 NA 3 9 28 NA NA NA
21 70 81 22 60 115 16 16 NA 9 13 22 1 NA NA
17 52 78 24 63 133 13 8 NA 4 3 25 NA 1 NA
18 50 67 21 56 138 18 15 1 8 3 20 NA 2 1
30 64 73 31 59 113 15 3 NA 9 9 29 1 NA NA
26 56 76 29 50 129 16 14 2 6 3 17 NA NA NA
15 67 79 31 55 123 7 5 1 2 10 24 NA 1 NA
47 92 68 37 61 124 13 8 NA 3 7 19 NA NA NA
10 48 67 31 52 134 13 10 NA 5 9 23 NA 1 NA
21 53 62 39 58 130 13 12 2 5 3 16 NA 1 NA
38 73 70 36 50 132 20 17 NA 3 9 31 NA 1 NA
17 44 75 25 88 135 16 3 NA 14 5 23 NA NA NA
30 82 76 42 63 146 21 4 NA 9 2 22 NA NA NA
31 59 73 32 39 136 5 20 NA 5 15 25 NA NA NA
24 57 67 32 54 148 23 12 NA 6 4 30 NA NA NA
17 57 66 32 72 132 17 7 NA 4 10 10 NA NA NA
33 68 65 30 58 131 11 8 1 11 11 30 NA NA NA
23 66 78 28 42 131 20 9 NA 5 9 23 NA NA NA
10 51 67 27 56 114 23 16 NA 10 10 19 NA 3 NA
22 56 63 43 45 142 15 16 2 7 5 22 NA 1 NA
13 43 56 20 41 144 16 14 NA 5 8 19 NA NA NA
36 72 91 40 69 143 10 9 1 5 8 22 NA NA NA
11 48 72 41 78 124 14 17 NA 14 6 35 NA 2 NA
25 47 70 30 76 130 13 6 NA 5 6 23 NA NA NA
30 67 72 38 57 123 7 7 NA 6 9 17 NA 1 NA
38 65 85 38 75 117 13 8 NA 9 13 28 NA NA NA
33 69 65 34 61 118 9 13 1 7 4 22 NA 2 NA
14 44 78 31 63 117 14 8 NA 3 7 25 NA 1 1
9 39 71 25 75 133 13 9 1 10 13 18 NA NA 1
35 61 67 43 67 123 16 10 1 7 11 26 NA 3 NA
20 51 54 33 59 111 16 16 1 9 8 20 NA NA 1
20 55 65 37 52 123 29 12 NA 3 5 21 NA 2 NA
14 42 65 32 61 142 11 12 NA 10 8 24 NA NA NA
20 66 95 48 72 116 7 15 NA 5 13 20 1 2 NA
21 52 57 39 61 115 9 11 1 5 7 13 NA 3 NA
26 75 72 32 25 124 12 10 NA 2 11 16 NA 1 NA
20 31 64 22 46 123 12 13 1 7 5 29 NA NA NA
21 51 79 22 53 130 18 4 NA 4 9 25 NA 1 NA
32 65 64 36 61 140 9 10 1 9 10 18 NA NA 2
13 44 64 31 57 142 27 11 NA 7 4 25 NA 1 NA
21 68 63 42 35 167 20 25 NA 7 9 23 NA NA 1
18 40 66 29 68 137 15 6 NA 5 8 26 NA 1 NA
11 45 59 21 49 148 13 12 2 4 9 24 NA 5 NA
19 56 68 31 48 130 12 11 NA 9 13 29 NA 1 1
24 45 60 42 57 140 22 16 NA 3 9 23 NA 3 NA
13 45 52 26 63 115 15 15 2 8 7 23 NA NA NA
24 62 66 44 55 126 10 11 NA 8 3 28 NA NA 1
14 51 83 30 56 109 20 9 NA 6 9 20 NA NA 1
13 50 72 22 58 118 21 16 NA 5 12 24 NA NA NA
27 51 68 34 66 174 19 4 NA 7 11 19 NA NA NA
21 58 54 38 58 141 17 7 1 8 9 15 NA 1 NA
16 43 68 31 61 134 11 11 NA 1 6 15 NA NA NA
14 48 58 30 54 144 17 18 NA 5 14 19 NA NA NA
17 58 73 32 61 142 14 19 NA 5 15 22 NA 1 NA
38 54 62 51 62 137 8 18 NA 4 6 24 NA NA NA
12 24 47 23 57 123 12 6 1 1 13 16 NA 2 NA
39 75 105 24 85 140 11 18 NA 5 11 28 NA 1 1
14 34 50 12 44 123 7 7 1 1 6 11 NA NA NA
21 26 76 31 69 135 14 11 1 2 8 18 NA NA 1
