"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tup" "tutd" "tutu" "tdkd" "tdku" "tukd" "tuku"
28 45 60 25 46 102 15 6 9 19 25 NA NA NA NA
23 48 73 18 49 99 19 12 6 9 20 1 1 NA NA
8 50 78 29 79 130 11 13 5 1 23 NA NA 1 NA
11 45 64 21 52 124 20 20 7 8 28 1 NA 1 NA
14 63 69 26 56 139 27 14 5 11 26 NA NA NA NA
14 68 58 28 41 142 15 6 2 12 12 NA NA NA NA
29 83 80 33 75 108 19 8 7 15 16 NA NA 1 NA
24 49 71 45 69 128 14 10 3 3 24 5 NA 1 NA
32 79 67 37 53 157 7 12 5 14 26 NA NA NA NA
27 65 51 39 67 104 12 10 7 12 34 1 1 2 NA
23 26 57 46 56 147 15 19 3 9 24 NA NA 1 NA
38 67 70 17 27 158 28 6 3 12 20 NA NA NA 1
22 37 58 35 67 112 16 15 7 6 29 NA NA 2 NA
41 95 87 19 49 141 21 9 4 11 28 NA NA NA NA
31 63 57 33 64 120 11 8 1 12 22 1 NA 1 NA
26 76 79 39 64 134 21 19 3 15 21 1 NA NA NA
32 69 81 37 71 158 17 3 3 11 29 1 NA NA NA
16 54 54 32 49 113 18 4 11 9 16 NA NA NA NA
10 44 60 32 47 119 18 18 7 14 19 NA NA NA NA
23 56 56 38 62 144 12 19 11 9 32 NA NA NA NA
10 31 56 30 33 129 10 16 9 9 27 3 NA NA NA
14 48 64 37 55 128 14 8 5 11 20 3 NA NA NA
6 37 66 26 42 114 4 9 7 4 26 NA NA NA NA
36 64 45 30 57 133 14 16 8 6 21 NA NA NA NA
18 67 91 25 43 114 20 12 8 5 11 NA NA NA NA
21 50 74 34 64 135 16 13 4 10 15 1 NA 1 NA
20 55 61 24 61 125 8 4 3 6 15 2 NA 2 NA
42 36 99 46 94 150 14 20 2 6 27 NA NA NA NA
23 72 69 30 54 94 14 6 3 13 17 1 1 1 NA
10 49 64 13 57 122 19 7 6 8 15 1 1 1 1
25 59 90 27 48 164 9 9 5 9 22 NA NA NA NA
19 50 68 44 72 155 14 12 7 14 25 NA NA NA NA
9 54 62 33 62 107 13 11 1 8 19 NA NA 2 NA
35 91 92 31 66 138 12 16 8 8 27 1 NA NA NA
28 65 63 36 63 123 11 7 3 11 26 NA NA 1 NA
30 49 77 25 59 117 11 17 2 8 12 2 NA NA NA
24 69 76 26 60 115 14 7 3 8 20 1 NA 1 NA
28 59 63 35 52 148 17 8 4 12 13 1 NA NA NA
27 65 71 31 58 114 14 7 6 10 24 NA NA NA NA
18 20 75 30 68 135 13 13 6 14 27 4 NA NA NA
20 57 63 31 59 131 11 11 3 5 21 NA NA NA NA
17 59 58 29 66 123 15 13 3 13 17 NA NA NA 1
27 24 71 32 58 141 14 13 4 10 19 3 NA NA NA
27 82 65 19 44 147 21 11 10 11 24 NA NA NA NA
19 22 60 40 69 128 7 10 4 9 20 2 NA NA NA
19 69 77 37 32 111 12 13 5 5 18 1 NA NA NA
17 56 58 35 69 115 21 12 3 14 37 NA NA 1 NA
25 68 84 41 76 124 12 9 3 9 21 1 NA NA NA
27 62 72 38 56 140 14 11 6 4 31 1 1 NA NA
40 61 84 24 43 118 6 5 5 7 19 NA NA NA NA
23 60 47 30 62 135 16 3 1 10 17 4 NA 1 NA
16 51 65 33 51 93 17 13 6 4 16 NA NA NA NA
16 59 66 20 57 108 20 8 5 4 24 NA NA 2 1
21 49 55 35 22 124 14 10 9 7 16 NA NA NA NA
28 65 76 22 104 151 18 10 8 11 19 1 NA 1 NA
18 43 72 9 30 114 19 18 6 5 22 NA NA NA NA
18 53 41 38 56 141 18 17 3 15 26 1 2 NA NA
16 68 80 38 69 122 12 5 7 4 21 2 NA NA NA
17 40 47 27 52 118 15 2 7 10 32 NA NA 1 NA
17 58 45 35 27 143 16 5 9 12 12 2 NA 1 NA
18 50 63 50 55 123 13 7 4 11 17 NA NA NA NA
28 74 86 45 69 166 19 20 7 8 18 NA NA 1 NA
24 50 58 27 79 111 9 25 6 7 15 NA NA NA NA
16 42 63 26 52 145 19 7 3 11 23 NA NA NA NA
21 67 65 23 44 133 8 7 9 11 16 NA 1 1 NA
16 59 78 39 70 126 23 12 3 7 25 1 NA NA NA
25 57 64 27 59 121 8 33 11 10 22 NA NA NA NA
17 69 77 41 79 152 18 16 3 13 20 NA NA NA NA
9 41 46 20 56 140 15 18 2 9 26 NA NA NA NA
29 74 81 40 65 136 16 7 3 5 25 NA NA NA NA
23 53 68 31 54 131 13 16 3 8 19 NA NA NA NA
34 80 66 40 53 125 16 7 7 5 24 NA NA 1 NA
38 48 79 21 58 102 8 9 2 9 18 NA NA NA NA
26 65 73 26 47 110 16 21 5 8 26 1 NA 2 NA
30 70 58 35 49 134 23 14 7 8 24 1 NA NA NA
31 64 58 25 70 140 14 14 6 11 17 1 1 NA NA
18 50 66 31 47 134 12 11 3 12 27 NA NA NA NA
25 41 81 37 69 123 14 10 3 8 11 NA NA NA NA
42 67 63 41 51 126 11 11 3 13 21 NA NA NA NA
30 62 91 37 65 128 13 14 5 9 27 1 NA NA NA
43 79 82 27 53 151 9 13 9 9 26 NA NA 3 NA
33 73 73 38 66 140 12 13 4 13 12 NA NA NA NA
25 27 64 40 76 151 13 19 5 12 22 1 NA NA NA
20 58 72 27 61 132 21 7 9 7 15 NA 1 NA NA
27 50 66 30 74 140 23 12 6 7 24 NA NA NA NA
20 46 63 29 59 134 14 11 8 12 19 NA NA NA NA
22 68 69 46 32 135 15 11 5 7 17 NA 1 2 NA
29 56 62 43 59 116 5 8 1 4 20 NA NA NA NA
26 65 54 31 54 124 11 8 8 6 32 NA NA NA NA
17 40 73 28 86 136 10 12 1 13 21 NA NA NA NA
32 68 87 37 51 125 9 10 4 5 34 NA NA 1 NA
22 45 66 34 63 115 22 11 7 7 27 1 NA 1 NA
24 52 53 31 46 134 15 12 3 4 26 NA NA NA NA
33 83 75 42 50 144 13 9 3 7 18 NA NA NA NA
21 67 85 25 57 106 11 14 5 11 21 NA NA NA NA
29 63 54 30 61 121 14 5 2 9 17 1 1 1 NA
16 53 58 33 55 136 21 14 1 4 28 NA 1 NA NA
24 41 50 28 57 128 10 13 10 8 27 NA NA 2 1
19 32 48 29 59 155 15 11 4 4 23 2 NA NA NA
17 57 54 25 46 126 12 8 3 10 37 NA NA 1 NA
