"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tukd" "tup" "tutd" "tutu" "tdtd" "tuku"
18 34 149 87 200 777 6 1 54 20 56 6 277 NA NA
22 41 173 83 196 803 6 6 56 18 61 7 282 70 NA
17 49 163 69 206 752 18 9 73 17 64 14 284 7 NA
18 42 146 83 190 715 1 5 72 13 54 12 263 5 NA
29 48 178 95 232 720 4 7 87 24 59 14 336 16 1
6 40 149 70 188 706 7 6 64 13 50 9 271 21 NA
8 39 176 79 201 777 6 5 71 14 58 10 286 4 NA
16 37 137 83 190 708 2 1 56 17 43 8 301 1 NA
7 31 191 78 237 802 6 1 52 5 55 8 314 7 NA
36 39 166 84 205 746 11 7 61 17 55 6 308 3 NA
13 33 135 91 206 692 1 4 64 2 36 5 314 7 1
6 33 157 80 219 783 15 1 68 21 65 8 327 6 NA
9 37 157 80 204 766 3 3 80 6 57 10 329 3 NA
14 19 183 36 230 756 7 3 66 6 51 8 343 8 1
4 51 168 65 179 792 2 3 77 15 56 9 311 3 NA
10 44 190 107 189 777 23 4 63 15 54 8 283 16 NA
6 40 190 90 243 832 NA 2 102 20 55 8 344 10 NA
34 52 146 100 200 776 16 6 62 7 63 15 324 9 NA
30 48 141 97 203 788 3 3 58 16 57 8 309 4 NA
18 32 146 73 185 706 3 2 72 19 64 9 299 6 NA
12 28 154 37 190 769 12 NA 47 8 51 13 273 8 NA
10 32 139 80 199 792 1 4 83 14 74 12 289 5 NA
21 35 176 68 202 732 3 3 96 11 38 12 259 7 NA
10 29 143 83 175 765 1 3 75 14 59 12 283 43 NA
7 33 143 93 232 811 9 4 78 15 59 8 273 2 NA
12 35 150 87 216 813 13 5 76 7 40 9 293 6 NA
7 24 187 76 203 761 1 NA 59 19 55 9 325 2 2
2 40 148 77 208 795 1 2 68 11 57 8 283 15 NA
13 40 162 76 204 770 4 2 71 9 46 2 284 14 NA
5 17 165 102 220 731 7 2 66 3 53 1 318 19 NA
62 54 157 76 170 734 2 5 59 23 71 3 300 4 NA
12 34 164 96 188 779 13 5 70 16 71 13 322 6 NA
16 42 165 96 205 743 6 3 61 16 53 16 302 17 NA
40 49 163 93 225 771 8 2 71 19 53 8 326 22 1
17 30 143 111 212 680 15 1 53 9 51 11 310 22 NA
23 40 169 103 223 808 7 5 64 16 59 9 264 3 NA
23 40 152 106 180 815 2 5 59 11 56 10 312 6 NA
13 30 159 83 203 782 9 4 57 12 59 7 281 14 1
11 11 148 101 211 764 1 3 71 7 64 9 299 9 NA
20 46 164 99 216 701 5 3 43 21 45 11 310 6 NA
21 53 152 105 196 778 11 1 86 13 57 3 293 12 NA
32 31 186 83 221 756 4 4 69 14 47 8 276 2 NA
7 42 193 75 216 689 7 5 50 12 46 3 298 19 NA
29 47 169 91 173 716 16 7 69 17 63 8 287 11 NA
3 18 146 88 226 722 3 4 71 15 47 12 338 29 NA
15 44 165 69 181 748 30 1 68 15 25 4 272 37 1
19 41 144 80 194 695 1 1 70 21 52 21 313 10 NA
9 49 185 91 192 734 1 3 70 22 49 12 309 23 1
11 45 191 65 201 739 4 5 68 10 62 12 305 31 NA
45 67 176 100 180 781 24 1 71 11 62 7 342 4 NA
24 39 171 106 203 726 10 4 71 9 56 17 318 20 NA
15 43 156 92 206 731 9 2 77 16 63 10 317 23 NA
9 40 164 81 110 790 NA 3 84 14 58 13 290 2 NA
24 76 176 87 227 795 8 5 60 24 63 7 295 2 1
11 16 161 74 204 744 3 3 63 10 46 8 303 8 NA
23 49 170 74 185 693 4 5 38 8 68 15 306 1 NA
5 38 182 63 198 776 5 NA 71 22 58 9 319 13 NA
42 65 163 87 228 750 11 1 52 8 54 7 296 6 NA
7 45 181 101 226 742 4 4 76 16 60 6 297 10 NA
10 32 169 72 187 795 3 1 72 19 49 4 297 18 NA
15 42 137 71 183 757 8 2 74 17 48 14 280 16 1
13 43 159 104 176 721 4 2 62 14 56 13 268 29 NA
3 41 157 92 189 782 9 10 86 16 71 10 275 2 1
14 34 162 108 191 731 3 7 64 14 47 3 300 7 NA
18 44 155 86 217 817 3 8 61 18 43 7 267 9 NA
14 37 146 77 206 762 5 1 66 13 57 7 270 48 NA
22 37 175 78 202 722 5 5 109 24 54 9 325 15 2
11 48 183 91 187 752 2 7 58 3 56 3 280 10 NA
10 42 143 81 191 775 5 2 71 18 46 18 303 8 NA
9 49 150 105 173 762 1 1 82 14 70 15 312 8 1
7 34 180 68 198 744 9 1 64 13 52 12 285 5 NA
29 53 193 87 211 750 5 3 63 10 51 12 304 8 NA
15 47 182 90 206 713 24 4 69 10 62 13 316 4 2
21 62 174 81 184 761 10 5 66 2 35 3 277 25 NA
9 49 154 104 180 751 13 6 85 7 61 7 289 13 NA
34 50 172 101 189 733 7 4 69 16 59 9 285 16 NA
4 54 174 73 185 739 2 2 57 8 53 8 301 7 NA
12 37 151 79 198 739 11 5 92 16 45 7 335 61 NA
9 29 169 77 184 689 18 10 73 21 46 8 331 1 NA
27 29 156 90 230 771 1 1 74 15 62 15 322 20 1
14 29 146 100 93 730 7 6 73 12 57 4 309 3 NA
9 40 149 99 213 754 4 10 67 16 42 15 342 3 NA
16 36 163 85 182 710 2 4 90 12 64 11 302 15 NA
7 27 177 94 215 752 13 3 62 28 73 11 286 3 NA
7 41 158 76 215 763 9 1 73 7 66 14 314 5 NA
25 30 171 101 192 763 3 6 71 15 52 11 300 9 NA
11 42 150 81 170 825 8 7 74 2 49 9 324 19 NA
NA 29 151 63 196 789 7 3 87 14 58 13 271 9 NA
1 34 175 69 188 748 1 NA 62 8 54 10 314 4 NA
9 42 144 83 186 760 3 3 64 13 68 9 310 3 NA
19 41 152 76 210 758 1 2 62 13 66 9 306 7 NA
8 36 180 80 182 703 5 3 75 22 52 11 322 15 NA
6 18 168 98 208 771 5 3 63 5 66 10 285 8 NA
35 46 177 87 190 751 3 4 81 20 67 5 301 7 NA
9 47 190 92 220 785 9 1 84 17 47 12 269 18 NA
4 24 129 78 198 779 12 5 80 15 52 5 296 5 NA
9 48 175 85 232 759 4 4 67 10 24 10 341 12 NA
24 49 174 80 208 735 6 1 74 13 46 16 311 2 NA
3 50 138 103 228 729 8 1 64 11 52 5 307 10 NA
NA 42 182 90 203 689 10 1 65 15 50 7 301 12 NA
