"kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "kdkd" "tuku"
34 178 72 208 807 5 4 64 9 22 45 12 265 NA NA
33 153 89 178 724 7 3 81 42 18 47 11 310 20 NA
46 148 73 193 778 19 5 75 7 17 55 4 314 10 1
26 137 75 217 748 1 NA 67 17 9 49 10 300 14 NA
30 174 62 178 718 3 1 67 14 23 45 12 299 6 NA
54 172 90 182 733 12 10 78 6 13 57 6 284 11 NA
33 178 79 185 774 2 3 66 14 12 42 9 310 6 NA
13 170 72 216 783 3 4 62 13 14 59 9 307 9 NA
37 157 88 210 744 3 4 70 16 13 43 11 284 4 1
60 155 44 207 717 9 8 64 16 13 63 6 314 47 NA
40 170 80 191 730 6 5 88 47 15 47 5 307 14 NA
26 148 76 196 776 13 4 58 10 17 57 7 313 7 NA
54 126 89 189 739 2 5 86 NA 12 51 5 260 28 NA
37 165 116 227 729 1 NA 84 10 11 58 8 292 31 NA
43 144 38 193 796 2 1 65 2 16 61 5 272 3 NA
38 178 100 240 782 9 3 62 19 19 61 9 322 4 NA
33 154 88 210 845 19 4 75 5 12 57 5 294 1 1
59 174 109 200 814 4 2 68 5 14 66 7 286 40 NA
31 168 75 199 762 10 5 82 15 15 56 10 277 8 1
39 196 65 202 687 7 2 71 24 23 49 6 283 7 NA
42 153 77 176 797 2 3 66 8 15 38 12 279 10 NA
32 175 76 229 786 3 3 74 24 9 55 9 329 22 NA
30 183 77 207 717 3 3 59 5 13 62 6 296 1 NA
44 194 82 106 831 3 2 53 36 20 51 2 295 11 NA
41 164 64 215 727 10 3 50 13 17 48 7 254 6 NA
43 169 94 238 731 3 4 72 2 6 47 10 286 12 NA
18 166 89 198 817 2 3 75 8 13 38 13 282 3 NA
47 167 113 211 766 5 7 55 39 15 48 11 309 9 NA
37 159 67 176 746 9 4 55 52 11 57 12 324 15 NA
42 144 102 204 749 5 9 82 43 11 47 12 303 11 NA
57 151 58 196 782 5 3 76 11 2 46 3 285 27 NA
47 173 66 215 769 2 6 62 2 19 54 7 313 9 NA
34 145 106 168 756 6 1 66 2 9 48 7 306 28 NA
39 145 46 224 711 4 3 72 12 19 69 7 318 11 NA
28 156 80 214 763 5 1 58 5 13 60 4 351 20 NA
32 142 85 171 796 6 1 68 8 21 61 7 296 12 NA
36 157 96 192 772 3 4 76 10 14 48 17 298 19 NA
46 169 112 228 843 13 1 57 22 5 49 10 308 10 NA
53 159 102 204 736 4 1 50 5 22 56 14 343 36 NA
31 135 80 187 765 7 4 84 13 25 71 6 340 6 1
53 170 67 181 780 1 3 65 4 14 57 4 289 3 NA
39 180 59 268 807 6 6 72 9 18 60 12 334 7 NA
49 171 89 224 799 10 1 75 16 14 28 17 315 40 NA
35 151 82 220 716 5 3 67 4 21 29 9 318 23 NA
43 158 86 185 695 5 2 76 8 15 55 13 287 8 NA
57 168 68 194 743 1 5 73 13 7 69 13 318 13 1
40 132 74 176 695 10 1 70 1 29 56 11 301 3 NA
37 141 84 199 767 9 1 53 38 17 43 13 299 19 NA
35 157 105 227 787 5 5 80 29 8 37 8 323 13 NA
35 167 89 219 750 11 1 62 5 6 52 13 317 6 NA
47 149 92 184 798 8 1 67 70 25 47 11 263 20 NA
49 188 106 224 739 12 4 63 11 11 57 10 330 20 NA
34 158 86 223 683 22 14 75 23 14 56 6 264 5 NA
54 177 91 209 694 11 1 33 4 10 45 9 333 14 NA
27 149 108 200 754 1 5 74 17 9 56 5 292 4 NA
41 173 81 203 746 3 1 67 3 19 47 4 293 5 NA
53 149 99 186 745 8 3 91 18 13 48 14 308 24 NA
45 168 106 227 727 3 3 53 28 13 41 11 315 21 NA
34 165 82 213 785 3 6 58 28 16 49 10 331 23 NA
53 156 97 195 796 8 5 70 21 7 53 10 270 32 NA
45 192 87 208 770 4 1 52 8 22 60 9 356 13 1
42 160 88 184 838 3 9 67 16 8 53 3 308 32 NA
28 182 62 195 786 10 1 59 4 13 55 12 307 14 NA
29 165 76 176 753 2 3 75 10 9 50 6 290 11 NA
36 156 78 186 735 6 3 52 19 9 18 13 303 3 NA
38 162 87 234 775 5 5 80 2 18 35 16 321 12 NA
29 171 73 215 719 NA 1 90 29 15 42 9 314 11 NA
35 174 83 228 757 5 3 85 2 10 52 8 295 21 NA
45 166 86 246 718 11 7 62 8 14 61 9 282 4 NA
62 147 92 199 801 5 1 57 41 7 64 5 307 31 NA
35 163 78 198 736 1 3 67 22 15 48 5 330 8 NA
34 146 90 209 765 9 2 81 1 11 51 9 277 11 NA
32 154 88 182 760 4 1 88 13 21 69 7 310 8 NA
42 162 72 192 734 10 8 77 13 20 57 9 312 15 NA
37 131 85 211 754 3 3 72 4 15 59 5 308 13 NA
31 158 96 193 796 1 5 72 21 17 53 13 302 41 NA
47 172 93 190 779 4 1 71 5 17 68 12 314 27 1
42 161 89 187 772 19 11 60 10 18 51 11 291 6 NA
36 163 68 221 719 5 6 53 16 14 67 7 281 7 NA
47 179 114 211 724 6 4 78 5 19 62 15 269 22 1
44 198 84 195 771 14 1 65 2 18 53 8 327 14 NA
39 161 96 183 709 17 1 74 5 9 46 13 332 10 NA
37 155 58 174 726 6 1 60 NA 22 51 8 302 2 NA
38 154 83 171 726 4 NA 78 7 17 58 12 305 6 NA
47 170 89 179 701 1 3 52 12 13 41 9 300 5 NA
32 157 79 205 734 6 3 68 8 10 31 10 302 12 NA
38 148 67 193 729 8 4 76 24 7 54 10 276 18 NA
49 151 85 208 758 3 1 50 2 16 56 3 310 16 NA
46 169 88 201 737 11 3 86 17 8 58 9 313 1 NA
36 173 74 184 728 2 4 70 5 12 46 14 304 13 1
51 182 89 224 766 11 1 69 3 21 73 11 297 9 NA
10 152 73 164 708 4 5 62 1 15 51 9 329 17 NA
46 182 78 212 757 8 1 73 35 15 65 6 347 17 NA
26 154 74 193 749 5 6 60 18 13 64 15 283 13 NA
33 146 72 185 714 1 4 56 5 9 47 10 317 18 NA
18 146 79 212 746 10 2 69 7 17 45 14 275 15 NA
70 166 84 202 712 8 7 66 8 11 61 10 297 26 NA
31 158 95 213 756 7 2 65 12 11 55 12 338 31 NA
22 162 74 186 727 15 1 41 10 10 44 12 296 15 NA
59 168 70 170 683 1 12 74 11 7 61 5 294 16 NA
