"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 136 0 0 1 NA 17 10 15 9 100 8
"2" "kukd" 159 0 0 1 NA 54 13 53 12 100 2.94
"3" "kuku" 677 0 0 1 NA 245 20 246 20 100 2.76
"4" "pkd" 345 0 0 1 NA 116 15 116 14 100 2.97
"5" "pku" 742 0 0 1 NA 300 30 302 27 100 2.47
"6" "pp" 9190 0 0 1 NA 1107 45 1102 49 100 8.3
"7" "tdkd" 27 0.1 NA 0.91 NA 14 10 11 6 100 1.93
"8" "tdku" 23 0 0 1 NA 6 3 6 3 100 3.83
"9" "tdp" 538 0 0 1 NA 114 15 115 13 100 4.72
"10" "tdtd" 100 0 0 1 NA 22 16 20 14 100 4.55
"11" "tukd" 23 0.44 NA 0.63 NA 21 6 22 6 100 1.1
"12" "tuku" 0 1 NA 0.79 NA 0 1 0 0 100 NA
"13" "tup" 107 0.02 NA 0.98 NA 82 13 81 10 100 1.3
"14" "tutd" 22 0.14 NA 0.91 NA 16 5 16 5 100 1.38
"15" "tutu" 915 0 0 1 NA 464 28 466 30 100 1.97
