"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
45 87 308 199 373 1438 19 13 164 44 32 1 123 23 574
19 77 313 140 403 1382 24 6 148 12 31 NA 104 23 652
26 81 341 130 453 1497 16 6 170 9 27 NA 88 24 594
15 30 324 151 372 1363 13 12 179 13 21 2 110 26 615
31 70 312 157 385 1396 8 6 145 35 33 NA 110 20 615
19 56 338 181 405 1441 59 13 191 33 30 NA 117 24 658
24 74 314 161 406 1489 13 8 132 9 35 NA 106 20 580
29 72 321 173 441 1518 27 6 183 25 34 NA 116 30 649
3 63 310 156 406 1502 7 5 160 25 30 NA 103 17 622
32 81 351 172 431 1376 7 4 129 15 30 NA 113 17 560
18 71 330 155 416 1446 22 5 147 26 34 NA 119 21 612
20 70 343 156 367 1510 15 10 159 19 27 NA 111 23 624
19 73 302 130 434 1460 28 4 177 30 33 NA 109 16 708
28 71 314 182 434 1502 11 9 172 8 29 NA 95 19 621
42 98 344 185 442 1453 27 4 168 16 39 NA 54 16 570
27 82 280 165 406 1466 12 2 159 56 35 NA 119 25 641
34 70 307 160 383 1480 25 4 140 29 21 NA 113 26 562
18 86 322 147 359 1510 23 9 156 18 31 NA 109 15 605
21 65 332 164 400 1529 9 8 193 39 28 NA 108 27 687
27 68 352 161 423 1430 5 11 167 8 28 NA 127 20 579
16 62 333 137 452 1508 13 11 149 10 26 2 58 26 608
1 74 354 161 397 1461 18 6 147 10 41 NA 93 24 599
17 66 339 136 378 1527 17 10 156 35 23 NA 92 24 571
20 76 316 168 392 1389 17 5 168 17 24 NA 92 21 549
17 75 323 146 361 1419 7 7 157 21 21 NA 107 31 621
28 87 321 142 387 1447 3 2 188 12 26 NA 103 20 643
17 63 299 141 419 1349 5 8 159 32 32 2 90 35 614
6 84 357 151 448 1493 15 7 147 35 13 NA 93 24 598
36 79 332 159 440 1481 11 7 166 19 34 NA 122 9 640
18 73 284 151 423 1353 18 12 153 64 13 1 103 21 598
21 70 299 154 402 1509 15 7 138 17 35 NA 106 13 523
37 110 343 165 445 1471 58 3 154 28 28 NA 49 24 610
31 56 315 168 436 1490 9 10 159 67 32 NA 110 23 582
54 68 289 181 403 1462 12 4 134 36 38 NA 117 28 634
18 72 294 154 414 1519 17 9 138 22 19 NA 115 21 628
32 75 361 153 402 1446 14 7 182 39 23 2 102 18 543
20 64 299 200 420 1442 7 15 135 20 27 NA 136 8 699
34 69 344 171 488 1447 5 4 174 32 35 NA 108 32 585
33 94 315 203 423 1488 7 11 163 24 39 NA 98 9 615
17 67 332 138 419 1379 15 9 144 56 34 NA 91 11 579
42 105 330 164 415 1396 16 8 167 19 26 NA 119 27 566
10 46 299 157 404 1465 44 9 148 62 24 NA 96 21 608
24 54 281 158 383 1560 25 10 163 15 27 1 104 11 639
11 66 321 174 389 1494 18 7 136 43 18 NA 91 26 624
20 69 324 154 381 1374 32 8 178 15 28 NA 58 31 579
13 84 322 177 409 1364 2 9 163 25 21 NA 99 12 573
12 73 316 168 372 1425 11 12 127 77 33 NA 123 19 665
14 64 301 169 432 1495 6 15 147 19 24 NA 111 26 671
26 69 271 179 186 1387 31 10 140 41 27 NA 113 19 591
5 78 346 165 438 1549 20 7 154 25 19 1 101 12 629
22 74 328 177 422 1457 16 9 161 39 27 NA 115 31 598
17 83 278 127 349 1352 23 3 139 40 22 NA 102 18 566
23 52 261 152 399 1502 22 12 178 37 22 1 91 23 593
9 72 314 184 411 1410 22 13 144 54 38 NA 121 26 617
37 67 317 143 427 1432 17 8 140 22 24 NA 98 30 601
18 62 320 145 402 1374 18 3 149 53 30 NA 101 16 557
16 56 308 147 389 1360 29 2 148 15 19 NA 93 15 600
6 86 330 129 403 1518 15 7 175 26 22 1 120 18 595
21 81 326 150 375 1368 14 1 155 31 23 NA 109 27 588
16 63 304 161 416 1478 10 7 164 69 26 NA 91 22 620
22 94 311 166 396 1469 12 7 169 42 17 NA 144 17 547
24 65 285 128 345 1441 9 8 160 46 34 NA 113 23 615
32 81 343 146 371 1440 9 7 172 70 35 NA 109 14 593
7 89 319 187 394 1435 12 7 158 30 43 NA 103 29 621
24 75 293 166 395 1455 3 8 188 37 33 NA 123 20 613
9 63 320 161 374 1419 22 15 156 50 31 NA 94 19 637
29 70 327 158 341 1449 17 11 148 13 31 NA 94 17 552
30 70 286 152 363 1460 26 4 147 20 32 1 109 18 636
27 55 317 150 428 1482 20 12 165 18 35 NA 128 18 563
24 73 290 136 450 1427 11 5 148 25 29 NA 115 23 532
19 77 317 141 402 1375 27 6 159 25 18 NA 105 20 635
29 77 323 155 400 1395 13 11 144 19 25 NA 90 23 525
11 65 251 146 390 1444 14 10 163 21 30 1 128 29 624
12 89 318 189 380 1438 7 8 136 51 25 NA 87 20 618
43 79 314 162 402 1388 15 10 173 9 34 1 104 30 607
46 74 284 179 193 1450 4 9 155 22 12 2 92 18 642
25 85 353 165 391 1499 19 7 158 63 19 NA 110 31 590
27 92 336 160 379 1424 18 7 160 29 23 NA 97 17 598
26 66 340 171 433 1475 16 5 155 53 21 NA 104 26 629
32 69 297 139 374 1425 34 5 183 10 30 1 121 10 645
21 75 290 167 416 1393 13 8 151 18 26 NA 97 22 584
28 64 332 136 387 1526 16 11 169 33 32 NA 115 14 627
33 85 307 159 411 1415 21 8 160 44 25 NA 117 23 586
46 79 369 156 399 1483 16 12 152 18 40 1 104 31 547
45 91 322 196 414 1409 8 9 160 46 32 NA 117 18 629
19 90 321 150 389 1437 13 9 155 42 25 NA 109 19 553
12 57 296 128 395 1390 15 20 143 33 19 NA 120 21 651
12 77 324 163 354 1429 13 5 158 36 32 NA 89 21 605
38 109 297 166 404 1434 14 9 201 31 26 NA 107 17 606
9 69 312 141 384 1310 11 8 165 11 26 1 110 13 624
22 29 283 73 367 1338 9 3 159 5 35 1 107 31 638
37 88 356 136 423 1384 14 15 157 37 23 NA 100 19 663
25 64 348 155 424 1448 46 8 172 34 29 NA 106 22 609
8 76 325 156 399 1485 12 5 122 18 32 NA 96 16 582
5 81 309 160 437 1449 21 12 140 6 25 NA 91 27 578
24 97 351 155 387 1467 15 9 139 20 15 1 116 23 589
34 74 304 172 421 1459 15 8 137 15 27 NA 111 24 638
4 78 284 165 368 1436 13 12 156 26 35 NA 104 19 543
26 97 294 140 355 1454 10 5 156 19 20 1 127 27 651
8 78 335 126 423 1351 40 12 177 8 34 NA 99 26 583
