"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
33 138 569 315 700 2563 36 7 283 46 44 186 52 1230 NA
55 132 587 211 810 2474 29 15 320 94 41 227 41 1198 1
29 106 636 273 808 2681 19 16 299 89 54 214 32 1169 2
20 123 649 290 801 2695 18 16 332 40 54 233 39 1261 NA
52 145 608 281 781 2661 37 25 337 106 45 253 59 1325 NA
32 121 675 233 744 2577 42 11 319 95 61 244 51 1195 NA
33 116 685 252 744 2593 29 9 277 52 55 244 60 1263 1
49 118 611 286 738 2574 31 23 323 53 54 204 55 1195 1
22 89 619 288 850 2617 25 16 278 31 41 228 62 1183 NA
27 117 610 264 730 2669 47 17 311 66 53 195 45 1124 2
29 145 624 296 755 2573 37 9 331 67 53 216 37 1205 1
80 159 620 279 771 2478 9 18 351 105 54 190 57 1211 NA
38 108 550 259 761 2605 33 29 335 65 68 197 28 1289 NA
31 91 551 253 766 2579 16 25 286 25 39 178 49 1269 NA
11 89 567 251 749 2622 12 19 304 38 61 185 59 1180 NA
47 110 634 309 868 2671 47 10 286 87 69 269 53 1238 NA
37 142 582 254 700 2639 17 20 282 88 48 221 47 1212 NA
61 127 610 266 841 2529 33 16 352 118 46 189 44 1234 5
40 132 581 287 815 2667 50 14 266 93 65 218 44 1257 1
22 115 614 262 735 2533 44 14 285 78 52 230 57 1281 1
34 132 640 252 719 2601 36 14 331 70 66 104 49 1180 NA
25 106 650 246 802 2565 27 14 363 61 61 198 65 1207 NA
34 105 578 268 715 2598 38 18 292 82 55 198 43 1181 1
22 97 657 237 773 2587 35 16 287 39 50 219 67 1207 NA
20 93 697 251 734 2669 36 15 267 67 44 207 46 1218 NA
44 150 677 287 713 2551 22 16 322 63 42 192 50 1299 1
33 126 577 283 808 2604 28 21 289 131 56 184 47 1202 1
28 144 646 252 755 2507 29 17 287 67 50 200 45 1083 NA
