"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 185 0 0 1 NA 39 16 36 15 2000 4.74
"2" "kukd" 287 0 0 1 NA 140 21 140 19 2000 2.05
"3" "kuku" 1305 0 0 1 NA 671 41 670 40 2000 1.94
"4" "pkd" 691 0 0 1 NA 303 27 303 24 2000 2.28
"5" "pku" 1416 0 0 1 NA 831 62 833 50 2000 1.7
"6" "pp" 13875 0 0 1 NA 2907 77 2905 77 2000 4.77
"7" "tdkd" 64 0.0575 NA 0.9465 NA 38 14 36 13 2000 1.68
"8" "tdku" 43 0.00149999999999995 0.0224999999999992 0.9995 NA 20 7 20 6 2000 2.15
"9" "tdp" 818 0 0 1 NA 353 26 353 25 2000 2.32
"10" "tdtd" 164 0.0265 NA 0.976 NA 86 32 80 31 2000 1.91
"11" "tukd" 58 0.5345 NA 0.5015 NA 59 10 58 10 2000 0.98
"12" "tuku" 1 0.4495 NA 0.8475 NA 1 1 0 0 2000 1
"13" "tup" 291 0.00849999999999995 NA 0.9925 NA 234 27 235 22 2000 1.24
"14" "tutd" 55 0.5645 NA 0.472 NA 56 11 56 10 2000 0.98
"15" "tutu" 2209 0 0 1 NA 1394 62 1395 61 2000 1.58
