"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
6 25 75 38 78 388 34 8 7 33 4 130 NA NA NA
4 21 62 35 90 395 52 1 7 33 9 149 19 5 NA
10 22 68 43 65 348 43 1 5 23 3 161 2 NA NA
15 22 82 59 87 362 51 NA 10 15 2 168 2 3 NA
1 13 88 54 87 388 33 11 9 37 1 148 13 1 NA
26 10 75 32 95 358 34 3 6 16 2 152 NA 2 NA
12 28 90 28 108 355 32 NA 10 25 3 155 NA 2 NA
10 18 101 50 118 347 28 1 7 32 1 161 4 2 NA
14 17 72 41 111 369 33 NA 5 23 2 173 NA 1 NA
1 16 76 39 80 377 28 NA 12 30 1 128 5 NA NA
NA 9 67 19 118 359 34 3 7 26 7 152 NA 1 NA
24 33 92 53 101 380 36 3 9 22 11 155 NA 3 NA
12 16 72 29 82 336 50 3 2 27 2 146 NA 1 NA
4 23 95 51 100 382 32 6 7 35 4 185 1 1 NA
10 23 84 33 99 383 35 NA 5 34 1 155 6 2 NA
4 18 71 41 84 359 25 NA 13 29 4 156 4 3 NA
1 18 79 41 86 324 25 19 7 19 1 172 8 3 NA
23 37 74 48 108 404 23 1 8 24 5 170 11 NA NA
5 18 85 60 101 395 28 3 7 21 4 150 NA 1 NA
2 14 69 52 100 378 20 2 2 22 6 130 3 NA NA
5 21 71 47 94 355 36 1 9 24 4 163 1 NA 1
27 34 84 55 97 368 33 4 7 19 3 151 NA 1 NA
16 19 81 41 89 364 21 NA 7 24 1 136 3 2 NA
10 18 100 46 98 394 27 4 2 18 3 145 1 1 NA
10 14 76 35 91 351 33 24 10 21 1 134 2 5 NA
24 34 92 49 98 395 35 20 8 21 5 165 6 1 NA
1 27 74 40 101 365 33 12 7 20 3 133 5 2 NA
6 23 84 42 89 393 30 1 8 19 5 149 NA 1 NA
1 22 90 38 115 358 32 5 8 19 1 132 2 5 NA
13 29 74 45 106 379 37 13 11 28 5 150 2 1 1
8 25 76 34 77 355 26 3 9 29 3 159 NA NA NA
4 18 73 47 79 374 37 11 10 11 6 149 NA 2 NA
1 17 97 54 119 411 30 8 7 33 3 165 8 2 NA
23 25 76 36 91 352 35 1 15 30 3 160 5 1 1
2 15 76 41 80 355 30 2 12 33 5 145 14 4 NA
37 38 95 58 77 355 29 1 5 28 8 143 9 1 NA
12 19 68 36 83 362 37 17 8 26 4 124 4 NA NA
NA 10 81 28 106 352 42 NA 5 32 5 193 1 NA NA
13 30 76 42 73 379 20 4 3 11 6 147 NA 1 NA
2 15 54 32 106 339 28 4 8 23 3 130 6 3 NA
17 27 93 54 109 394 32 2 3 13 6 153 NA 2 NA
9 23 75 47 94 362 27 3 5 22 3 149 3 3 NA
3 12 80 51 103 382 34 NA 7 29 6 170 7 NA NA
6 26 94 55 92 367 22 6 7 26 NA 142 3 3 NA
4 13 81 39 96 378 33 6 5 29 5 160 NA 2 NA
4 20 114 53 112 378 31 NA 15 23 5 138 3 2 NA
6 19 72 56 114 420 30 12 7 29 5 150 NA 1 NA
12 22 90 35 100 361 23 2 10 24 6 188 NA 1 NA
19 16 86 39 103 412 35 NA 6 20 8 135 1 1 NA
22 35 78 43 103 365 42 NA 8 36 2 155 1 3 NA
1 25 83 45 99 393 38 2 10 19 1 145 NA 1 NA
4 14 90 51 120 401 28 NA 4 26 2 155 15 5 NA
10 7 84 38 97 329 25 12 6 30 7 155 2 1 NA
18 27 76 41 97 367 24 3 9 32 3 134 1 1 NA
2 25 51 42 95 369 26 2 7 9 2 145 21 6 NA
4 8 71 41 95 340 33 7 3 26 1 146 NA 3 NA
15 31 72 47 85 363 48 10 11 36 2 154 1 2 NA
13 22 89 51 94 408 27 5 11 28 1 134 3 1 NA
12 23 78 46 105 339 37 2 6 16 5 150 1 5 NA
16 18 74 49 90 383 32 63 9 30 8 156 NA 1 NA
5 7 85 38 105 396 35 4 5 13 3 166 5 3 NA
8 23 89 48 106 407 22 3 2 29 NA 178 1 NA NA
14 25 115 44 117 352 34 NA 13 23 1 141 3 1 NA
10 28 91 40 99 372 27 1 11 14 5 168 7 3 NA
10 27 69 44 110 405 46 23 8 32 3 157 1 1 NA
21 31 80 43 92 389 33 4 13 23 5 130 3 1 NA
NA 12 77 25 91 410 45 6 9 15 5 141 8 3 NA
12 14 85 36 100 367 20 1 13 23 NA 144 2 3 NA
3 17 77 47 96 367 40 2 10 30 1 149 11 3 NA
6 23 74 40 102 329 47 7 8 23 1 151 6 1 1
5 31 91 42 89 415 27 NA 9 29 1 150 4 1 NA
13 25 91 44 55 348 34 30 6 29 7 159 2 3 NA
9 24 77 49 83 328 35 8 13 26 7 160 1 1 NA
9 21 91 43 83 378 27 5 12 12 2 138 NA 2 NA
5 16 80 44 95 361 29 5 4 19 4 148 NA 1 NA
13 32 71 31 111 323 34 24 6 16 5 148 2 3 NA
2 19 82 40 83 335 36 1 13 35 3 171 1 1 NA
13 27 83 49 104 339 28 1 9 25 6 156 4 1 NA
3 16 70 44 104 397 46 18 11 26 3 128 3 3 NA
2 14 90 37 97 376 23 2 4 30 7 176 NA 1 NA
3 22 73 47 95 388 30 7 6 20 6 135 NA NA NA
11 24 65 69 51 390 38 9 6 15 3 141 2 2 NA
6 13 68 46 103 323 41 NA 9 32 5 163 2 1 NA
1 22 75 43 92 393 27 3 14 29 8 146 4 1 NA
23 28 92 53 121 387 38 3 5 25 NA 148 4 1 NA
5 23 101 32 84 360 26 NA 7 25 1 144 1 1 NA
18 26 69 38 110 360 28 7 6 27 4 143 1 1 NA
8 15 62 41 104 384 27 3 3 16 5 154 NA 1 NA
17 18 75 49 104 379 28 9 7 23 2 174 NA 1 NA
1 17 91 46 97 371 34 2 6 25 5 153 3 6 NA
7 28 78 33 120 379 26 7 14 29 4 129 18 1 NA
1 12 67 46 103 426 26 4 7 21 2 168 NA 2 NA
NA 25 89 51 96 380 35 2 7 16 5 120 18 5 NA
8 9 82 43 110 395 24 NA 14 26 NA 148 7 1 NA
11 19 64 37 85 355 20 2 11 28 2 190 2 NA NA
3 26 69 57 94 356 35 NA 3 24 6 159 6 NA NA
16 17 97 57 51 365 42 NA 5 29 4 133 5 NA NA
14 18 89 57 123 388 29 NA 7 22 2 114 2 6 NA
8 23 59 36 59 386 25 2 3 17 4 154 4 1 1
4 20 68 42 96 369 32 4 5 28 3 138 1 3 2
