"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutu" "tdku" "tutd" "tuku"
18 31 76 23 100 363 1 23 4 10 26 168 NA NA NA
2 22 96 34 119 368 NA 33 1 7 20 144 1 2 NA
1 8 87 36 96 365 2 35 NA 9 32 151 2 3 NA
NA 21 81 45 86 342 1 35 2 7 24 144 1 1 NA
2 19 91 47 106 380 NA 35 NA 9 18 140 1 3 NA
1 23 84 28 87 366 4 32 3 7 27 129 4 4 NA
9 16 69 39 93 412 5 32 3 8 30 145 1 6 NA
18 24 85 37 93 392 1 28 1 9 25 144 1 1 NA
2 20 86 39 84 390 3 28 17 8 28 144 3 6 NA
12 24 79 56 111 411 1 29 4 6 25 151 1 1 NA
1 21 67 30 105 327 2 34 15 8 29 127 1 3 NA
8 23 79 52 105 335 1 37 13 10 12 160 1 3 NA
27 23 80 51 94 394 5 37 20 13 36 154 2 2 NA
1 13 77 40 93 373 4 30 2 4 22 154 1 NA 1
29 29 86 50 91 354 1 36 NA 12 13 147 NA 3 NA
12 23 65 48 117 342 NA 33 3 3 17 146 2 2 NA
2 21 105 37 95 384 3 30 NA 12 29 164 NA 5 NA
8 18 89 47 95 367 5 31 7 11 20 137 1 8 NA
16 25 89 35 111 392 1 37 23 11 35 145 NA 8 2
17 21 74 56 97 362 2 28 3 6 23 157 3 3 1
13 32 104 50 106 424 4 34 23 3 13 154 2 1 NA
5 17 91 49 88 338 1 26 NA 5 23 154 1 5 NA
20 32 85 48 96 359 5 27 NA 8 23 148 1 8 NA
7 6 77 48 101 414 1 35 6 7 25 163 1 3 NA
13 17 101 41 119 409 10 32 11 12 34 114 2 NA NA
5 13 73 44 95 369 3 52 NA 5 26 143 3 5 NA
NA 19 74 49 91 386 5 36 NA 4 15 164 1 1 NA
9 24 88 35 94 399 NA 34 NA 9 20 128 1 8 NA
7 31 77 37 84 347 NA 19 1 2 22 135 2 4 NA
7 19 84 37 145 346 5 20 6 5 34 140 1 2 NA
20 19 90 47 100 364 1 37 9 4 29 128 1 1 NA
13 16 65 46 92 370 2 37 12 5 8 168 1 5 NA
21 30 90 49 118 349 2 33 5 7 11 142 2 3 NA
8 18 91 43 116 378 2 24 24 8 28 142 1 4 NA
11 33 98 44 105 390 1 34 4 8 45 152 NA 1 NA
1 26 95 34 111 363 8 31 3 8 10 145 1 4 NA
5 29 94 43 110 353 3 30 2 9 20 158 NA 6 NA
9 8 78 41 95 371 3 29 16 4 14 148 2 4 NA
1 21 71 35 99 388 3 22 NA 11 13 175 1 6 NA
26 23 100 53 116 338 6 28 13 7 27 143 1 8 NA
18 38 93 43 103 361 3 32 6 9 30 142 3 7 1
NA 20 83 46 120 398 4 33 15 8 25 146 1 6 NA
23 31 94 51 110 366 8 28 NA 8 31 159 NA 4 NA
5 16 70 46 86 375 4 29 3 11 24 148 1 5 NA
31 30 89 51 106 359 NA 28 5 7 33 171 1 2 NA
14 31 93 46 111 366 1 26 6 2 26 135 1 4 NA
4 22 106 43 103 364 1 29 13 7 13 144 1 4 NA
10 23 86 43 86 347 4 44 11 10 29 157 NA 10 NA
18 23 72 48 99 388 4 43 7 7 22 166 1 5 NA
19 28 88 48 96 375 1 35 7 6 26 137 1 1 NA
27 42 101 45 87 357 4 24 NA 9 25 165 2 7 NA
13 12 66 29 87 379 2 37 2 13 33 146 2 7 NA
16 24 84 51 96 394 1 36 1 8 12 156 NA 3 NA
13 18 97 33 108 353 1 19 12 11 29 163 1 6 NA
4 17 72 36 92 384 6 24 18 10 23 139 NA 7 NA
20 26 84 52 92 356 4 23 26 2 26 134 2 8 NA
2 21 114 54 101 367 9 37 16 3 18 129 4 2 1
10 14 83 36 109 372 3 32 13 5 22 169 3 6 NA
8 22 76 47 97 345 3 33 NA 6 33 143 1 2 2
13 16 74 43 96 320 5 14 2 1 19 152 2 6 NA
9 15 74 47 100 349 6 23 5 3 12 135 2 2 NA
13 29 88 47 103 396 1 35 3 7 19 152 1 4 NA
2 18 70 34 95 431 6 40 NA 9 30 168 2 6 NA
7 10 86 58 100 407 2 29 6 13 26 127 1 1 NA
13 10 77 60 135 400 5 28 2 7 33 137 1 3 NA
4 34 82 48 113 404 1 40 7 4 29 135 3 2 NA
6 21 95 35 110 356 3 26 NA 7 33 148 1 1 NA
20 34 85 35 99 410 1 30 18 2 29 147 NA 7 NA
8 25 84 49 93 377 6 21 9 8 27 166 3 1 NA
15 27 101 53 113 379 4 28 7 10 28 161 3 5 NA
14 21 69 45 50 364 3 14 11 8 30 150 3 3 NA
4 23 78 46 82 417 5 40 1 1 21 143 1 5 NA
NA 9 76 17 99 368 1 32 NA 13 34 160 3 2 NA
3 12 89 47 116 379 4 40 NA 3 32 157 4 1 NA
17 30 93 47 125 381 3 41 1 10 32 161 5 6 NA
4 18 70 34 111 353 3 29 NA 11 27 158 NA 3 NA
7 23 89 41 121 379 9 35 4 5 25 156 NA 3 NA
8 12 76 32 100 380 4 35 NA 9 19 152 1 2 NA
2 19 97 48 101 371 7 41 24 11 24 152 NA 1 NA
17 37 87 39 117 420 3 26 5 13 25 173 2 1 NA
16 21 77 29 82 362 1 24 1 9 31 130 NA 2 NA
15 26 98 39 108 373 1 15 5 7 32 162 NA 6 NA
NA 14 71 39 85 330 NA 29 2 4 26 151 2 4 NA
10 22 74 45 119 347 1 25 1 9 21 138 2 7 NA
2 18 74 62 91 363 NA 35 1 9 24 165 2 5 NA
3 18 70 37 98 349 21 36 3 12 25 168 4 11 NA
2 19 69 41 110 398 NA 26 1 5 26 147 2 3 NA
5 13 73 46 79 399 1 40 13 9 28 134 NA 6 NA
9 13 84 43 92 343 1 26 2 5 23 156 2 4 NA
6 18 75 47 135 352 NA 24 8 6 22 154 2 2 NA
6 36 88 43 101 329 NA 40 28 1 27 167 7 8 NA
NA 13 69 33 81 358 2 30 NA 2 29 159 3 5 NA
13 19 79 48 103 317 2 27 NA 11 37 124 2 5 NA
9 17 60 41 80 395 3 26 6 9 27 148 1 1 NA
9 21 91 60 104 369 1 17 3 2 22 150 2 6 NA
3 8 77 54 115 381 1 45 NA 10 26 141 NA 2 NA
21 21 90 50 52 408 1 25 4 7 31 134 1 3 NA
NA 23 62 55 82 383 NA 23 3 3 21 137 1 NA 1
4 29 80 47 82 333 2 43 3 5 31 148 1 4 NA
5 25 88 45 58 402 12 51 4 4 29 124 2 2 NA
