"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutu" "tutd" "tuku"
10 27 78 47 54 362 11 6 43 1 6 28 149 NA NA
NA 25 97 46 96 354 5 1 38 6 9 22 147 5 NA
1 15 84 41 96 399 2 3 36 NA 13 25 178 4 NA
1 14 94 37 105 412 1 2 28 NA 3 33 158 4 NA
16 21 77 43 99 389 2 1 33 2 11 28 121 7 1
4 26 82 43 80 370 3 1 16 5 5 17 125 1 NA
2 12 106 42 103 361 3 NA 26 1 7 21 161 10 NA
30 29 69 48 131 414 3 2 35 2 5 34 140 2 NA
25 23 82 39 98 357 10 1 31 2 6 22 170 8 1
11 21 67 50 99 352 1 3 35 3 11 27 155 3 NA
3 22 100 41 106 355 5 3 38 14 10 23 161 3 NA
6 15 76 34 105 364 NA 1 48 4 13 17 163 2 NA
5 27 87 41 97 361 1 1 30 NA 2 23 151 6 NA
17 27 89 37 103 351 NA 1 22 4 14 17 143 6 NA
17 20 71 46 110 364 NA 1 27 1 13 29 141 2 NA
9 27 88 42 73 400 6 1 37 2 10 34 160 1 NA
10 24 86 49 76 374 1 NA 30 2 10 39 149 1 1
6 23 63 37 109 403 2 NA 37 4 7 24 155 5 NA
7 31 93 38 81 367 16 NA 28 NA 4 28 152 2 NA
3 30 93 43 107 393 4 2 35 3 6 23 148 2 NA
16 9 78 46 116 358 1 2 26 6 9 33 155 1 NA
35 40 93 47 105 380 3 1 29 4 7 29 177 4 NA
13 23 87 38 95 330 5 4 37 5 11 21 127 1 NA
13 18 89 42 112 356 NA 1 34 6 10 18 170 1 NA
10 21 103 52 90 358 5 2 34 10 10 29 164 3 NA
40 19 84 40 90 405 1 3 46 1 10 21 140 3 NA
4 23 75 53 97 364 2 3 35 3 12 29 142 2 NA
6 32 71 54 97 344 6 1 31 5 11 24 148 1 NA
1 16 77 49 92 387 NA 1 33 1 9 20 157 7 NA
17 23 81 45 98 382 NA NA 31 1 8 32 170 5 NA
8 36 108 46 118 376 10 2 34 2 6 34 152 5 1
2 15 89 41 88 386 15 3 37 1 2 30 142 4 NA
16 21 92 44 117 405 6 1 28 10 10 28 150 5 NA
15 26 79 62 108 377 2 NA 30 NA 4 20 153 7 NA
23 21 85 66 93 344 1 1 26 1 9 26 161 5 NA
18 21 62 41 89 383 1 1 36 7 13 20 148 7 NA
2 13 74 37 103 396 1 NA 33 1 6 24 144 6 NA
4 22 81 17 50 361 1 2 38 NA 4 17 155 3 NA
34 31 71 60 95 344 1 2 33 3 1 21 147 3 NA
2 19 109 38 121 370 1 NA 34 11 7 27 157 8 NA
2 19 61 56 75 338 NA NA 31 NA 11 28 145 6 NA
16 34 78 51 90 374 11 1 31 2 6 31 165 4 NA
13 26 91 46 96 401 1 3 33 7 7 26 154 6 NA
14 31 82 53 96 353 5 1 29 NA 11 19 162 1 NA
4 20 93 33 88 361 9 3 30 NA 6 23 141 3 NA
9 24 78 52 91 347 3 1 20 NA 4 25 138 1 NA
16 19 84 59 54 379 1 NA 40 2 9 33 155 4 NA
3 24 82 47 90 410 4 1 31 12 7 14 154 8 NA
15 21 87 43 92 376 3 3 27 2 5 26 133 3 NA
17 21 86 49 97 416 NA NA 38 NA 9 33 140 8 NA
25 17 94 44 100 327 6 NA 39 NA 1 17 133 7 NA
7 28 71 30 101 364 3 NA 34 1 7 19 141 2 NA
13 25 86 57 97 362 NA 1 25 3 7 16 171 4 NA
19 22 85 45 124 398 3 1 30 2 10 23 137 5 NA
13 44 89 50 111 428 4 3 33 2 5 28 135 8 NA
6 13 72 50 97 372 1 NA 35 4 6 23 145 1 NA
9 25 90 44 83 326 NA 3 22 17 4 14 149 3 NA
3 26 92 41 98 366 7 1 25 29 12 27 160 1 NA
19 25 78 55 107 410 2 1 26 12 5 18 169 1 NA
2 10 83 44 96 352 2 1 46 4 5 24 161 6 NA
NA 5 77 29 99 323 5 1 20 NA 4 20 167 4 NA
9 15 51 42 91 391 NA NA 32 9 6 27 145 7 NA
10 26 70 37 83 402 1 1 22 8 15 17 162 3 NA
NA 27 81 39 86 377 1 1 17 NA 7 28 171 9 NA
NA 11 108 41 115 344 3 3 27 NA 14 25 144 2 NA
