"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdku" "tuku"
5 17 82 48 109 365 1 32 5 8 15 3 142 NA NA
6 17 87 32 95 383 1 24 4 8 44 3 140 2 NA
2 25 99 38 117 380 1 26 5 3 14 7 144 NA NA
4 15 71 36 99 346 3 24 5 6 29 6 140 1 1
3 27 77 38 81 368 16 41 3 9 31 7 173 4 NA
5 24 79 40 82 374 4 24 1 9 17 3 195 2 NA
27 25 84 57 105 410 NA 30 24 8 27 5 132 1 NA
12 12 71 44 85 367 1 40 9 7 28 6 170 1 1
21 21 77 56 95 414 6 38 7 6 25 1 126 1 NA
13 33 97 38 56 364 NA 41 NA 8 9 4 136 1 NA
3 26 87 58 93 374 6 43 4 6 24 5 144 5 NA
18 22 83 41 83 354 NA 50 12 7 29 3 147 3 NA
2 11 71 29 83 361 8 25 3 6 25 NA 164 1 NA
NA 29 71 16 84 365 5 32 3 9 16 2 144 1 NA
6 16 66 39 85 362 NA 26 5 9 27 6 136 3 NA
23 48 108 35 85 375 3 31 NA 4 26 1 162 NA NA
4 12 72 41 113 414 3 31 1 15 16 3 142 1 NA
21 33 101 61 92 374 NA 40 30 14 28 2 146 3 NA
22 31 76 43 99 365 3 32 5 10 25 6 149 2 NA
7 15 79 52 86 348 6 42 74 5 19 7 145 1 NA
21 15 83 20 102 381 1 43 1 11 25 1 151 2 NA
18 25 103 56 139 341 6 26 20 15 28 3 128 3 NA
10 23 100 45 86 402 5 30 13 8 16 4 151 1 NA
3 18 71 28 80 357 NA 32 NA 8 21 3 141 1 NA
6 16 73 33 112 376 5 32 NA 6 17 3 165 1 NA
12 21 95 17 79 378 3 34 13 9 30 5 148 6 NA
NA 15 75 37 122 377 NA 38 3 6 23 3 155 NA NA
NA 14 57 23 80 363 1 32 5 7 21 4 149 NA NA
15 27 59 52 103 373 3 38 3 6 42 1 130 2 NA
14 20 69 53 94 354 1 33 NA 4 23 2 161 1 NA
5 20 84 44 47 348 5 33 2 9 25 7 143 2 NA
24 10 73 18 105 370 5 31 3 8 36 9 139 3 NA
11 25 69 42 98 371 15 28 4 5 17 3 162 4 2
33 30 94 38 116 362 6 26 1 13 29 1 168 1 1
12 28 84 37 98 376 3 28 NA 3 17 3 151 1 NA
NA 33 84 34 86 401 4 37 8 8 22 1 162 1 NA
23 24 66 57 104 372 NA 28 NA 11 18 4 152 2 NA
26 28 70 57 115 345 32 59 2 8 22 8 156 NA NA
5 15 90 43 97 361 NA 21 15 7 14 9 153 NA NA
18 26 76 44 87 389 7 40 4 3 10 6 142 2 NA
20 35 97 42 105 371 2 29 1 6 27 1 131 1 NA
2 23 77 35 101 396 1 34 1 17 22 3 148 1 NA
17 16 83 40 93 349 NA 18 16 5 30 NA 159 1 NA
2 13 93 42 101 363 2 27 3 7 16 5 126 NA NA
9 26 101 35 108 394 2 29 1 5 22 2 134 NA NA
19 25 80 45 102 362 5 39 9 16 30 3 155 1 NA
6 7 83 42 79 376 2 25 11 10 22 4 154 3 NA
7 19 82 41 101 368 7 29 1 6 22 2 137 NA NA
8 26 79 55 106 390 8 25 2 4 23 2 135 NA NA
1 16 82 42 105 386 7 24 NA 9 22 1 147 2 NA
13 27 88 37 82 368 3 21 17 17 29 4 131 NA NA
1 12 77 52 93 351 1 21 3 2 42 5 147 4 NA
20 28 88 49 43 347 NA 32 NA 5 34 4 134 1 1
3 16 69 47 96 374 3 30 2 9 15 2 152 2 NA
24 23 83 53 105 385 NA 35 2 8 18 1 146 2 NA
16 25 91 38 101 350 NA 44 3 9 25 4 160 NA NA
9 23 109 36 126 380 3 23 9 14 30 5 139 1 1
20 25 82 47 101 362 5 35 NA 7 30 1 149 NA NA
7 30 86 49 116 355 11 38 1 11 25 4 136 4 NA
10 13 86 36 74 351 3 32 NA 12 29 3 155 2 NA
11 23 81 46 120 354 3 22 4 10 25 4 170 1 NA
6 23 72 37 97 367 NA 24 12 7 34 5 143 1 NA
5 8 77 35 77 366 2 37 62 8 28 2 151 2 NA
11 31 86 46 59 390 3 25 16 9 24 5 136 1 NA
NA 17 84 47 89 360 NA 21 3 11 21 4 159 4 NA
16 28 71 49 89 367 1 25 9 7 30 7 148 3 NA
21 19 95 42 101 365 3 33 4 9 30 1 132 2 NA
3 21 88 44 87 360 7 32 1 8 23 1 160 3 NA
6 18 74 32 97 390 5 48 3 2 31 2 175 3 1
48 40 74 49 118 347 NA 35 8 12 22 1 165 1 NA
2 17 65 31 99 383 8 27 2 3 29 5 148 2 NA
8 20 75 47 96 357 1 36 4 7 21 6 143 1 NA
NA 21 75 41 90 395 3 25 3 2 22 1 149 1 NA
12 21 75 35 109 401 4 32 4 6 29 7 146 3 NA
1 22 81 41 85 348 2 36 NA 8 41 1 140 3 NA
7 29 92 33 106 379 3 27 19 6 29 5 148 NA NA
5 12 82 44 94 374 7 26 7 6 18 1 135 NA NA
3 13 75 47 101 412 5 31 9 9 20 12 138 NA NA
6 28 65 32 43 404 1 30 28 9 29 2 149 2 NA
12 15 77 54 80 349 5 53 1 8 22 1 163 4 NA
28 27 107 44 87 359 2 29 NA 7 25 7 138 1 1
NA 8 69 45 93 376 NA 26 5 9 27 3 145 NA NA
13 19 67 57 85 365 29 33 1 7 30 NA 139 1 NA
18 20 80 45 102 376 1 38 3 8 23 3 159 2 1
14 23 77 49 84 357 1 23 8 7 35 3 162 NA NA
7 26 84 58 101 371 1 30 NA 6 29 1 125 1 NA
14 14 60 52 85 370 NA 27 3 4 26 5 140 1 NA
