"kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "kdkd" "tdku" "tuku"
19 77 40 103 343 4 22 3 8 27 3 157 NA NA NA
20 77 34 93 373 1 42 8 3 19 8 153 10 1 NA
23 83 36 92 318 9 35 1 2 19 2 143 NA 1 NA
21 77 37 70 316 NA 36 1 5 19 8 185 2 3 NA
22 79 49 69 337 1 24 19 12 29 1 167 3 1 NA
15 83 56 103 388 6 40 NA 5 25 2 138 20 1 NA
30 86 51 91 386 1 27 14 5 19 4 175 16 1 NA
18 100 37 104 352 1 42 28 12 17 4 160 7 1 NA
6 72 47 88 377 12 36 2 NA 31 3 149 9 4 NA
26 60 31 82 367 NA 26 NA 5 20 7 151 9 1 NA
19 70 33 88 388 13 29 1 7 28 1 141 1 5 NA
22 73 49 109 396 4 39 2 5 26 7 161 8 1 NA
13 82 42 118 353 3 47 1 5 28 4 145 NA 1 NA
14 69 38 100 319 1 39 NA 1 26 9 148 8 1 NA
34 80 37 93 377 5 11 1 7 19 4 162 21 1 NA
27 74 65 57 396 12 32 11 8 20 1 164 20 3 NA
36 70 25 109 367 1 35 1 3 16 5 127 9 NA NA
14 98 44 87 377 1 28 3 3 23 1 122 6 2 NA
30 93 55 97 383 1 29 3 4 27 5 163 20 2 NA
17 67 47 104 366 1 27 NA 8 29 3 148 1 2 NA
19 80 50 96 384 2 42 2 8 27 1 167 10 NA NA
23 79 38 86 362 NA 35 3 9 28 2 161 24 1 NA
22 93 47 97 380 5 32 1 7 20 9 168 7 2 NA
31 97 42 76 383 NA 28 6 11 17 1 157 12 NA NA
13 69 30 94 380 5 23 2 7 29 2 135 2 1 NA
14 74 42 91 325 4 29 43 2 37 4 158 19 2 NA
10 83 54 105 367 1 29 6 6 8 2 155 17 3 NA
32 76 43 95 370 NA 24 5 13 17 2 140 6 1 NA
9 81 36 99 367 9 35 17 7 21 4 128 10 NA 1
12 72 38 84 358 1 24 NA 9 31 4 137 2 2 NA
23 98 32 60 344 5 37 1 11 16 11 156 9 1 NA
22 103 29 129 371 5 32 10 11 25 1 149 11 2 NA
16 71 53 80 389 2 40 5 13 28 1 166 NA 1 NA
33 78 54 45 348 2 34 NA 5 19 13 151 18 1 1
11 73 36 96 372 6 30 65 7 22 9 151 5 1 NA
18 79 49 86 331 10 11 NA 3 29 2 141 15 1 NA
26 94 49 101 372 1 35 NA 5 23 NA 154 8 1 NA
24 69 41 96 391 3 34 NA 9 28 5 159 10 1 NA
9 86 49 126 361 1 25 12 5 21 3 163 22 1 NA
26 90 39 89 342 3 32 NA 1 30 3 157 9 2 NA
23 80 49 93 386 1 36 6 13 27 1 137 10 1 NA
16 71 41 87 353 4 38 NA 11 14 7 157 2 7 NA
24 92 44 118 375 5 26 1 2 32 5 159 3 NA NA
24 86 42 91 376 13 35 11 1 10 10 134 19 4 NA
18 72 25 75 357 11 36 1 6 13 5 165 5 1 NA
28 91 52 132 391 6 39 17 6 21 5 182 3 1 NA
18 90 53 98 367 NA 29 1 4 30 1 167 17 3 NA
20 91 27 91 373 7 30 2 5 16 4 132 3 3 NA
23 78 34 86 374 4 12 1 8 15 6 147 21 NA 1
30 103 37 100 399 6 38 49 8 20 3 160 11 NA NA
16 86 42 81 414 NA 32 1 4 18 1 149 13 NA NA
20 76 56 84 422 4 30 2 9 27 1 151 16 1 NA
20 85 35 84 385 1 25 1 1 36 6 128 5 4 NA
18 89 33 96 373 2 31 5 11 13 4 136 4 2 NA
13 98 38 96 410 7 34 18 5 16 2 149 4 3 NA
33 88 55 98 388 1 26 NA 12 24 5 152 23 1 NA
25 62 61 89 367 8 31 4 16 27 3 144 22 2 NA
18 77 47 117 351 NA 25 1 8 12 4 161 1 NA NA
18 72 30 88 363 1 32 4 10 11 1 147 13 1 NA
23 75 49 96 374 1 34 10 9 24 NA 132 29 2 NA
30 89 45 47 342 3 36 3 5 17 1 134 24 2 NA
36 99 65 101 376 1 31 13 8 29 3 151 37 2 NA
20 89 50 89 404 2 23 1 7 30 4 142 11 2 NA
19 90 47 62 397 2 21 11 8 26 1 152 16 NA NA
19 81 54 54 366 3 25 6 9 12 4 164 17 3 1
17 72 37 71 370 NA 44 2 7 30 2 140 8 2 NA
28 90 55 115 381 3 31 1 5 19 2 118 21 NA NA
25 86 48 83 339 4 36 2 4 16 6 161 1 3 NA
15 60 43 54 371 NA 37 1 4 29 2 122 NA 1 NA
14 73 24 86 354 NA 32 14 5 23 1 141 NA 3 NA
34 75 48 100 345 NA 46 3 5 15 5 138 17 1 NA
19 81 54 98 393 7 36 NA 3 26 9 161 11 1 NA
33 83 44 104 364 1 31 6 11 14 1 145 20 NA NA
21 59 37 85 384 1 23 11 8 20 1 147 12 1 NA
22 88 41 74 354 1 25 10 7 25 6 128 5 1 NA
18 74 31 94 395 3 46 6 3 20 2 144 6 1 1
36 85 49 113 334 6 27 3 11 33 7 133 20 1 NA
11 87 52 92 351 10 45 10 6 32 3 159 9 3 NA
28 91 45 122 343 2 24 2 11 30 3 142 12 1 NA
19 80 25 92 388 13 31 5 8 18 3 130 7 2 NA
24 48 44 98 401 NA 21 14 7 19 3 172 1 NA NA
20 82 38 98 400 6 35 8 8 24 6 175 8 4 NA
16 81 43 94 374 NA 21 3 5 30 4 141 7 1 NA
23 93 42 112 381 6 36 2 3 22 7 133 NA NA NA
21 71 39 115 370 NA 34 NA 6 24 10 171 3 1 NA
16 84 34 111 355 3 34 12 7 24 3 154 6 1 NA
28 73 44 113 381 6 40 13 9 22 3 134 8 NA NA
10 82 64 122 399 5 35 22 5 17 1 140 4 3 NA
17 91 42 109 340 5 23 NA 7 30 4 157 3 1 NA
23 91 38 87 370 3 30 4 12 26 1 144 3 2 NA
24 96 45 124 402 NA 41 10 5 34 4 155 3 1 NA
24 76 45 108 332 NA 36 6 10 20 6 134 9 NA NA
17 74 42 87 381 1 30 3 16 30 1 157 4 NA NA
9 81 37 99 383 1 28 NA 9 20 NA 139 NA 3 NA
12 66 27 94 390 NA 39 8 5 20 4 179 NA 1 NA
24 85 54 96 362 NA 39 13 11 32 5 139 18 1 NA
9 76 38 83 327 1 29 3 10 23 7 152 4 1 NA
28 78 44 87 390 NA 35 7 11 29 1 141 1 4 NA
12 70 38 79 324 NA 35 13 5 23 5 148 5 1 NA
25 75 49 140 365 1 40 9 5 14 2 174 19 1 NA
