"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 58 223 1191 452 1468 4953 92 42 667 99 88 1 472 108 3036
"2" 27 232 1151 463 1466 5044 49 23 647 135 114 3 488 100 2855
"3" 60 244 1123 508 1389 4965 63 27 628 201 102 NA 449 103 2776
"4" 63 235 1213 484 1557 4946 56 31 706 167 106 2 499 103 2694
"5" 78 254 1119 427 1553 5203 83 38 685 160 103 1 460 97 2817
"6" 41 254 1098 483 1356 5113 49 42 622 157 90 1 492 113 2741
"7" 37 181 1067 434 1461 5141 63 41 674 131 108 1 496 116 2755
"8" 102 274 1131 438 1493 5038 52 40 622 90 102 NA 445 113 2587
"9" 59 253 1168 489 1531 4961 38 41 674 198 90 1 467 149 2820
"10" 66 195 1147 487 1456 4982 53 31 601 187 119 2 456 95 2804
"11" 37 220 1176 443 1492 4940 60 29 646 127 87 1 463 116 2845
"12" 46 222 1194 479 1397 4985 79 34 645 136 111 1 480 98 2998
"13" 70 198 1107 486 1432 5072 106 49 694 209 110 NA 434 121 2857
"14" 55 231 1181 526 1409 4959 54 51 684 110 109 1 452 137 2737
"15" 28 98 1060 460 1489 5301 79 50 678 185 93 10 397 121 2786
"16" 43 212 1140 467 1399 5075 52 44 674 171 115 NA 471 129 2737
"17" 103 262 1230 480 1384 5166 65 41 647 92 102 1 472 126 3004
"18" 64 192 1098 511 1427 5012 73 49 658 215 87 NA 471 108 2890
"19" 50 241 1261 499 1492 5071 26 45 647 172 82 1 488 110 2930
"20" 52 229 1107 524 1471 5172 73 37 675 146 95 3 463 124 2838
"21" 72 222 1150 546 1504 4974 46 41 647 225 102 NA 452 152 2644
"22" 59 250 1259 503 1490 5051 46 62 644 246 105 NA 405 105 2852
"23" 57 247 1136 461 1397 4969 57 29 613 127 90 3 483 99 2845
"24" 60 222 1142 518 1573 5067 55 28 635 156 90 1 556 121 2923
"25" 49 236 1152 431 1476 5084 75 39 687 227 103 NA 439 96 2886
"26" 56 248 1142 515 1445 4877 77 29 606 152 104 1 464 131 2808
"27" 61 258 1185 513 1583 5048 83 44 648 188 94 NA 434 114 2840
"28" 63 226 1227 476 1487 5137 61 55 672 216 117 1 408 106 2978
"29" 70 250 1102 530 1411 5046 44 27 649 127 90 2 419 107 2907
"30" 54 231 1224 513 1468 4820 53 33 734 171 108 NA 435 129 2807
"31" 45 183 1096 470 1403 4932 46 31 647 150 101 2 426 150 2779
"32" 52 201 1213 505 1518 5031 32 27 646 194 103 NA 441 147 2853
"33" 58 216 1127 466 1555 5231 48 27 682 182 91 1 392 123 2807
"34" 70 256 1206 481 1522 5009 83 32 678 185 48 3 449 109 2754
"35" 59 212 1137 536 1431 4909 92 31 698 131 71 4 430 116 2894
"36" 74 213 1080 489 1297 5052 73 29 619 205 84 2 217 95 2899
"37" 41 221 1130 528 1414 4923 54 19 546 127 108 NA 478 102 2847
"38" 63 230 1198 488 1442 4942 64 31 637 193 91 NA 454 141 2927
"39" 52 203 1083 526 1304 5154 71 44 698 190 83 NA 456 64 2737
"40" 80 250 1121 488 1451 4904 42 54 633 148 96 1 448 101 2879
"41" 77 220 1083 506 1438 5174 43 49 672 277 103 1 482 84 2916
"42" 109 235 1114 498 1501 4904 77 39 670 149 87 1 514 112 2916
"43" 88 252 1186 503 1584 5224 43 39 643 236 86 6 455 147 2799
"44" 49 206 1078 489 1300 5152 53 27 675 152 81 1 435 134 2860
"45" 64 237 1195 521 1557 4981 111 58 645 268 91 2 449 113 2822
"46" 69 199 1157 449 1463 5256 70 43 706 174 115 NA 420 120 2707
"47" 49 230 1104 464 1472 5024 66 27 682 114 120 NA 389 105 2813
"48" 52 229 1128 459 1509 4917 58 40 629 236 84 1 513 101 2797
"49" 32 211 1235 505 1500 5007 57 34 676 162 138 NA 418 130 2794
"50" 67 261 1106 462 1334 5053 68 27 671 164 111 1 431 88 2773
"51" 57 214 1131 537 1300 4907 84 48 652 133 111 NA 444 132 3014
"52" 62 197 1112 491 1380 5010 69 48 588 219 126 NA 465 114 2925
"53" 63 208 1227 530 1380 5022 77 22 686 160 102 6 459 100 2627
"54" 85 228 1138 509 1477 5161 84 43 649 205 79 4 492 102 2884
"55" 66 249 1138 434 1534 5042 27 37 619 220 119 1 447 149 3011
"56" 110 236 1170 466 1491 5214 46 26 630 187 116 1 422 123 2731
"57" 35 248 1170 493 1577 4959 46 37 620 287 99 NA 476 147 2728
"58" 44 229 1188 477 1545 5149 68 51 679 238 87 4 447 133 2712
"59" 64 213 1208 447 1284 4813 112 48 644 149 99 3 388 105 2818
"60" 57 257 1121 449 1294 4934 63 36 598 209 105 2 412 134 2932
"61" 54 223 1110 494 1462 5205 64 32 659 190 77 1 481 116 2895
"62" 36 208 1130 460 1362 5090 68 35 662 140 91 1 409 118 2774
"63" 51 224 1080 468 1418 5247 32 39 649 108 83 NA 410 127 2555
"64" 84 232 1069 484 1425 4910 104 38 715 190 107 NA 414 98 2722
"65" 77 204 1194 426 1350 5194 50 39 606 219 79 1 470 113 2885
"66" 41 246 1140 484 1457 4992 40 18 670 150 87 NA 474 120 2967
"67" 43 106 1290 524 1497 5066 30 43 602 175 84 1 475 126 2797
"68" 71 249 1212 521 1538 5158 97 36 675 281 78 2 425 115 2854
"69" 60 237 1251 467 1380 5027 34 33 647 275 128 1 518 77 2557
"70" 64 196 1058 452 1341 5095 47 32 594 196 83 1 446 95 2947
"71" 58 256 1183 536 1420 5010 65 43 678 110 94 2 463 129 2924
"72" 48 222 1244 485 1502 5194 54 42 622 158 100 NA 463 97 2887
"73" 46 234 1170 502 1501 5176 93 37 662 143 98 NA 470 103 2828
"74" 54 223 1134 443 1409 5000 60 42 723 94 93 1 484 122 2842
"75" 58 208 1110 445 1415 5129 111 46 741 168 87 NA 444 124 3001
"76" 74 225 1203 540 1498 5109 72 45 656 199 98 NA 479 105 3068
"77" 50 188 1228 498 1554 5259 35 32 565 160 117 4 442 106 2609
"78" 87 245 1171 483 1528 5081 29 40 660 143 92 NA 437 138 2972
"79" 34 230 1163 439 1566 5129 61 44 726 130 110 4 463 123 2863
"80" 44 235 1093 492 1381 5070 75 14 635 211 89 NA 480 58 2804
"81" 22 224 1180 471 1359 5150 24 39 635 88 97 3 455 85 2770
"82" 26 218 1228 481 1480 5005 51 27 634 133 117 1 482 114 2857
"83" 61 203 1037 456 1461 5119 49 51 691 245 108 2 430 132 2850
"84" 62 252 1290 528 1387 5010 59 41 628 180 114 5 424 113 2661
"85" 70 251 1258 507 1489 5053 40 44 735 191 94 1 430 97 2836
"86" 51 202 1063 472 1402 4840 92 33 687 130 90 1 498 101 2779
"87" 62 235 1085 505 1435 5027 83 43 725 106 98 NA 419 127 2882
"88" 63 238 1219 522 1347 4938 66 40 710 203 98 NA 460 111 2872
"89" 59 204 1164 495 1605 5012 66 54 635 99 100 1 422 137 2979
"90" 91 224 1100 530 1415 5185 42 50 567 91 94 1 458 145 2852
"91" 62 218 1087 485 1319 5149 99 53 654 169 115 NA 470 97 2797
"92" 53 228 1191 488 1491 5175 77 41 643 171 104 1 466 128 2661
"93" 36 213 1142 470 1445 5117 41 41 625 140 92 3 430 88 2954
"94" 51 238 1207 442 1399 4905 83 36 657 221 75 1 483 114 2816
"95" 53 192 1119 459 1398 5072 49 47 642 163 98 NA 463 90 2650
"96" 37 201 1220 449 1433 5112 99 36 713 175 104 1 457 143 2900
"97" 61 216 1145 525 1472 5101 63 30 594 189 131 6 395 130 2881
"98" 52 247 1183 491 1475 5193 54 37 597 95 94 2 444 142 2711
"99" 55 193 1164 482 1377 4934 66 51 677 113 102 1 493 110 2944
"100" 19 220 1094 480 1438 5253 44 61 643 249 98 1 430 90 2749
"101" 51 199 1146 477 1392 5086 47 38 663 136 104 NA 495 135 2722
"102" 41 248 1157 531 1499 4939 46 43 663 209 86 1 459 101 2762
"103" 104 236 1225 492 1304 4960 57 44 727 178 123 1 502 113 2978
"104" 58 210 1170 522 1522 5033 42 44 624 187 96 1 422 117 2853
"105" 55 245 1205 438 1512 5010 56 44 590 153 91 1 418 113 2763
"106" 52 225 1135 520 1468 5231 67 31 630 154 114 NA 466 97 2855
"107" 61 197 1168 496 1516 4958 70 39 653 167 113 1 239 113 2743
"108" 45 221 1159 531 1534 5060 72 39 668 180 98 NA 441 137 2738
"109" 46 229 1247 484 1540 4806 54 30 644 188 91 NA 404 138 2846
"110" 34 211 1226 458 1595 5119 54 41 582 164 101 5 463 139 2731
"111" 106 243 1213 518 1633 5103 34 31 658 181 109 7 503 105 2844
"112" 58 195 1111 479 1500 5274 56 24 719 308 116 6 427 105 2716
"113" 76 242 1145 500 1527 4986 43 34 609 149 92 NA 455 106 2902
"114" 57 218 1182 510 1509 5118 58 24 645 215 90 1 497 112 2760
"115" 100 241 1201 469 1516 5018 42 43 665 208 98 1 462 109 2965
"116" 56 210 1108 470 1398 5177 75 41 640 140 104 6 436 130 2878
"117" 40 233 1129 513 1494 5176 82 40 744 161 104 3 532 100 2874
"118" 34 225 1247 483 1483 4738 54 35 682 111 108 8 449 127 2690
"119" 81 258 1115 480 1340 5296 65 30 649 145 81 3 453 106 2639
"120" 74 230 1166 464 1480 5093 63 40 655 146 97 3 458 119 2640
"121" 43 238 1283 516 1504 5024 61 41 649 240 116 NA 516 133 2796
"122" 57 206 1228 463 1519 4968 59 38 642 254 88 NA 470 133 2741
"123" 51 224 1174 468 1534 5072 58 39 641 284 113 4 398 128 2945
"124" 61 229 1225 459 1600 5151 61 39 641 208 125 4 504 102 2877
"125" 67 228 1079 495 1330 4919 45 37 636 141 109 4 457 116 2844
"126" 63 207 1076 256 1283 4879 65 43 615 94 124 3 421 115 2867
"127" 43 220 1104 534 1570 5192 37 41 678 169 88 NA 418 121 2958
"128" 55 220 1127 481 1443 4914 57 49 700 234 112 NA 424 142 2711
"129" 60 235 1209 464 1365 5015 76 49 336 119 102 1 457 114 2816
"130" 55 220 1217 479 1496 5176 64 47 607 192 108 7 479 111 2861
"131" 75 235 1211 515 1466 4980 37 32 603 203 100 NA 421 115 2942
"132" 55 216 1120 540 1490 5079 41 24 609 168 83 1 484 119 2980
"133" 51 227 1188 454 1447 4951 71 20 735 180 79 NA 438 118 2818
"134" 67 193 1262 466 1536 5172 77 34 656 153 97 NA 489 128 2691
"135" 81 203 1111 493 1540 5226 83 33 668 181 91 NA 514 113 2919
"136" 39 225 1170 494 1425 5095 60 32 667 204 103 NA 430 116 2757
"137" 68 198 1183 472 1509 5196 53 43 585 142 103 1 516 120 2872
"138" 105 263 1113 525 1499 5008 106 38 679 148 111 2 418 48 2744
"139" 53 247 1179 555 1417 4857 55 46 617 187 84 1 450 102 2859
"140" 72 262 1222 528 1447 5086 55 39 597 283 99 NA 467 119 2802
"141" 37 192 1086 547 1453 5107 75 36 672 81 105 NA 423 115 2977
"142" 49 222 1092 540 1507 4983 66 36 642 184 67 4 436 113 2773
"143" 43 243 1179 485 1476 4904 47 26 663 169 106 1 389 116 2837
"144" 44 177 1066 420 1303 5153 68 41 603 223 89 1 439 110 2934
"145" 44 218 1225 408 1614 5049 69 41 672 276 95 3 442 125 3003
"146" 53 213 1119 463 1391 5089 67 45 731 273 109 1 470 168 2777
"147" 55 270 1209 489 1435 5153 46 21 575 182 89 NA 481 99 2842
"148" 37 223 1242 437 1401 4932 51 40 650 177 89 6 434 107 2793
"149" 53 271 1212 470 1524 4984 60 48 697 255 114 2 436 88 2781
"150" 54 162 1116 509 1377 5005 41 41 614 280 97 1 412 108 3003
"151" 54 201 1198 495 1489 4950 65 36 610 196 120 NA 453 117 2844
"152" 29 210 1135 483 1461 5028 75 51 685 204 96 1 446 129 2838
"153" 77 238 1132 524 1460 5029 41 26 602 149 93 1 437 125 2686
"154" 80 249 1160 509 1507 5293 36 36 563 193 100 NA 451 136 2844
