"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.0275 NA 0.984 NA 11 3 11 3 2000 1.73
"2" "kukd" 139 0.001 0.015 0.999 NA 98 15 99 13 2000 1.42
"3" "kuku" 876 0 0 1 NA 588 42 586 42 2000 1.49
"4" "pkd" 299 0.00600000000000001 NA 0.9955 NA 256 18 256 16 2000 1.17
"5" "pku" 1102 0.0175 NA 0.983 NA 965 75 966 64 2000 1.14
"6" "pp" 4469 0 0 1 NA 3502 78 3502 79 2000 1.28
"7" "tdkd" 12 0.7775 NA 0.281 NA 15 4 15 4 2000 0.8
"8" "tdku" 18 0.66 NA 0.393 NA 20 7 20 6 2000 0.9
"9" "tdp" 325 0.8795 NA 0.135 NA 345 20 345 18 2000 0.94
"10" "tdtd" 10 0.9725 NA 0.0535 NA 17 4 16 4 2000 0.59
"11" "tukd" 48 0.752 NA 0.2885 NA 53 9 53 9 2000 0.91
"12" "tuku" 1 0.426 NA 0.83 NA 1 1 0 0 2000 1
"13" "tup" 297 0.7075 NA 0.307 NA 311 35 312 30 2000 0.95
"14" "tutd" 66 0.551 NA 0.4765 NA 67 13 67 12 2000 0.99
"15" "tutu" 2397 0 0 1 NA 1541 76 1542 77 2000 1.56
