"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 4 2000 4
"2" "kukd" 19 0.0415 NA 0.9895 NA 13 4 14 3 2000 1.46
"3" "kuku" 15 0.168 NA 0.9735 NA 13 1 13 1 2000 1.15
"4" "pkd" 153 0 0 1 NA 100 11 101 9 2000 1.53
"5" "pku" 28 0.093 NA 0.958 NA 23 5 25 3 2000 1.22
"6" "pp" 660 0 0 1 NA 440 10 440 10 2000 1.5
"7" "tdkd" 14 0.2275 NA 0.827 NA 11 4 10 4 2000 1.27
"8" "tdku" 10 0.048 NA 0.9795 NA 6 2 6 3 2000 1.67
"9" "tdp" 206 0.000499999999999945 0.00749999999999917 0.9995 NA 166 13 167 10 2000 1.24
"10" "tdtd" 24 0.1435 NA 0.8915 NA 18 5 17 6 2000 1.33
"11" "tukd" 5 0.592 NA 0.643 NA 5 2 5 3 2000 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 2000 NA
"13" "tup" 15 0.4215 NA 0.858 NA 12 3 14 1 2000 1.25
"14" "tutd" 5 0.85 NA 0.2765 NA 7 2 8 3 2000 0.71
"15" "tutu" 9 0.689 NA 1 NA 9 0 9 0 2000 1
