"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 14 101 569 252 1024 3524 8 27 331 9 52 1 303 56 1618
"2" 13 121 612 267 1004 3668 7 22 325 19 56 1 288 59 1483
"3" 10 92 565 239 952 3470 7 26 330 23 51 NA 332 78 1500
"4" 23 108 575 264 968 3695 15 22 344 13 55 6 278 70 1586
"5" 14 104 578 296 1034 3451 22 28 361 17 48 1 333 69 1556
"6" 13 88 576 272 1023 3504 11 32 387 22 46 NA 295 37 1401
"7" 11 125 585 299 920 3565 13 36 315 14 53 2 356 59 1422
"8" 13 120 614 241 927 3472 15 25 342 17 47 0 275 63 1643
"9" 10 97 543 267 946 3482 9 26 369 15 58 NA 258 74 1528
"10" 11 92 579 244 968 3545 13 12 348 14 47 NA 293 76 1539
"11" 13 110 661 264 1075 3619 17 32 340 25 42 NA 330 64 1578
"12" 11 109 658 250 986 3437 11 22 333 16 75 0 302 71 1620
"13" 16 113 588 263 1035 3403 9 27 337 19 46 2 295 60 1604
"14" 10 99 593 249 999 3562 9 17 335 21 48 1 315 55 1542
"15" 14 102 572 277 1059 3623 19 16 354 16 75 NA 311 72 1628
"16" 9 84 563 267 916 3440 17 11 331 23 39 0 330 84 1483
"17" 9 99 605 280 996 3349 13 30 352 8 55 0 333 64 1553
"18" 18 108 608 284 1064 3541 17 9 330 13 55 1 347 99 1592
"19" 11 115 620 251 1036 3669 8 19 354 24 51 5 290 45 1557
"20" 6 115 563 249 1007 3546 11 11 357 17 42 1 274 62 1590
"21" 14 101 632 250 989 3478 16 30 323 17 41 NA 300 75 1514
"22" 6 60 616 291 934 3542 15 23 338 15 50 3 304 60 1528
"23" 12 91 585 265 898 3383 15 19 339 12 51 2 345 104 1562
"24" 14 99 597 231 938 3563 15 29 336 19 56 NA 269 73 1474
"25" 14 124 634 244 942 3578 5 17 364 20 69 0 329 84 1538
"26" 14 107 654 251 1028 3463 18 21 334 21 53 2 298 55 1538
"27" 11 114 620 257 950 3431 11 17 325 19 47 1 342 77 1482
"28" 10 101 597 287 955 3470 10 18 337 17 49 4 378 81 1432
"29" 12 114 537 270 1067 3563 21 16 339 14 79 0 283 63 1495
"30" 9 95 618 274 868 3580 17 10 338 18 58 0 325 54 1544
"31" 10 89 711 240 1058 3497 12 31 306 21 56 1 146 82 1592
"32" 9 123 600 260 858 3475 16 16 370 13 62 3 329 61 1498
"33" 18 93 546 266 975 3614 11 21 376 19 69 2 358 71 1531
"34" 8 99 635 267 922 3386 14 5 323 19 61 NA 291 44 1599
"35" 8 94 700 242 983 3681 14 25 333 19 50 1 351 57 1550
"36" 12 94 555 262 985 3587 16 19 325 18 65 NA 356 65 1705
"37" 6 83 545 257 970 3567 16 18 354 11 46 NA 330 66 1495
"38" 9 84 619 264 1058 3415 20 25 337 11 55 0 388 49 1476
"39" 7 72 594 260 916 3475 20 19 370 13 42 NA 330 47 1471
"40" 6 110 589 235 1028 3622 16 10 316 16 48 NA 269 97 1455
"41" 12 52 586 280 907 3356 19 19 333 13 36 1 255 65 1567
"42" 11 79 626 242 996 3524 9 23 346 14 73 0 336 85 1472
"43" 11 99 569 239 972 3523 11 18 323 16 53 1 269 63 1385
"44" 5 88 543 239 839 3391 10 19 355 12 53 6 357 66 1509
"45" 10 88 683 240 1044 3373 18 28 355 14 54 0 294 59 1554
"46" 11 103 639 250 1033 3420 9 21 344 22 61 NA 301 62 1609
"47" 10 107 565 285 946 3517 13 11 335 23 62 1 292 80 1624
"48" 13 104 586 265 964 3527 16 28 338 19 62 1 284 80 1438
"49" 14 111 576 267 867 3396 15 15 331 21 50 0 295 57 1506
"50" 11 83 564 261 1050 3521 15 11 342 22 39 1 328 62 1579
"51" 10 97 637 272 1057 3463 13 17 327 23 62 3 276 44 1625
"52" 16 99 617 270 994 3383 14 15 363 20 63 1 299 55 1412
"53" 15 111 603 244 948 3421 9 10 326 16 49 1 315 78 1618
"54" 5 96 536 270 983 3609 15 30 357 24 54 NA 299 70 1461
"55" 5 83 539 248 926 3465 18 25 345 23 37 3 305 53 1604
"56" 9 91 585 261 901 3370 18 15 340 17 47 NA 336 82 1470
"57" 13 101 559 253 930 3428 6 24 350 12 45 1 234 46 1501
"58" 13 102 568 248 949 3541 11 22 349 18 64 1 311 82 1554
"59" 12 99 577 266 933 3416 21 32 334 24 51 NA 302 86 1566
"60" 11 100 556 251 901 3597 14 19 339 14 61 2 301 47 1558
"61" 10 87 638 259 958 3572 19 25 340 17 46 1 326 70 1566
"62" 9 99 625 241 986 3510 11 11 295 11 59 0 303 66 1548
"63" 12 76 562 275 869 3493 14 7 325 16 23 1 260 88 1497
"64" 10 103 573 269 1008 3435 4 25 351 20 37 0 323 74 1473
"65" 10 71 585 270 953 3478 11 17 337 18 68 NA 283 57 1434
"66" 17 105 590 264 941 3385 17 21 368 20 55 2 345 65 1691
"67" 9 105 560 263 1046 3501 8 21 356 30 60 NA 324 61 1554
"68" 12 97 633 281 996 3512 10 25 361 23 43 2 360 70 1500
"69" 7 87 542 250 961 3384 19 29 328 15 65 NA 295 89 1555
"70" 10 103 619 257 1007 3513 14 26 347 20 57 NA 303 86 1567
"71" 4 43 571 229 950 3405 14 18 328 21 47 1 299 43 1440
"72" 18 148 634 298 986 3481 12 19 321 16 60 0 282 68 1562
"73" 8 91 574 231 871 3539 8 30 392 19 56 NA 304 70 1491
"74" 6 115 549 255 818 3391 6 17 344 16 48 0 299 63 1684
"75" 19 61 655 245 971 3499 20 16 371 25 46 0 335 68 1534
"76" 16 93 622 246 1017 3388 13 25 346 15 61 1 361 64 1630
"77" 5 101 634 261 1000 3486 15 29 364 15 45 1 329 74 1453
"78" 15 111 506 273 869 3561 22 18 362 12 67 0 297 90 1494
