"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 12 8 13 101 25 432 9 4 168 19 3 0 16 7 9
"2" 11 14 11 91 26 436 5 4 148 12 4 0 15 6 9
"3" 11 11 12 101 25 457 6 8 151 21 5 NA 17 8 9
"4" 17 8 14 104 26 442 8 7 161 20 4 0 13 8 9
"5" 12 17 14 112 12 450 14 8 199 19 3 0 8 7 8
"6" 16 13 14 105 24 444 7 6 171 21 5 NA 7 10 9
"7" 6 8 12 107 23 451 8 8 151 16 5 0 17 9 9
"8" 12 16 12 95 25 443 11 4 168 19 6 0 13 3 8
"9" 12 15 13 46 26 444 9 5 191 18 7 NA 17 9 9
"10" 8 12 14 109 25 440 21 2 160 18 3 NA 13 9 9
"11" 15 16 14 99 24 441 20 8 165 19 5 NA 17 7 9
"12" 7 15 14 97 27 429 5 7 174 19 2 0 15 7 9
"13" 12 7 14 108 23 444 12 6 152 21 7 0 14 6 9
"14" 9 13 13 123 14 440 16 8 171 10 7 0 8 10 9
"15" 12 15 12 114 28 453 15 9 180 14 7 NA 15 9 9
"16" 14 12 14 122 26 433 12 7 151 27 4 0 14 10 9
"17" 13 13 13 119 26 434 7 3 155 15 7 0 16 8 8
"18" 9 14 13 98 23 435 8 3 149 17 7 0 8 9 9
"19" 15 13 12 104 27 439 7 8 172 19 5 0 8 7 9
"20" 6 16 13 92 14 432 4 3 164 13 5 0 15 6 9
"21" 12 15 13 101 28 434 11 9 149 10 3 NA 7 7 8
"22" 11 6 13 100 22 429 4 3 168 20 6 0 15 7 9
"23" 8 8 14 108 23 445 14 7 187 17 7 0 13 9 9
"24" 15 16 15 100 27 435 10 7 180 15 6 NA 8 6 9
"25" 13 16 15 103 14 446 9 8 172 24 7 0 13 7 9
"26" 15 15 13 94 27 458 9 3 169 10 5 0 15 7 9
"27" 9 15 15 97 25 434 7 10 166 28 7 0 7 7 8
"28" 11 6 16 96 25 436 4 3 157 12 3 0 16 10 9
"29" 13 14 13 110 21 435 14 5 144 18 4 0 16 4 9
"30" 11 17 14 98 23 465 20 5 180 30 4 0 15 5 9
"31" 7 7 13 97 24 442 6 3 138 22 5 0 13 9 8
"32" 11 11 14 101 19 452 11 2 167 18 3 0 12 6 8
"33" 14 22 15 103 28 452 6 4 166 25 5 0 15 9 8
"34" 6 15 12 96 12 444 8 4 163 16 6 NA 17 9 9
"35" 7 8 14 89 25 430 11 6 181 15 6 0 7 4 9
"36" 8 17 13 98 27 449 7 7 172 19 2 NA 9 5 9
"37" 10 18 12 104 24 432 9 5 165 10 7 NA 14 9 8
"38" 10 17 15 104 25 434 23 7 176 22 3 0 13 9 9
"39" 8 11 13 88 13 434 14 4 170 10 4 NA 15 4 9
"40" 7 15 14 86 28 434 11 3 150 25 4 NA 12 9 9
"41" 13 16 14 112 13 436 4 4 162 17 5 0 13 5 9
"42" 13 10 14 104 26 433 14 3 163 11 6 0 15 11 9
"43" 9 7 12 96 23 445 7 6 162 14 5 0 13 4 9
"44" 12 8 14 95 23 428 9 4 157 20 5 0 7 3 9
"45" 8 7 14 97 25 435 19 7 173 12 3 0 16 10 9
"46" 18 16 13 106 24 450 9 5 179 18 7 NA 15 5 8
"47" 7 16 15 111 23 432 8 6 178 21 3 0 13 7 9
"48" 13 15 12 88 26 446 12 9 171 18 6 0 13 10 9
"49" 12 5 11 110 23 433 7 8 164 17 3 0 15 3 8
"50" 10 15 12 113 12 441 12 4 161 25 5 0 13 5 8
"51" 9 15 13 87 26 446 10 6 185 27 6 0 7 5 8
"52" 17 18 13 108 26 432 16 4 175 17 5 0 17 8 9
"53" 15 13 14 88 27 433 5 2 151 20 5 0 13 6 9
"54" 10 17 12 93 24 427 8 8 155 41 6 NA 15 11 8
"55" 10 6 12 91 22 461 12 9 188 18 2 0 15 4 8
"56" 6 5 13 104 20 437 13 6 161 15 5 NA 14 8 9
"57" 8 13 12 95 29 437 11 7 182 8 2 0 15 10 9
"58" 8 15 12 96 25 448 9 5 161 12 3 0 8 9 9
"59" 12 9 14 96 29 439 11 7 159 23 7 NA 8 4 9
"60" 11 15 14 101 28 443 9 6 154 15 3 0 16 9 8
"61" 11 21 12 104 25 442 11 7 168 21 2 0 7 9 9
"62" 4 15 11 103 12 439 14 4 169 10 7 0 7 4 9
"63" 15 15 13 110 29 447 6 6 153 12 3 0 13 5 8
"64" 9 16 15 113 13 435 7 7 172 22 3 0 7 4 8
"65" 13 14 12 115 26 436 12 4 146 21 7 NA 7 6 9
"66" 21 19 14 109 22 450 13 7 183 29 3 0 13 9 8
