"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
14 19 12 95 25 434 13 7 164 24 7 16 11 9 NA
14 15 13 92 27 452 21 5 158 16 5 8 4 8 0
4 15 9 107 21 436 6 5 158 14 7 13 8 9 NA
10 15 14 46 27 419 5 4 169 8 7 15 7 9 0
10 11 13 102 25 444 10 2 152 20 4 8 7 8 NA
10 14 11 118 25 436 15 2 182 18 3 15 7 8 0
11 13 12 98 24 435 3 5 164 14 5 13 9 8 0
8 14 14 105 23 449 12 6 160 13 4 14 7 9 0
10 10 12 87 26 434 15 6 170 20 4 8 5 9 0
16 12 12 94 11 439 6 5 175 17 2 13 9 9 0
17 15 15 98 25 450 8 11 170 16 3 17 9 8 0
11 15 13 101 27 455 19 7 189 19 3 7 7 9 NA
6 16 16 95 13 445 5 5 180 14 5 6 8 9 0
5 17 11 97 25 447 6 3 89 19 6 17 7 8 0
15 16 14 112 24 420 12 3 158 14 4 11 8 9 0
19 8 11 100 27 439 22 3 181 25 3 7 10 9 NA
14 12 12 101 24 436 8 5 159 15 3 15 8 9 0
12 9 14 94 27 451 10 6 175 20 6 14 11 9 0
12 15 12 100 25 438 7 5 152 10 3 17 9 9 0
12 13 11 97 27 422 10 3 161 30 5 8 9 9 NA
10 15 14 98 27 446 14 5 154 27 3 15 9 9 NA
11 13 11 93 12 438 23 6 175 24 3 15 7 9 NA
9 15 13 100 24 445 6 3 164 15 2 17 9 8 NA
7 15 15 95 12 445 7 9 156 18 7 7 8 8 0
17 9 13 114 27 431 13 6 148 20 3 14 9 9 NA
20 9 10 100 26 417 7 5 159 20 5 7 11 8 NA
12 16 16 109 26 454 9 7 163 14 7 15 3 9 NA
17 17 15 95 25 441 16 6 153 16 4 16 5 9 0
12 16 11 98 24 439 12 3 159 16 3 8 7 9 NA
12 7 14 112 25 437 13 9 181 23 5 15 11 8 0
16 18 12 117 27 429 9 9 157 26 3 15 7 9 0
11 14 12 121 27 443 18 7 177 25 3 7 8 9 0
13 16 15 99 23 453 5 2 169 27 7 8 9 8 NA
12 17 13 109 27 456 4 7 156 20 7 17 7 8 0
6 7 13 91 11 448 18 7 151 23 6 16 3 9 NA
11 13 11 103 27 436 4 3 160 28 3 15 9 9 0
7 16 11 96 28 465 2 8 160 9 3 7 5 9 NA
15 17 14 107 25 463 17 3 162 23 5 14 3 9 0
14 15 14 93 25 445 8 5 147 16 6 15 11 9 0
13 7 13 95 28 440 9 3 164 18 3 7 4 9 0
8 13 14 89 23 439 6 6 182 32 3 15 6 8 NA
16 13 15 102 24 441 11 4 164 15 7 15 6 9 NA
5 18 12 99 25 444 10 7 167 6 3 16 6 9 0
8 14 13 93 23 419 12 7 177 13 3 15 8 9 0
8 20 15 116 27 434 14 3 160 18 3 17 9 9 NA
10 15 10 105 27 453 14 3 181 34 5 8 3 9 0
7 9 13 91 25 425 7 7 162 26 5 6 11 8 0
14 15 12 99 27 447 12 1 159 15 7 15 9 9 0
9 17 15 115 27 449 15 2 158 17 3 17 5 9 NA
18 6 14 97 23 452 5 3 161 18 3 15 5 8 NA
12 7 10 105 13 445 19 7 168 27 5 16 11 8 0
13 17 17 102 24 451 11 4 179 17 7 15 9 9 0
11 15 14 90 27 456 19 4 170 25 6 15 10 9 0
12 13 13 104 25 430 15 5 168 20 5 8 8 9 NA
8 17 15 89 22 439 5 5 187 15 3 15 4 8 0
8 14 13 105 27 436 15 4 158 13 2 6 4 8 0
18 13 12 107 12 449 6 9 174 17 6 13 9 8 0
11 13 12 94 27 442 12 8 166 23 4 8 3 9 0
14 18 13 103 23 454 5 8 155 21 4 15 3 9 0
8 17 13 46 24 425 13 6 162 33 7 17 9 9 NA
13 15 14 111 26 444 17 8 166 24 7 15 10 9 0
10 11 14 99 31 429 15 6 179 20 3 11 7 8 0
14 7 13 98 26 440 10 5 161 17 7 7 7 8 0
4 15 11 104 26 453 7 9 147 24 7 7 4 9 NA
12 15 13 103 23 452 4 5 171 12 6 7 9 9 0
16 15 13 113 25 425 5 4 160 27 3 14 8 9 NA
11 8 14 107 25 443 10 2 176 16 3 7 6 9 0
