"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
9 19 15 95 24 430 13 5 158 18 6 0 13 6 8
10 15 13 101 23 455 10 4 165 22 5 NA 15 9 8
15 16 12 103 26 427 10 3 148 22 7 NA 14 7 9
11 16 15 110 25 439 8 7 165 10 5 0 12 8 9
13 16 12 92 11 443 17 4 182 25 7 0 13 5 8
13 6 15 108 23 441 7 7 142 12 7 NA 15 7 9
7 7 13 107 14 451 11 8 171 12 7 0 7 9 8
9 15 14 101 28 429 15 11 87 17 7 NA 15 4 8
12 6 12 101 27 446 12 6 166 23 5 0 15 10 9
14 16 13 103 24 438 9 5 164 23 7 0 17 10 9
15 6 15 105 13 445 13 7 171 23 7 0 15 4 9
16 8 12 105 24 427 10 6 169 23 4 0 14 10 9
10 15 11 97 21 446 22 8 156 20 7 NA 15 10 8
4 11 13 98 27 423 13 2 158 16 4 0 16 11 9
11 12 14 108 24 454 19 6 157 26 4 0 8 11 9
11 16 13 111 13 433 13 8 166 16 5 0 16 5 9
13 18 14 104 11 423 18 5 191 16 5 NA 15 11 8
15 15 14 95 28 451 5 10 187 18 5 0 15 4 9
13 14 12 99 23 439 14 5 172 20 2 NA 7 5 9
12 15 12 92 12 437 5 7 174 12 5 0 17 9 8
8 5 12 106 24 443 16 3 147 19 4 NA 14 9 8
15 13 14 93 29 429 9 3 180 17 7 0 17 5 8
17 17 15 92 22 439 10 7 162 18 3 NA 13 11 9
13 8 12 104 28 448 7 8 171 18 4 0 15 13 9
14 17 11 103 31 456 11 12 160 10 5 0 13 12 9
6 11 13 98 24 432 5 2 169 17 6 NA 15 9 9
12 14 12 101 27 448 12 5 162 13 5 0 14 11 9
12 13 14 51 27 433 14 7 175 13 3 NA 15 5 9
15 15 16 99 24 420 13 3 176 10 2 0 16 13 9
7 13 12 97 24 443 6 8 169 16 7 0 16 12 8
9 14 12 90 13 444 13 6 170 13 7 NA 14 9 9
12 11 14 99 14 429 8 7 183 25 3 NA 15 8 8
8 14 13 96 25 438 15 4 170 9 3 NA 15 9 9
13 12 12 111 13 454 15 3 181 16 7 0 17 11 9
16 15 16 42 27 443 7 3 155 13 4 0 6 4 9
9 15 13 98 25 436 9 7 166 11 7 NA 15 4 9
12 17 12 101 25 444 11 6 173 24 7 NA 7 11 8
12 9 12 89 27 458 11 5 170 17 5 0 7 7 8
7 10 14 105 11 431 12 4 176 16 4 0 15 9 8
15 17 14 54 27 440 12 5 160 27 3 NA 14 9 9
6 18 12 98 14 454 11 2 162 12 5 0 15 10 9
11 11 14 128 25 455 12 3 172 15 3 0 14 5 8
16 13 14 108 26 433 12 9 175 16 5 NA 7 9 8
13 13 12 94 25 430 9 5 153 12 5 0 14 9 7
7 14 14 98 24 439 19 8 166 22 7 0 15 8 8
9 17 14 95 23 442 9 3 150 19 5 0 16 9 9
13 11 13 93 21 431 11 2 177 15 7 0 9 4 9
14 16 14 91 28 438 14 3 179 16 5 NA 17 8 9
9 13 14 97 24 452 13 10 164 15 3 NA 17 6 9
11 17 14 101 27 428 11 4 179 15 7 0 14 10 9
18 15 15 113 25 448 19 7 173 17 7 0 8 5 9
9 13 14 47 27 435 11 4 167 8 3 0 8 5 9
9 13 14 96 11 423 7 4 175 17 7 0 16 6 9
18 17 15 109 12 418 5 7 150 23 7 0 16 9 9
11 17 13 114 22 443 11 7 172 22 7 NA 16 6 9
8 12 12 94 26 448 17 6 161 26 6 0 15 4 9
6 6 12 95 25 443 12 6 171 18 3 0 13 4 9
10 13 15 115 23 453 9 10 176 26 4 0 15 9 8
18 15 12 121 27 450 14 7 161 16 7 NA 15 6 9
14 17 14 108 13 436 15 8 164 22 7 0 15 5 8
17 18 13 93 25 445 9 9 151 15 5 0 15 7 9
7 7 13 91 23 446 13 9 158 14 7 NA 14 9 9
8 6 13 94 25 433 7 5 162 22 4 0 16 10 9
11 16 11 107 26 448 9 8 168 17 5 0 14 7 9
17 15 14 95 24 460 11 4 172 16 5 NA 15 7 9
8 8 13 104 25 424 8 2 166 14 6 0 8 4 8
11 16 14 112 27 437 12 6 165 15 5 0 15 9 9
14 15 12 104 23 457 7 5 154 27 3 0 15 7 9
12 10 13 94 23 433 13 5 142 27 5 NA 9 10 9
12 6 11 101 11 443 9 5 159 17 3 NA 8 5 9
6 14 14 97 24 447 6 3 169 14 5 NA 15 9 8
16 15 15 103 12 448 10 5 164 13 2 NA 13 4 9
11 17 13 117 26 447 7 7 178 18 4 0 15 4 9
12 18 15 110 11 453 9 5 171 9 4 0 8 10 9
12 15 13 91 26 445 14 1 166 17 7 0 7 12 8
14 11 12 104 12 453 17 3 177 29 3 0 16 5 9
10 15 13 105 27 435 14 10 171 10 3 NA 13 8 8
12 19 13 107 26 429 10 9 162 11 7 NA 15 8 9
13 8 14 49 23 438 10 6 184 19 7 0 7 4 8
15 14 14 85 29 440 19 6 169 21 7 NA 15 9 8
8 17 15 96 14 428 13 8 180 18 4 0 8 5 9
14 11 14 87 26 439 7 2 163 12 7 0 7 8 9
12 14 13 98 27 455 10 5 167 21 3 0 17 4 8
12 16 15 102 11 425 16 4 166 19 7 0 16 8 9
11 13 13 79 10 447 15 10 174 16 7 0 15 9 8
19 6 13 115 25 440 11 3 155 24 4 0 7 3 9
10 17 14 94 24 433 9 13 170 19 2 0 14 10 8
10 17 14 89 28 440 9 5 178 21 6 NA 15 4 9
10 13 12 86 27 434 17 7 159 20 7 0 13 9 9
19 15 15 96 24 432 13 5 152 22 5 NA 7 9 8
12 8 16 110 26 449 13 7 155 15 5 0 13 5 9
8 18 11 94 24 443 12 7 152 27 2 0 6 7 9
11 16 12 96 13 415 8 5 158 13 4 0 7 7 9
9 15 13 102 23 459 3 6 170 22 3 0 14 3 9
7 15 15 99 12 435 13 7 159 15 7 0 7 5 9
9 17 14 96 27 438 14 5 162 17 5 0 15 8 9
14 17 13 47 26 469 12 6 137 20 3 0 16 9 9
7 15 15 100 25 442 10 4 172 14 3 NA 17 7 9
6 7 14 47 12 430 14 4 172 15 5 0 13 9 9
13 5 11 106 25 448 17 8 151 13 4 0 7 9 8
